business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ghorai telecom guest house malda,Guesthouse,Hotel,Hotel,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,N/A,5.0,1.0,"SH 10, 21, Ward Number 24, Malda, West Bengal 732101",Ward Number 24,25.0062051,88.1317804,ChIJo4obawD9-jkRWA7ggjf-JCE,https://www.google.com/maps/place/?q=place_id:ChIJo4obawD9-jkRWA7ggjf-JCE,part_326,2026-09-20 20:38:53
Shanti Niketan Guest House,Guesthouse,Guest house,Guest house,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,N/A,4.0,1.0,"X4WP+8GR, NH 12, Malda, West Bengal 732101",732101,24.995850599999997,88.1362766,ChIJkzRVqz79-jkREvHeGuHpFSw,https://www.google.com/maps/place/?q=place_id:ChIJkzRVqz79-jkREvHeGuHpFSw,part_326,2026-09-20 20:38:53
Friends Guest House,Guesthouse,Guest house,Guest house,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,N/A,3.2,10.0,"X4WP+8GC, NH 12, Malda, West Bengal 732101",732101,24.9958155,88.1362755,ChIJZRum2GT9-jkRKOUN9u-CaNg,https://www.google.com/maps/place/?q=place_id:ChIJZRum2GT9-jkRKOUN9u-CaNg,part_326,2026-09-20 20:38:53
Malda Tourist Lodge,Guesthouse,Lodge,Lodge,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 97330 08792,https://www.wbtdcl.com/home/lodge_search?Lodge_id=MTI&Lodge_destinationName=MTA,3.8,1305.0,"242Q+Q5Q, Rabindra Ave, Rathbari, Malda, West Bengal 732101",Rathbari,25.0019708,88.1379812,ChIJEz6p_c79-jkRAZ3FOYx3_pA,https://www.google.com/maps/place/?q=place_id:ChIJEz6p_c79-jkRAZ3FOYx3_pA,part_326,2026-09-20 20:38:53
Swastika Lodge,Guesthouse,Lodge,Lodge,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 90641 74719,http://www.swastikalodge.com/,3.4,238.0,"N.H -34, 420, MORE, New Banshbari, Malda, West Bengal 732101",New Banshbari,25.011405399999997,88.14165469999999,ChIJ5Vt6gbj9-jkRs0c3iwL7P0I,https://www.google.com/maps/place/?q=place_id:ChIJ5Vt6gbj9-jkRs0c3iwL7P0I,part_326,2026-09-20 20:38:53
Banaful Lodge,Guesthouse,Lodge,Lodge,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,N/A,3.7,100.0,"X4XR+HR3, Krishna Jiban Sanyal Rd, Pirojpur, Malda, West Bengal 732101",Pirojpur,24.9988782,88.1420363,ChIJITY7MNv9-jkRQD1m0lffErU,https://www.google.com/maps/place/?q=place_id:ChIJITY7MNv9-jkRQD1m0lffErU,part_326,2026-09-20 20:38:53
Gour Atithishala,Guesthouse,Guest house,Guest house,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,N/A,5.0,2.0,"College Auditorium, 3, Rabindra Ave, Malda, West Bengal 732101",732101,25.002278,88.1359521,ChIJ3z5jYfb9-jkRY7kGE2nt3Yo,https://www.google.com/maps/place/?q=place_id:ChIJ3z5jYfb9-jkRY7kGE2nt3Yo,part_326,2026-09-20 20:38:53
New Heaven Lodge,Guesthouse,Lodge,"Lodge, Hotel",732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 3512 252 735,N/A,4.1,185.0,"Dipak Rd, Pirojpur, Malda, West Bengal 732101",Pirojpur,24.997511499999998,88.141886,ChIJQV92Gtv9-jkRZIrYZKMchmw,https://www.google.com/maps/place/?q=place_id:ChIJQV92Gtv9-jkRZIrYZKMchmw,part_326,2026-09-20 20:38:53
METRO PALACE GUEST HOUSE,Guesthouse,Hotel,Hotel,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,N/A,3.4,14.0,"2/2, ITI more, Ward Number 28, Nazrul Bagh, Rathbari, Malda, West Bengal 732101","Ward Number 28, Nazrul Bagh, Rathbari",25.004354799999998,88.1316686,ChIJ971fYsz9-jkRCHw8_o8ZYO4,https://www.google.com/maps/place/?q=place_id:ChIJ971fYsz9-jkRCHw8_o8ZYO4,part_326,2026-09-20 20:38:53
Someswori Homestay,Guesthouse,Guest house,Guest house,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 78729 63273,N/A,4.6,5.0,"9, Bibigram Rd, Bibigram, Hatkhola, Malda, West Bengal 732101","Bibigram, Hatkhola",25.0008396,88.143018,ChIJEwaYs7L9-jkRRNkMyMrjoaw,https://www.google.com/maps/place/?q=place_id:ChIJEwaYs7L9-jkRRNkMyMrjoaw,part_326,2026-09-20 20:38:53
OYO 31036 Hotel MMG Lodge,Guesthouse,Hotel,Hotel,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 124 620 1324,https://www.oyorooms.com/52905/,4.0,375.0,"Binoy Sarkar Rd, Foara More, Malda, West Bengal 732101",Foara More,24.999979999999997,88.144472,ChIJCayGSMP9-jkR2xkI9S375Rk,https://www.google.com/maps/place/?q=place_id:ChIJCayGSMP9-jkR2xkI9S375Rk,part_326,2026-09-20 20:38:53
MITA LODGE,Guesthouse,Lodge,Lodge,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 3512 253 604,N/A,3.3,137.0,"Krishna Jiban Sanyal Rd, Malda, West Bengal 732101",732101,24.9978168,88.1419959,ChIJk0maF9v9-jkRfZezTxzmZI4,https://www.google.com/maps/place/?q=place_id:ChIJk0maF9v9-jkRfZezTxzmZI4,part_326,2026-09-20 20:38:53
Mayuri lodge,Guesthouse,Lodge,Lodge,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,N/A,4.2,93.0,"245W+XRM, near Kartik Bari, in front of Mayuri Lodge, Malda, West Bengal 732101",732101,25.0099597,88.1470365,ChIJfexHNFP9-jkRlOSSSV97P8Y,https://www.google.com/maps/place/?q=place_id:ChIJfexHNFP9-jkRlOSSSV97P8Y,part_326,2026-09-20 20:38:53
Biswas Guest House,Guesthouse,Guest house,Guest house,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 3512 244 253,N/A,3.6,48.0,"V278+3MX, Baliadanga, West Bengal 732201",732101,24.862729599999998,88.0167405,ChIJBaiA9YtX-jkRdxMZQjQ32pI,https://www.google.com/maps/place/?q=place_id:ChIJBaiA9YtX-jkRdxMZQjQ32pI,part_326,2026-09-20 20:38:54
New Net Club,Guesthouse,Computer service,"Computer service, Appliance parts supplier, Appliance repair service, Electronics Accessories Wholesaler, Electronics repair shop, Electronics store",732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 98320 69100,https://www.newnetclub.in/,3.7,28.0,"Raj Hotel More, English Bazer,Net Club,Bibigram Road, Rabindra Ave, Malda, West Bengal 732101","Bibigram, Maheshmati",25.0012077,88.1422345,ChIJ__9j6cT9-jkRns0RwF98hSQ,https://www.google.com/maps/place/?q=place_id:ChIJ__9j6cT9-jkRns0RwF98hSQ,part_326,2026-09-20 20:38:54
