business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CHAI VENUE,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 70192 03040,N/A,4.5,,"VHWJ+2PC, Puttenahalli Rd, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078","Puttenahalli, JP Nagar 7th Phase, J. P. Nagar",12.8950102,77.5815695,ChIJrdST0xYVrjsRpvGDjXHo97g,https://www.google.com/maps/place/?q=place_id:ChIJrdST0xYVrjsRpvGDjXHo97g,part_323,2026-09-20 20:17:58
Chai tea latte latte,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,4.9,,"G5C9+HM, Wazaroli, Maharashtra 402107",721450,18.5214905,73.1692084,ChIJPQu2i00T6DsR_MISGII2iqw,https://www.google.com/maps/place/?q=place_id:ChIJPQu2i00T6DsR_MISGII2iqw,part_323,2026-09-20 20:17:58
Chaiलत,Tea Stall / Chai Cafe,Cafe,Cafe,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 94775 58121,N/A,5.0,,"Bus Stand, 16, Bagmari Lane, near S3B, opposite to Pratik, BRS 10, Kankurgachi, Kolkata, West Bengal 700054","BRS 10, Kankurgachi",22.5810425,88.3915426,ChIJIdhtXXh3AjoRrhejPgc6wWQ,https://www.google.com/maps/place/?q=place_id:ChIJIdhtXXh3AjoRrhejPgc6wWQ,part_323,2026-09-20 20:17:58
Chai Venue,Tea Stall / Chai Cafe,Tea store,"Tea store, Coffee shop, Snack bar",721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 96866 65253,https://chaivenue.com/,4.6,,"No 42, 2 1, 2nd Cross Rd, near Christ University, Venkateshwara Layout, S.G. Palya, Bengaluru, Karnataka 560029","Venkateshwara Layout, S.G. Palya",12.933520699999999,77.60750759999999,ChIJhzz6OYoVrjsRwj5LBLNMtDc,https://www.google.com/maps/place/?q=place_id:ChIJhzz6OYoVrjsRwj5LBLNMtDc,part_323,2026-09-20 20:17:58
Manna Tea Stall,Tea Stall / Chai Cafe,Restaurant,Restaurant,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 70638 88671,N/A,5.0,,"Manna Tea Stall, Haldia - Tamluk - Mechada Rd., near Haldia Bus Stand, Mahishadal, Garh Kamalpur, West Bengal 721624",721450,22.1880866,87.98664579999999,ChIJR6WjuyntAjoRb_aMP-f04Y8,https://www.google.com/maps/place/?q=place_id:ChIJR6WjuyntAjoRb_aMP-f04Y8,part_323,2026-09-20 20:17:58
Share Chai,Tea Stall / Chai Cafe,Cafe,Cafe,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 70039 20340,N/A,4.3,,"53, Southern Ave, Lake Market, Kalighat, Kolkata, West Bengal 700029","Lake Market, Kalighat",22.513359599999998,88.3490765,ChIJdTijfo9xAjoR366cTeqqy5c,https://www.google.com/maps/place/?q=place_id:ChIJdTijfo9xAjoR366cTeqqy5c,part_323,2026-09-20 20:17:58
Jadab Tea Stall,Tea Stall / Chai Cafe,Restaurant,Restaurant,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 90623 03695,N/A,5.0,,"01, Nangi Railway Station Rd, near Nungi, Station, Batanagar, Maheshtala, West Bengal 700140","Station, Batanagar",22.501288,88.2252874,ChIJcRMiIVF9AjoR3S9uEXhjmFM,https://www.google.com/maps/place/?q=place_id:ChIJcRMiIVF9AjoR3S9uEXhjmFM,part_323,2026-09-20 20:17:58
KARTIK TEA SHOP,Tea Stall / Chai Cafe,Restaurant,Restaurant,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,3.7,,"8RPW+MCC, Unnamed Road, Nilkanthia, West Bengal 721627",721450,22.3366862,87.84600859999999,ChIJldDsdhm9AjoRECRXkvsbLNc,https://www.google.com/maps/place/?q=place_id:ChIJldDsdhm9AjoRECRXkvsbLNc,part_323,2026-09-20 20:17:58
Tea Stall,Tea Stall / Chai Cafe,Cafe,Cafe,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,,,"7WPC+CR9, Tamluk Srirampur Rd, Sriram Pur, Tamluk, West Bengal 721636",Sriram Pur,22.2860425,87.922107,ChIJiX75mIiVAjoRqzxzvIXsRg4,https://www.google.com/maps/place/?q=place_id:ChIJiX75mIiVAjoRqzxzvIXsRg4,part_323,2026-09-20 20:17:58
Chaiलत,Tea Stall / Chai Cafe,Cafe,Cafe,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,4.3,,"XFQM+8C4, Bajarpeth, Maharashtra 415803",721450,16.988272,73.483569,ChIJ6_Wcnr_hwTsRDAtRJCecg98,https://www.google.com/maps/place/?q=place_id:ChIJ6_Wcnr_hwTsRDAtRJCecg98,part_323,2026-09-20 20:17:58
