business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
D&DMA Planter's Hospital,Multispeciality Hospital,Hospital,Hospital,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",N/A,N/A,3.4,,"7, Nehru Rd, Chauk Bazaar, Darjeeling, West Bengal 734101",Chauk Bazaar,27.042322,88.2667013,ChIJtVlCMwQv5DkRz3zDIp0DwHQ,https://www.google.com/maps/place/?q=place_id:ChIJtVlCMwQv5DkRz3zDIp0DwHQ,part_328,2026-09-20 20:25:43
Shahid Durga Malla District Hospital (Eden Hospital),Multispeciality Hospital,Hospital,Hospital,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",N/A,N/A,2.5,,"27V7+XV4, 63a, HD Lama Rd, near CMOH Office, Chauk Bazaar, Darjeeling, West Bengal 734101",Chauk Bazaar,27.0444253,88.2646698,ChIJq7xYQ5Uu5DkRtmjJBiAfe0g,https://www.google.com/maps/place/?q=place_id:ChIJq7xYQ5Uu5DkRtmjJBiAfe0g,part_328,2026-09-20 20:25:43
Yuma Nursing Home and Diagnostic Centre P Ltd.,Multispeciality Hospital,Hospital,Hospital,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",N/A,N/A,2.4,,"7/A, Ballen Villa Road, Chauk Bazaar, Darjeeling, West Bengal 734101",Chauk Bazaar,27.044019799999997,88.2658664,ChIJRTpx6rkv5DkRK-IfL1Y-OVk,https://www.google.com/maps/place/?q=place_id:ChIJRTpx6rkv5DkRK-IfL1Y-OVk,part_328,2026-09-20 20:25:43
Sadar hospital and MRI centre,Multispeciality Hospital,Hospital,Hospital,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",N/A,N/A,2.6,,"27W8+2CF, Chauk Bazaar, Darjeeling, West Bengal 734101",Chauk Bazaar,27.0450584,88.2660494,ChIJ1WGAjVUv5DkRhI1Au-rFOo4,https://www.google.com/maps/place/?q=place_id:ChIJ1WGAjVUv5DkRhI1Au-rFOo4,part_328,2026-09-20 20:25:43
TB Hospital,Multispeciality Hospital,Hospital,Hospital,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",N/A,N/A,4.3,,"Hill Cart Rd, West Point, Darjeeling, West Bengal 734102",West Point,27.019393299999997,88.2516131,ChIJvwxTxX0u5DkRXDwSwy7VFUs,https://www.google.com/maps/place/?q=place_id:ChIJvwxTxX0u5DkRXDwSwy7VFUs,part_328,2026-09-20 20:25:43
Simnani Multi-speciality Hospital,Multispeciality Hospital,Hospital,Hospital,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 70589 77551,N/A,5.0,,"Indira Nagar, Goldcinema, Laxminagar, Khopoli, Maharashtra 410103","Indira Nagar, Goldcinema, Laxminagar",18.7881183,73.3409554,ChIJLaTCWwAH6DsR6kqLBbW12u4,https://www.google.com/maps/place/?q=place_id:ChIJLaTCWwAH6DsR6kqLBbW12u4,part_328,2026-09-20 20:25:44
JANKI MULTISPECIALITY HOSPITAL,Multispeciality Hospital,Private hospital,"Private hospital, Hospital",734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 72495 52711,N/A,4.7,,"Parali,Ghotawade road Pali, raod, khopoli, Parali, Maharashtra 410205",734101,18.667308,73.2970172,ChIJwc86TQAF6DsRC2VISrlHH6Y,https://www.google.com/maps/place/?q=place_id:ChIJwc86TQAF6DsRC2VISrlHH6Y,part_328,2026-09-20 20:25:44
Shree Rameshwar icu and multispeciality hospital,Multispeciality Hospital,Hospital,Hospital,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",+91 96808 72575,N/A,4.8,,"near Indian gas agency, Simalwara, Rajasthan 314402",734101,23.5621945,73.7348804,ChIJbQlkq0lDZzkRCARvsjcYibU,https://www.google.com/maps/place/?q=place_id:ChIJbQlkq0lDZzkRCARvsjcYibU,part_328,2026-09-20 20:25:44
Bijanbari Rural Hospital,Multispeciality Hospital,Hospital,Hospital,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",N/A,N/A,3.6,,"Chainpuray Gram, Samalbong, Milangram, West Bengal 734201",Chainpuray Gram,27.0721246,88.1976869,ChIJH1Xfy3wr5DkR2YJTYwoGvII,https://www.google.com/maps/place/?q=place_id:ChIJH1Xfy3wr5DkR2YJTYwoGvII,part_328,2026-09-20 20:25:44
Murbad multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO",N/A,N/A,4.1,,"794Q+3Q4, Mata Nagar, Additional MIDC, Murbad, Maharashtra 421401","Mata Nagar, Additional MIDC",19.2551378,73.3894557,ChIJBf5PC-aL5zsRZgvtzCfzwbA,https://www.google.com/maps/place/?q=place_id:ChIJBf5PC-aL5zsRZgvtzCfzwbA,part_328,2026-09-20 20:25:44
