business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HOPE Homeopathy Treatment Centre - Dr Tathagata Sarkar,Homeopathic Clinic,Homeopath,Homeopath,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 79082 82182,N/A,5.0,11.0,"Suren Majumder Lane, Collagepara, Shibtali, Balurghat, West Bengal 733101","Collagepara, Shibtali",25.2305673,88.7781428,ChIJQ-mZJGth-zkRTazMLtnGwpU,https://www.google.com/maps/place/?q=place_id:ChIJQ-mZJGth-zkRTazMLtnGwpU,part_327,2026-09-20 20:28:19
Niramoy Homeo Clinic,Homeopathic Clinic,Medical Center,Medical Center,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,5.0,5.0,"Market, Sandhya Hall Rd, Balurghat, Khadimpur, Balurghat, West Bengal 733101","Balurghat, Khadimpur",25.222229799999997,88.7769137,ChIJIT_QGwth-zkRMmnFgLUbfdc,https://www.google.com/maps/place/?q=place_id:ChIJIT_QGwth-zkRMmnFgLUbfdc,part_327,2026-09-20 20:28:19
Uttarbanga Homeo Clinic,Homeopathic Clinic,Doctor,Doctor,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 94757 03538,N/A,5.0,1.0,"7Q2H+G8X, Balurghat, West Bengal 733103",733101,25.251374499999997,88.778347,ChIJB_F3LSNg-zkR7F834lmK8Fo,https://www.google.com/maps/place/?q=place_id:ChIJB_F3LSNg-zkR7F834lmK8Fo,part_327,2026-09-20 20:28:19
Dr Bappa Malakar,Homeopathic Clinic,Homeopath,"Homeopath, Doctor",733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 98316 05450,N/A,5.0,10.0,"Near Balurghat Bingsha Satabdi club, Prachya Bharati Rd, Balurghat, West Bengal 733101",Khadimpur,25.2216043,88.77888449999999,ChIJ_9mUaGth-zkRdDEoIo9EZ2U,https://www.google.com/maps/place/?q=place_id:ChIJ_9mUaGth-zkRdDEoIo9EZ2U,part_327,2026-09-20 20:28:19
Nigam Homoeopathic Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Doctor",733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 89180 24826,N/A,,,"Khadimpur, Balurghat, West Bengal 733101",Khadimpur,25.217590299999998,88.77750569999999,ChIJjWkjfmJh-zkRZ113C95UPew,https://www.google.com/maps/place/?q=place_id:ChIJjWkjfmJh-zkRZ113C95UPew,part_327,2026-09-20 20:28:19
Lahiri & Son's Homeopathic,Homeopathic Clinic,Medical Center,Medical Center,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 97492 27368,N/A,4.2,5.0,"Khadimpur, Balurghat, West Bengal 733101",Khadimpur,25.221974499999998,88.7774141,ChIJnzz3tc9h-zkRKdjcjoW0WYk,https://www.google.com/maps/place/?q=place_id:ChIJnzz3tc9h-zkRKdjcjoW0WYk,part_327,2026-09-20 20:28:19
Kishori Homeo Hall,Homeopathic Clinic,Homeopathic pharmacy,Homeopathic pharmacy,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 86373 00515,N/A,5.0,2.0,"Balurghat Market Rd, Khadimpur, Balurghat, West Bengal 733101",Khadimpur,25.2222437,88.7774917,ChIJZzPDWX9h-zkRjp8oXtUBsOU,https://www.google.com/maps/place/?q=place_id:ChIJZzPDWX9h-zkRjp8oXtUBsOU,part_327,2026-09-20 20:28:19
Divine Health Care & Poly Clinic,Homeopathic Clinic,Diagnostic center,Diagnostic center,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 97333 45600,N/A,5.0,1.0,"TANK MORE, Raghunathpur, West Dinajpur, Balurghat, West Bengal 733103","Raghunathpur, West Dinajpur",25.248866,88.7800465,ChIJ832c419h-zkRjP9M2z4J8HQ,https://www.google.com/maps/place/?q=place_id:ChIJ832c419h-zkRjP9M2z4J8HQ,part_327,2026-09-20 20:28:19
Sarkar Homeo Pharmacy,Homeopathic Clinic,Homeopath,"Homeopath, Homeopathic pharmacy",733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 76790 99006,N/A,3.0,2.0,"Sarkar Homeo Pharmacy, Saha Complex, Biswaspara Rd, More, Balurghat, West Bengal 733101",More,25.2229906,88.7810379,ChIJ9Xej5zhh-zkR00mv2jOQSyM,https://www.google.com/maps/place/?q=place_id:ChIJ9Xej5zhh-zkR00mv2jOQSyM,part_327,2026-09-20 20:28:19
SNB Homoeo Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Alternative Medicine Clinic, Alternative medicine practitioner, Health consultant, Health counselor, Doctor, Homeopathic pharmacy, Medical Center, Medical clinic",733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 85097 95967,https://snb-homoeo-clinic.grexa.site/,4.9,28.0,"Dr Zakir Hussain St, Uttar Chirail, Mondal para, Kaliyaganj, West Bengal 733129","Uttar Chirail, Mondal para",25.6445054,88.3209107,ChIJez4ZR1ot-zkRzn7PlPLT7a4,https://www.google.com/maps/place/?q=place_id:ChIJez4ZR1ot-zkRzn7PlPLT7a4,part_327,2026-09-20 20:28:19
