business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Biplab Store,Supermarket,Grocery store,Grocery store,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",+91 62946 55519,N/A,4.0,,"Chowpati, Charamari, Charamari Road, Ghoksadanga, Cooch Behar, West Bengal 736171",736171,26.381657099999998,89.2746413,ChIJ12fo5OsH4zkRvsPF3PmnPeI,https://www.google.com/maps/place/?q=place_id:ChIJ12fo5OsH4zkRvsPF3PmnPeI,part_330,2026-09-20 20:32:38
সরকার স্টোর,Supermarket,Grocery store,Grocery store,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",N/A,N/A,5.0,,"Basdaha Natibari, West Bengal 736171",736171,26.401362499999998,89.3156406,ChIJvaKGbmQH4zkR2a8ALWNAQP4,https://www.google.com/maps/place/?q=place_id:ChIJvaKGbmQH4zkR2a8ALWNAQP4,part_330,2026-09-20 20:32:38
Maloti Biswas,Supermarket,Grocery store,Grocery store,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",+91 96352 20915,N/A,,,"Sutarpara, Pundibari, West Bengal 736171",736171,26.398057299999998,89.31806499999999,ChIJ65iwqYUH4zkRtbqfIinE3OY,https://www.google.com/maps/place/?q=place_id:ChIJ65iwqYUH4zkRtbqfIinE3OY,part_330,2026-09-20 20:32:38
Bhai bhai store,Supermarket,Supermarket,Supermarket,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",N/A,N/A,,,"Dhaloguri, Dharimara, West Bengal 736171",Dhaloguri,26.3896756,89.3049013,ChIJYzRJWVAH4zkRNDn1xQzOkPY,https://www.google.com/maps/place/?q=place_id:ChIJYzRJWVAH4zkRNDn1xQzOkPY,part_330,2026-09-20 20:32:38
Barman Verity,Supermarket,Indian grocery store,Indian grocery store,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",+91 98325 34922,N/A,,,"College Road, Ghoksadanga, Nabinerdola, West Bengal 736171",736171,26.442712699999998,89.27568869999999,ChIJzSKwLx2p4zkRGx2F--uNz6Y,https://www.google.com/maps/place/?q=place_id:ChIJzSKwLx2p4zkRGx2F--uNz6Y,part_330,2026-09-20 20:32:38
Banik Store,Supermarket,Grocery store,Grocery store,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",N/A,N/A,,,"Station Bazar, Patakamari, Bara Simulguri, West Bengal 736171",736171,26.421380799999998,89.2768849,ChIJZSIzXxmp4zkR4cotO_eCFIY,https://www.google.com/maps/place/?q=place_id:ChIJZSIzXxmp4zkR4cotO_eCFIY,part_330,2026-09-20 20:32:38
BARMAN STORE,Supermarket,Grocery store,Grocery store,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",+91 96358 98503,N/A,2.0,,"50, Panikhawa, Cooch Behar, West Bengal 736171",736171,26.383837399999997,89.2802773,ChIJFXSFRbsH4zkRPauk58Peswo,https://www.google.com/maps/place/?q=place_id:ChIJFXSFRbsH4zkRPauk58Peswo,part_330,2026-09-20 20:32:38
নব ভারতী মোড়,Supermarket,Grocery store,Grocery store,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",N/A,N/A,5.0,,"C7P7+9F4, barashimulguri, Ghoksadnga, Cooch Behar, West Bengal 736171",736171,26.4358838,89.2637025,ChIJPQJ71_Wp4zkRV-03ZhexBOo,https://www.google.com/maps/place/?q=place_id:ChIJPQJ71_Wp4zkRV-03ZhexBOo,part_330,2026-09-20 20:32:38
Annapurna Bhandar,Supermarket,Indian grocery store,Indian grocery store,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",+91 97497 38384,N/A,4.0,19.0,"NH-31, North Khagrabari Opp: Petrol Pump, West Bengal 736179",Khagrabari,26.3455768,89.4457791,ChIJiZ-HnZL-4jkRinKmWaudaJo,https://www.google.com/maps/place/?q=place_id:ChIJiZ-HnZL-4jkRinKmWaudaJo,part_330,2026-09-20 20:32:39
PARITOSH FERTILIZER,Supermarket,Grocery store,"Grocery store, Store",736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",+91 76028 08398,N/A,5.0,1.0,"Paritosh Fertilizer, Banshdaha Natibari, Patakamari, West Bengal 736171",736171,26.4033487,89.3196892,ChIJY2quyO-p4zkR_lkthEPMdQs,https://www.google.com/maps/place/?q=place_id:ChIJY2quyO-p4zkR_lkthEPMdQs,part_330,2026-09-20 20:32:39
Salkumar Road,Supermarket,Bus depot,Bus depot,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",N/A,N/A,4.0,210.0,"Rishi Rd, Purba Kathalbari, West Bengal 736204",736171,26.5022873,89.3164364,ChIJQ1j_mdmp4zkRGBF2dttQNwQ,https://www.google.com/maps/place/?q=place_id:ChIJQ1j_mdmp4zkRGBF2dttQNwQ,part_330,2026-09-20 20:32:39
JAYANTI STORES,Supermarket,Indian grocery store,Indian grocery store,736171,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Ghoksadanga SO, Kalpani BO, Khattimari BO",+91 84368 35416,N/A,5.0,4.0,"Mejbil, Falakata, West Bengal 736204",736171,26.514925599999998,89.2826408,ChIJTQaLLXWv4zkRkIZc-SjkM44,https://www.google.com/maps/place/?q=place_id:ChIJTQaLLXWv4zkRkIZc-SjkM44,part_330,2026-09-20 20:32:39
