business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAMAIRA AGRO INDUSTRIES,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,N/A,N/A,5.0,41.0,"Bhaliagora, Odisha 762020",721402,20.6089837,84.5780948,ChIJe_jdh3xBIjoR66CETzLWNAg,https://www.google.com/maps/place/?q=place_id:ChIJe_jdh3xBIjoR66CETzLWNAg,part_322,2026-09-20 20:29:39
Vishnu Rice Mill,Rice Mill and Agro Processing,Manufacturer,"Manufacturer, Exporter",721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,+91 70388 63700,https://www.vishnuricemill.com/,5.0,14.0,"Chapral, Maharashtra 441803",721402,20.7091836,79.9098133,ChIJ73a7vp-dLDoRIp0VRWzPgjA,https://www.google.com/maps/place/?q=place_id:ChIJ73a7vp-dLDoRIp0VRWzPgjA,part_322,2026-09-20 20:29:39
Manav Agri Foods,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,N/A,N/A,4.4,20.0,"Sanpera, Kheri Taga, Haryana 131039",721402,29.1073079,77.07174479999999,ChIJERFtr8S3DTkRQyigH8FKons,https://www.google.com/maps/place/?q=place_id:ChIJERFtr8S3DTkRQyigH8FKons,part_322,2026-09-20 20:29:39
S & K Grains Processing Pvt Ltd,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,N/A,N/A,3.0,2.0,"3QVF+VMW, Torkona, Balabati, West Bengal 713423",721402,23.0947432,87.77421559999999,ChIJHxkVUTI7-DkRAMhMuG53h-s,https://www.google.com/maps/place/?q=place_id:ChIJHxkVUTI7-DkRAMhMuG53h-s,part_322,2026-09-20 20:29:39
PRS RICE MILL,Rice Mill and Agro Processing,Agricultural service,Agricultural service,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,N/A,N/A,3.8,31.0,"X5QG+QM7, Bangarapet, Karnataka 563114",721402,12.9894044,78.1766751,ChIJCUVv0TXprTsRVhxRYu-SDFM,https://www.google.com/maps/place/?q=place_id:ChIJCUVv0TXprTsRVhxRYu-SDFM,part_322,2026-09-20 20:29:39
Rajendra Rice & General Mills,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,+91 95930 00031,https://rajendrariceandgeneralmills.com/,5.0,64.0,"Khasara Number:65, 16/2 Simbal Road, Distt, Industrial Area, Himatpura, Tohana, Haryana 125120",Industrial Area,29.7352384,75.8861759,ChIJq6qqaimYETkR3FmsIv1JhEE,https://www.google.com/maps/place/?q=place_id:ChIJq6qqaimYETkR3FmsIv1JhEE,part_322,2026-09-20 20:29:39
Shree Krishna Exports | Basmati Rice Manufacturer,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,+91 78761 52937,https://www.skericemill.com/,5.0,47.0,"Samana Bahu, Road, Bairsal, Haryana 132117",721402,29.9041635,76.9367998,ChIJg0KIPGRDDjkROp-0e8zPHfk,https://www.google.com/maps/place/?q=place_id:ChIJg0KIPGRDDjkROp-0e8zPHfk,part_322,2026-09-20 20:29:39
Shree Gokulesh Rice Mill,Rice Mill and Agro Processing,Food Processing Company,Food Processing Company,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,+91 93768 62000,N/A,4.9,7.0,"National Highway 228, Jetalpur, Gujarat 382427",721402,22.8822203,72.5927488,ChIJvV2vPqCOXjkRDYLABPKa1Kw,https://www.google.com/maps/place/?q=place_id:ChIJvV2vPqCOXjkRDYLABPKa1Kw,part_322,2026-09-20 20:29:39
RANISATI PADDY PROCESSING PVT LTD,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,N/A,N/A,4.2,10.0,"Puranakatak, Jiankata, Odisha 762013",721402,20.623102,84.4255991,ChIJn9zmjiM3IjoRJVuT8vo89FY,https://www.google.com/maps/place/?q=place_id:ChIJn9zmjiM3IjoRJVuT8vo89FY,part_322,2026-09-20 20:29:39
Narayan Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,N/A,http://narayangroupofcompanies.com/,4.6,25.0,"NH-220, Kuaposi Village, Dianali, Odisha 758030",Kuaposi Village,21.6093795,85.89623519999999,ChIJ37iYlGrtHjoRDPHV9gX25xo,https://www.google.com/maps/place/?q=place_id:ChIJ37iYlGrtHjoRDPHV9gX25xo,part_322,2026-09-20 20:29:39
Birupakhya Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,+91 6819 270 142,N/A,3.6,40.0,"QC6Q+G7W, Sana Surada, Odisha 761108",721402,19.761350699999998,84.4381989,ChIJldBzTVPbIjoRjcV0ZWiSQuU,https://www.google.com/maps/place/?q=place_id:ChIJldBzTVPbIjoRjcV0ZWiSQuU,part_322,2026-09-20 20:29:39
REWA RICE MILL REWA,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,+91 98937 29535,N/A,3.7,3.0,"Rewa Rice Mill, Udyog vihar Chorhata Industrial Area, Plot No 31, Maihar - Rewa Rd, Udyog Vihar, Rewa, Khaira, Madhya Pradesh 486006",Udyog Vihar,24.5246076,81.2655798,ChIJqQ8ag5NbhDkRYbqtOd-wMbU,https://www.google.com/maps/place/?q=place_id:ChIJqQ8ag5NbhDkRYbqtOd-wMbU,part_322,2026-09-20 20:29:39
Basudev Rice Mill,Rice Mill and Agro Processing,Manufacturer,Manufacturer,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,N/A,N/A,5.0,3.0,"RHM7+H4F, Jhumpura, Odisha 758031",721402,21.833942399999998,85.5627975,ChIJFYuKZXirHzoRSj1LLtDuFtI,https://www.google.com/maps/place/?q=place_id:ChIJFYuKZXirHzoRSj1LLtDuFtI,part_322,2026-09-20 20:29:39
Prerana Rice mill,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,+91 90330 31431,N/A,3.8,18.0,"WG3W+M44, kamod Rd, Pirana Gam, Giramtha, Paldi Kankaj, Gujarat 382425",721402,22.9041365,72.5453382,ChIJh9kUS0eOXjkRTSSi_WGxVoM,https://www.google.com/maps/place/?q=place_id:ChIJh9kUS0eOXjkRTSSi_WGxVoM,part_322,2026-09-20 20:29:39
GRAINTEC INDUSTRIES,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,+91 63668 38414,http://graintecindustries.com/,4.5,34.0,"Ind'l area, 101,Subramanya Temple Rd,Kachohalli, Chikkagollarahatti, Machohalli, Bengaluru, Karnataka 560091","Kamath Layout, Chikkagollarahatti",12.988479199999999,77.46067819999999,ChIJuRAXy_k7rjsRhgwmZYFC5ls,https://www.google.com/maps/place/?q=place_id:ChIJuRAXy_k7rjsRhgwmZYFC5ls,part_322,2026-09-20 20:29:39
Ebro India Pvt Ltd,Rice Mill and Agro Processing,Rice mill,"Rice mill, Agricultural service",721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,+91 1745 242 249,http://ebroindia.in/,4.5,65.0,"Vill Takhana, GT Road, Taraori Karnal, Haryana 132116",721402,29.79892,76.95101,ChIJE_fiATtpDjkR3-uzeqEMShM,https://www.google.com/maps/place/?q=place_id:ChIJE_fiATtpDjkR3-uzeqEMShM,part_322,2026-09-20 20:29:39
Kunj Bihari Foods Processor Pvt Ltd,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,N/A,N/A,4.8,6.0,"Sukrigarha, Sukrigara Bamni, Jharkhand 825101",Sukrigarha,23.593377699999998,85.6266891,ChIJ09YwQMZY9DkR645ZEnbSms0,https://www.google.com/maps/place/?q=place_id:ChIJ09YwQMZY9DkR645ZEnbSms0,part_322,2026-09-20 20:29:39
Baneshwari Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,N/A,N/A,4.7,11.0,"Bharat Rice Mill Compound, Naz, Jetalpur Pirana Rd, Jetalpur, Ahmedabad, Gujarat 382427",721402,22.886833199999998,72.5878384,ChIJCz-vlB6PXjkRW8LP0NoBJ_s,https://www.google.com/maps/place/?q=place_id:ChIJCz-vlB6PXjkRW8LP0NoBJ_s,part_322,2026-09-20 20:29:39
LT Foods Limited,Rice Mill and Agro Processing,Rice mill,"Rice mill, Agricultural service",721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,N/A,http://www.ltgroup.in/,4.3,250.0,"KM Stone, 43, Grand Trunk Rd, Bahalgarh, Sonipat, Kishora, Haryana 131021",Bahalgarh,28.973605799999998,77.0902502,ChIJGcWEyByuDTkRwxoO7kAQecQ,https://www.google.com/maps/place/?q=place_id:ChIJGcWEyByuDTkRwxoO7kAQecQ,part_322,2026-09-20 20:29:39
SANCHI AGRO VENTURES - Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,721402,West Bengal Circle,South Bengal Region,Contai Division,Contai Super Market SO,+91 91093 25431,https://indianessencefoods.com/,4.9,,"A INDUSTRIAL AREA, 29B, SECTOR, beside AKVN Site Office, beside Industrial Area Jambar Bagri, BARGI, Jambar, Madhya Pradesh 464001",721402,23.559774899999997,77.7624542,ChIJgV9QxiYFfDkRytfZ1uRUc7k,https://www.google.com/maps/place/?q=place_id:ChIJgV9QxiYFfDkRytfZ1uRUc7k,part_322,2026-09-20 20:29:40
