business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
M/S RAMA MEDICAL,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 82070 68121,https://www.msramamedical.com/,4.9,13.0,"Ward no-7, 130, Raj Rajendra Narayan Rd, Puratan Post Office Para, Cooch Behar, West Bengal 736101",Puratan Post Office Para,26.328066399999997,89.44432169999999,ChIJ1eRuv7n_4jkRjttoPHFG4a8,https://www.google.com/maps/place/?q=place_id:ChIJ1eRuv7n_4jkRjttoPHFG4a8,part_330,2026-09-20 20:18:06
JAYA MEDICAL STORES,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,,,"8CCV+WF7, Katamari Buburhat, Katamari Babur, Cooch Behar, West Bengal 736101",736101,26.322277,89.44367799999999,ChIJC5S-OwD94jkROR584VHa0v0,https://www.google.com/maps/place/?q=place_id:ChIJC5S-OwD94jkROR584VHa0v0,part_330,2026-09-20 20:18:06
Rabiya Pharmacy,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,4.0,2.0,"8CPW+68X, South Khagrabari, Kaliganjhat, Cooch Behar, West Bengal 736101",South Khagrabari,26.3356192,89.44586389999999,ChIJ_90BCQ3_4jkRcOZEihY4zdY,https://www.google.com/maps/place/?q=place_id:ChIJ_90BCQ3_4jkRcOZEihY4zdY,part_330,2026-09-20 20:18:06
Bn Drug House,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 73191 50311,N/A,4.2,25.0,"Hospital Rd, Tufanganj, West Bengal 736159",736101,26.310854199999998,89.6683509,ChIJRycqxXDz4jkRq3Nsg2-8dg4,https://www.google.com/maps/place/?q=place_id:ChIJRycqxXDz4jkRq3Nsg2-8dg4,part_330,2026-09-20 20:18:06
Ma Ganga Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,5.0,2.0,"8CCV+VHQ, Cooch Behar, West Bengal 736101",736101,26.3222052,89.4439864,ChIJgYDfRyj84jkRPrYyokqVwCY,https://www.google.com/maps/place/?q=place_id:ChIJgYDfRyj84jkRPrYyokqVwCY,part_330,2026-09-20 20:18:06
Sraboni Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,3.4,5.0,"8C8X+G5J, Silver Jubilee Rd, Ghosh Para, Cooch Behar, West Bengal 736101",Ghosh Para,26.316331599999998,89.4478903,ChIJSSIbtSX84jkRl5rmm4ae_bM,https://www.google.com/maps/place/?q=place_id:ChIJSSIbtSX84jkRl5rmm4ae_bM,part_330,2026-09-20 20:18:06
"Subrata Saha & Mina Drug House,",Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 99327 26540,N/A,5.0,1.0,"8FJ3+VV2, Kalabagan,, Gowala Patti, Cooch Behar, West Bengal 736101",Gowala Patti,26.3321309,89.4546489,ChIJy1-Wj5j-4jkRI9-Toc6SfyM,https://www.google.com/maps/place/?q=place_id:ChIJy1-Wj5j-4jkRI9-Toc6SfyM,part_330,2026-09-20 20:18:06
Bani Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,4.7,3.0,"8CCV+WJG, Sunity Rd, Cooch Behar, West Bengal 736101",736101,26.322301799999998,89.44407869999999,ChIJVeEQNQD94jkRkOqItF66H_Y,https://www.google.com/maps/place/?q=place_id:ChIJVeEQNQD94jkRkOqItF66H_Y,part_330,2026-09-20 20:18:06
Ghosh Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 74780 22488,N/A,4.0,9.0,"Ghosh Medical Store, Biswa Singha Rd, Tetultala, Cooch Behar, West Bengal 736101",Tetultala,26.3184801,89.4442852,ChIJ2zOZWIz94jkR8zZbRe7AyYk,https://www.google.com/maps/place/?q=place_id:ChIJ2zOZWIz94jkR8zZbRe7AyYk,part_330,2026-09-20 20:18:06
Saraswati Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 95632 31790,N/A,5.0,2.0,"Kalabagan, East, Kameswari Rd, West Bengal 736101",736101,26.3301496,89.4566687,ChIJS3m2PCr_4jkRtUF9e1afxNI,https://www.google.com/maps/place/?q=place_id:ChIJS3m2PCr_4jkRtUF9e1afxNI,part_330,2026-09-20 20:18:06
Maya Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,4.5,10.0,"8CMV+7WR, Cooch Behar, West Bengal 736101",736101,26.3332324,89.4447653,ChIJC79EIoX-4jkR11CzztUE8VI,https://www.google.com/maps/place/?q=place_id:ChIJC79EIoX-4jkR11CzztUE8VI,part_330,2026-09-20 20:18:06
MAA KALI MEDICAL,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 81700 74740,N/A,5.0,2.0,"8C8V+JP9, Kalika Das Rd, Kadamtala, Cooch Behar, West Bengal 736101",Kadamtala,26.3165281,89.444368,ChIJcY4cFi_84jkRtw7vRCLjrlE,https://www.google.com/maps/place/?q=place_id:ChIJcY4cFi_84jkRtw7vRCLjrlE,part_330,2026-09-20 20:18:06
Dipali Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 62978 88080,N/A,3.0,2.0,"8C8W+Q9P, Kalika Das Rd, Kadamtala, Cooch Behar, West Bengal 736101",Kadamtala,26.317058,89.4460058,ChIJSyYSq__94jkR0aUNusUDh4I,https://www.google.com/maps/place/?q=place_id:ChIJSyYSq__94jkR0aUNusUDh4I,part_330,2026-09-20 20:18:06
Aarohi Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 81598 47676,N/A,5.0,2.0,"Nripendra Narayan Rd, near N.N Park, Cooch Behar, West Bengal 736101",736101,26.3264548,89.45010049999999,ChIJp2ThhPf_4jkRtnAS1utqQ6s,https://www.google.com/maps/place/?q=place_id:ChIJp2ThhPf_4jkRtnAS1utqQ6s,part_330,2026-09-20 20:18:06
Medicine Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 70292 40469,N/A,,,"Khagrabri, Coochbhar, West Bengal 736101",736101,26.328894899999998,89.4411669,ChIJk487rlL_4jkRWRdFVgt4weo,https://www.google.com/maps/place/?q=place_id:ChIJk487rlL_4jkRWRdFVgt4weo,part_330,2026-09-20 20:18:06
ROY MEDICAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,3.4,7.0,"8F63+MCC, B C ROAD, NEAR TRIBRITYA SARANI, Cooch Behar, West Bengal 736101",Guriahati,26.3116843,89.453516,ChIJl7isMT384jkRotoVnNfgA5o,https://www.google.com/maps/place/?q=place_id:ChIJl7isMT384jkRotoVnNfgA5o,part_330,2026-09-20 20:18:06
Jagatbandhu Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 94745 00774,N/A,3.0,2.0,"8CFV+25X, SH12A, Cooch Behar, West Bengal 736101",736101,26.3226208,89.4429961,ChIJ2RQF0qD94jkRwGLTUDFRe58,https://www.google.com/maps/place/?q=place_id:ChIJ2RQF0qD94jkRwGLTUDFRe58,part_330,2026-09-20 20:18:06
Reema Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,4.9,19.0,"Hospital Road By Lane, behind OUT DOOR of M.J.N Medical College, Cooch Behar, West Bengal 736101",736101,26.320882299999997,89.4464357,ChIJr3KRB-794jkRi4TlZ9VMhnE,https://www.google.com/maps/place/?q=place_id:ChIJr3KRB-794jkRi4TlZ9VMhnE,part_330,2026-09-20 20:18:06
