business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NextGen Auto Care,Car Wash and Auto Detailing,Car wash,"Car wash, Auto air conditioning service, Auto body shop, Auto painting, Auto repair shop, Car detailing service, Upholstery cleaning service",722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 89613 80585,https://nextgen-auto-care.grexa.site/,5.0,53,"Baligori, near 19 No. Tank, Uniworld City, Newtown, Kolkata, Baligori, West Bengal 700160","Uniworld City, Newtown",22.565785899999998,88.4838123,ChIJjUa-M-kLAjoRCM0kx2lptPk,https://www.google.com/maps/place/?q=place_id:ChIJjUa-M-kLAjoRCM0kx2lptPk,part_325,2026-09-20 20:18:10
GK Car Wash (G.K. Automobiles),Car Wash and Auto Detailing,Car wash,"Car wash, Auto restoration service",722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 96418 19199,http://www.carwashslg.in/,4.6,517,"2nd Mile, Sevoke Road, Bhanunager, behind Vishal Cinema Hall, next to Nanglo Bar& Restaurant, Ward 43, dusratpally, Siliguri, West Bengal 734001","Ward 43, Dasrath Pally, dusratpally",26.7325703,88.43019369999999,ChIJa38vLxtB5DkReAo7HH62qq8,https://www.google.com/maps/place/?q=place_id:ChIJa38vLxtB5DkReAo7HH62qq8,part_325,2026-09-20 20:18:10
New Car Laundry,Car Wash and Auto Detailing,Car wash,Car wash,722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 96144 72312,N/A,4.7,490,"Jodthbhim, Newtown, Chakpachuria, West Bengal 700160","Jodthbhim, Newtown",22.5706916,88.4804102,ChIJbao9bdgLAjoRauKzpuHaT-A,https://www.google.com/maps/place/?q=place_id:ChIJbao9bdgLAjoRauKzpuHaT-A,part_325,2026-09-20 20:18:10
SilverShine Auto Detailing,Car Wash and Auto Detailing,Car wash,Car wash,722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 89104 25560,https://www.facebook.com/share/1EyoSMgJD2/,4.9,166,"P-912, 110, Kolkata, West Bengal 700089","Bangur Avenue, Block A, Lake Town",22.6082514,88.4029307,ChIJISPI70B1AjoRS6LZl8CQwzQ,https://www.google.com/maps/place/?q=place_id:ChIJISPI70B1AjoRS6LZl8CQwzQ,part_325,2026-09-20 20:18:11
The Detailing Mafia Topsia,Car Wash and Auto Detailing,Car wash,"Car wash, Auto Dent Removal Service Station, Auto painting, Auto restoration service, Auto upholsterer, Auto window tinting service, Vehicle wrapping service",722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 93301 47371,https://www.thedetailingmafia.com/locate-our-outlets/Kolkata,4.6,251,"16F, E Topsia Rd, near Atmosphere Building, East Topsia, Topsia, Kolkata, West Bengal 700046","East Topsia, Topsia",22.538096499999998,88.39070699999999,ChIJcReHHmN3AjoREo6Af7zy35M,https://www.google.com/maps/place/?q=place_id:ChIJcReHHmN3AjoREo6Af7zy35M,part_325,2026-09-20 20:18:11
C3 Car Care Center,Car Wash and Auto Detailing,Car wash,"Car wash, Auto bodywork mechanic, Auto painting, Auto Accessories Store, Car stereo store, Auto restoration service, Vehicle wrapping service",722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 70444 80775,https://c3carcarecenter.com/,4.8,578,"29/8, Dr Ambedkar Sarani, near Viswakarma building, Seal Lane, Topsia, Kolkata, West Bengal 700046","Seal Lane, Topsia",22.5418646,88.3866571,ChIJ3QUnuB53AjoRUKURa7RCmW4,https://www.google.com/maps/place/?q=place_id:ChIJ3QUnuB53AjoRUKURa7RCmW4,part_325,2026-09-20 20:18:11
Detailing Devils,Car Wash and Auto Detailing,Auto repair shop,"Auto repair shop, Auto restoration service, Bike wash, Mechanic",722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 79808 96248,https://www.detailingdevils.com/detailing-studios/kolkata,4.8,63,"BF/65, CATEGORY-HIG II, Action Area I, SADAR, Newtown, Kolkata, BARSAT, West Bengal 700163","CATEGORY-HIG II, Action Area I, SADAR, Newtown",22.5812572,88.4677466,ChIJI7ek0-uf-DkReaNfnsWp3vg,https://www.google.com/maps/place/?q=place_id:ChIJI7ek0-uf-DkReaNfnsWp3vg,part_325,2026-09-20 20:18:11
Balabux Kanhaiyalal Car Wash,Car Wash and Auto Detailing,Car wash,Car wash,722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",N/A,N/A,4.2,10,"63X5+G3G, Banker Danga Ln, Adarsha Pally, Howrah, Bankura, West Bengal 722155",Adarsha Pally,23.248822999999998,87.0576968,ChIJe9kPTFev9zkR0CR1x2bkghM,https://www.google.com/maps/place/?q=place_id:ChIJe9kPTFev9zkR0CR1x2bkghM,part_325,2026-09-20 20:18:11
The Auto Aura | Car Wash Service in Kolkata | Best Car Detailing Services,Car Wash and Auto Detailing,Car wash,Car wash,722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",+91 90731 11167,https://theautoaura.in/,4.9,65,"325, West Chowbaga Rd, Uttar Panchanna Gram, Kolkata, West Bengal 700100",Uttar Panchanna Gram,22.5333993,88.3998623,ChIJgxHdpgN3AjoR1JMXRCbKAIY,https://www.google.com/maps/place/?q=place_id:ChIJgxHdpgN3AjoR1JMXRCbKAIY,part_325,2026-09-20 20:18:11
Maayer Ashirbad D.E.F Centre,Car Wash and Auto Detailing,Car wash,Car wash,722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO",N/A,N/A,5.0,1,"F6FC+2MQ, Maliara, West Bengal 722142",722201,23.472241699999998,87.22035,ChIJFyDiHQAN9zkROtf3rTurbE8,https://www.google.com/maps/place/?q=place_id:ChIJFyDiHQAN9zkROtf3rTurbE8,part_325,2026-09-20 20:18:12
