business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dadys Salon,Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 79080 11806,N/A,4.0,,"Shop No 8, Gram Panchayet, Bus Stand, Kaichor Road, Singi, Katwa, West Bengal 713514",713514,23.5368076,88.1863439,ChIJJYebkgUH-TkRozYosvHpa5k,https://www.google.com/maps/place/?q=place_id:ChIJJYebkgUH-TkRozYosvHpa5k,part_321,2026-09-20 20:18:50
Abhijit Saloon,Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 89721 46303,N/A,5.0,,"Shop No 2 Kukshimla Bazar Rd, Kukshimla Bazar Rd ,Kukshimla,Raidogachia,Purbasthali, West Bengal 713145",713514,23.4651553,88.2024211,ChIJ8c6JrfwB-TkR5B1dYaC-n9g,https://www.google.com/maps/place/?q=place_id:ChIJ8c6JrfwB-TkR5B1dYaC-n9g,part_321,2026-09-20 20:18:50
Shibam Hair Cutting,Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 79089 26041,N/A,5.0,,"Shop No, Bus Stand, 3, Haldipara Road, near Loknath Mandir, Katwa, Ghumuria, Amul, West Bengal 713514",Katwa,23.4822536,88.2103242,ChIJbxW5diAH-TkRzs3XQ-i-6kE,https://www.google.com/maps/place/?q=place_id:ChIJbxW5diAH-TkRzs3XQ-i-6kE,part_321,2026-09-20 20:18:50
Susmita Makeover Parlour(KURCHI),Salon,Beauty Parlour,Beauty Parlour,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 70743 20794,N/A,,,"Purba, Kurchi, West Bengal 713514",713514,23.529743399999997,88.1424117,ChIJv3C95g6p-TkRlBvmfZ-F_KQ,https://www.google.com/maps/place/?q=place_id:ChIJv3C95g6p-TkRlBvmfZ-F_KQ,part_321,2026-09-20 20:18:50
Nutangram Salon (সেলুন ),Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,5.0,,"G4J8+2HQ, Koichar - Kalna Road, Natungram, West Bengal 713150",713514,23.5300172,88.1162762,ChIJ93eGrxup-TkRSdYXbqmt6RA,https://www.google.com/maps/place/?q=place_id:ChIJ93eGrxup-TkRSdYXbqmt6RA,part_321,2026-09-20 20:18:50
SUPRIYA LADIES' BEAUTY PARLOUR,Salon,Beauty Parlour,Beauty Parlour,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 80012 93064,N/A,5.0,,"F4J3+8RV, Kuara, West Bengal 713143",713514,23.480647599999998,88.1048608,ChIJS8fpgESp-TkRHQe2V0VpOxs,https://www.google.com/maps/place/?q=place_id:ChIJS8fpgESp-TkRHQe2V0VpOxs,part_321,2026-09-20 20:18:50
Gouranga Salon,Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,,,"G5FC+M2W, Postgram, West Bengal 713514",713514,23.524283,88.17012919999999,ChIJ1XWEfAAH-TkRNJ3SnN7uNBo,https://www.google.com/maps/place/?q=place_id:ChIJ1XWEfAAH-TkRNJ3SnN7uNBo,part_321,2026-09-20 20:18:50
Gopal Saloon,Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,5.0,,"Hamunman Mondir, Bamunpara More, Main Road, near Putsuri To, Bamunpara, West Bengal 713145",713514,23.4713781,88.16650489999999,ChIJ3UcqRgCp-TkRWllLg5bFb98,https://www.google.com/maps/place/?q=place_id:ChIJ3UcqRgCp-TkRWllLg5bFb98,part_321,2026-09-20 20:18:50
Keshab Salon,Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 89440 42251,N/A,,,"Shpp No 12, Gram Panchayet, Bus Stand, Kaichor Road, Singi, Katwa, West Bengal 713514",713514,23.536829899999997,88.1870235,ChIJqbNqdUoH-TkRaJN3GMtYXdc,https://www.google.com/maps/place/?q=place_id:ChIJqbNqdUoH-TkRaJN3GMtYXdc,part_321,2026-09-20 20:18:50
Pramanik Hair Cat,Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 73189 64805,N/A,,,"Shop No 15, Jamalpur, Purbasthali, West Bengal 713513",713514,23.4926843,88.2432503,ChIJOUiGiWsH-TkR8ibrkah8Kh0,https://www.google.com/maps/place/?q=place_id:ChIJOUiGiWsH-TkR8ibrkah8Kh0,part_321,2026-09-20 20:18:50
Ma Thakrun Seloon,Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 85158 48939,N/A,,,"Ma Thakrun Shop, Kurchi, West Bengal 713502",713514,23.5323525,88.1436928,ChIJ25B8IMqp-TkRlF7PYrQLks4,https://www.google.com/maps/place/?q=place_id:ChIJ25B8IMqp-TkRlF7PYrQLks4,part_321,2026-09-20 20:18:50
মা মনসা সেলুন,Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 97320 59224,N/A,5.0,,"Kuara, Katwa, West Bengal 713143",713514,23.479909,88.1049065,ChIJrTuXKwCp-TkRWberuNKAdK4,https://www.google.com/maps/place/?q=place_id:ChIJrTuXKwCp-TkRWberuNKAdK4,part_321,2026-09-20 20:18:50
Biswajit Mallick,Salon,Hair salon,Hair salon,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 82402 70112,N/A,,,"Biswajit Mallick, Kurchi, West Bengal 713502",713514,23.532207399999997,88.1435704,ChIJKes9evup-TkRbq5cnaU_Qx8,https://www.google.com/maps/place/?q=place_id:ChIJKes9evup-TkRbq5cnaU_Qx8,part_321,2026-09-20 20:18:51
