business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Resonance Raipur best iit jee & neet,NEET and JEE Coaching Center,Coaching Center,Coaching Center,732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 77710 07839,http://resonance.ac.in/sc/raipur,4.0,205.0,"Resonance, Great Eastern Rd, beside Westside, near anupam garden, Geeta Nagar, Choubey Colony, Raipur, Chhattisgarh 492001","Geeta Nagar, Choubey Colony",21.2440385,81.61016939999999,ChIJMarGL93dKDoRTqUXZgs1u1c,https://www.google.com/maps/place/?q=place_id:ChIJMarGL93dKDoRTqUXZgs1u1c,part_327,2026-09-20 20:27:24
Tutorize Academy | IIT-JEE | NEET | MHT-CET | 11th 12th Science | 8th 9th 10th | Best coaching classes for IIT-JEE & NEET,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Charter school, Education center, Educational institution, Studying center, Tutoring service",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 73853 45020,http://www.tutorizeacademy.com/,5.0,195.0,"Swanand Shopping Centre, 223, above Axis Bank, near Chatrapati Shivaji Maharaj Chowk, Ambernath, Maharashtra 421501",Vadavali,19.2084543,73.1866348,ChIJx-sepc6T5zsR8HlYC9lziJY,https://www.google.com/maps/place/?q=place_id:ChIJx-sepc6T5zsR8HlYC9lziJY,part_327,2026-09-20 20:27:24
Vision Academy | IIT JEE | NEET Coaching,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 81046 46361,http://visionscienceacademy.in/,4.8,153.0,"Shop no 3, Sahyadri chambers, VISION ACADEMY, Malangad Rd, near JAN KALYAN HOSPITAL, Dombivli, Pisavli Village, Dombivli East, Kalyan, Maharashtra 421306","Dombivli, Pisavli Village, Dombivli East",19.2181675,73.1289154,ChIJXQcUZciV5zsR-uppwuLL_Kc,https://www.google.com/maps/place/?q=place_id:ChIJXQcUZciV5zsR-uppwuLL_Kc,part_327,2026-09-20 20:27:24
"Physics Wallah Vidyapeeth Coaching Center Jaipur RS Circle | IIT JEE, NEET & Foundation Classes",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Learning center, Private Tutor, Studying center, Training center, Tutoring service",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 80 4749 1146,https://www.pw.live/offline-centres/batches/vidyapeeth/jaipur-rj/jaipur---rs-circle-vidyapeeth-795362,4.8,1231.0,"OJAT Tower, 502, Gopalpura Bypass Rd, Surya Nagar, Gopal Pura Mode, Jaipur, Rajasthan 302015","Surya Nagar, Gopal Pura Mode",26.871983699999998,75.7795998,ChIJ100Shrq1bTkRC-O5M-RWMIo,https://www.google.com/maps/place/?q=place_id:ChIJ100Shrq1bTkRC-O5M-RWMIo,part_327,2026-09-20 20:27:24
"Excellence Educare | IIT-JEE, NEET & MHT-CET Coaching Classes in Dombivli",NEET and JEE Coaching Center,Coaching Center,Coaching Center,732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 88982 91212,https://excellenceeducare.in/,4.7,,"215, JAGANATH'S COMMERCE PLAZA, Manpada Rd, near CHAR RASTA, Dombivli, Tilak Nagar, Dombivli East, Kalyan, Maharashtra 421201","Dombivli, Tilak Nagar, Dombivli East",19.213518099999998,73.0916852,ChIJ_YJRMBeV5zsRLLhBWlDeiMs,https://www.google.com/maps/place/?q=place_id:ChIJ_YJRMBeV5zsRLLhBWlDeiMs,part_327,2026-09-20 20:27:24
Excellence Academy,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational institution",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 76665 32114,https://excellenceacademyamb.com/,4.9,,"2nd Floor, Sawant Arcade, above jainam super market, near Ambernath, Ambernath East, Vadavali, Ambernath, Maharashtra 421501","Ambernath East, Vadavali",19.2075225,73.18557779999999,ChIJObuHiq6T5zsRrARaASTqmCM,https://www.google.com/maps/place/?q=place_id:ChIJObuHiq6T5zsRrARaASTqmCM,part_327,2026-09-20 20:27:24
"ASQUARE Medical & IIT-JEE Academy, Pimpri (PCMC)",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Charter school, Educational institution",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 97661 18877,https://www.asquareclasses.com/,4.6,,"Corporate Office : Asquare Medical & IIT-JEE Academy Sai Vrindavan, Nehru Nagar, Pimpri Colony, Pune, Maharashtra 411018","Nehru Nagar, Pimpri Colony",18.628766,73.8192514,ChIJ6ReSSWe4wjsRta_4EDbLVGY,https://www.google.com/maps/place/?q=place_id:ChIJ6ReSSWe4wjsRta_4EDbLVGY,part_327,2026-09-20 20:27:24
NARAYANA IIT-JEE/NEET/FOUNDATION - CHINCHWAD,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 95222 00750,https://centres.narayanacoachingcenters.in/narayana-coaching-center/centers-in-pimpri-chinchwad/centers-in-Pimpri-Colony/narayana-iitjeeneetfoundation-in-Pimpri-Colony-pimpri-chinchwad--1E2OoD/home,4.4,,"Second Floor, Old Mumbai - Pune Hwy, opposite Ranka Jewellers, Empire Estate Phase-II, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411019","Empire Estate Phase-II, Pimpri Colony",18.6336565,73.7989147,ChIJWXRLSde5wjsRo24mIrvtN08,https://www.google.com/maps/place/?q=place_id:ChIJWXRLSde5wjsRo24mIrvtN08,part_327,2026-09-20 20:27:24
Elite IIT Coaching Malleshwaram,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Banking entrance coaching centre, Education center, Educational institution",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 77954 00014,http://www.eliteiit.com/,4.0,,"282, Sampige Rd, 18th cross, Ranganathapura, Malleshwaram, Bengaluru, Karnataka 560003","18th cross, Ranganathapura, Malleshwaram",13.007928399999999,77.5713036,ChIJIeYf2PwXrjsRzM3boQSjIBc,https://www.google.com/maps/place/?q=place_id:ChIJIeYf2PwXrjsRzM3boQSjIBc,part_327,2026-09-20 20:27:24
VRaZ Academy IITJEE | NEET | FOUNDATION,NEET and JEE Coaching Center,Educational institution,"Educational institution, Test preparation center, Tutoring service",732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO,+91 88283 65777,https://vrazacademy.com/,4.9,,"office no. 201 ,2nd floor, B-wing sarvodaya villa co-operative chs, Bhanunagar Kalyan(West), Bhoiwada, Kalyan, Maharashtra 421301","Bhanunagar Kalyan(West), Bhoiwada",19.2387738,73.1272535,ChIJMwKsstGV5zsRDXrUEPmQSeM,https://www.google.com/maps/place/?q=place_id:ChIJMwKsstGV5zsRDXrUEPmQSeM,part_327,2026-09-20 20:27:24
