business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kichukhan Hotel and Restaurant,Pure Veg Restaurant,Restaurant,Restaurant,721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",+91 99323 53596,N/A,4.8,,"Block 1, Gopiballabpur, West Bengal 721506",Block 1,22.2080938,86.89597049999999,ChIJ49nRrSihHToRgUEW_nmADIo,https://www.google.com/maps/place/?q=place_id:ChIJ49nRrSihHToRgUEW_nmADIo,part_321,2026-09-20 20:24:06
"Pati Nana Hotel, Pure Veg Resturant",Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Gujarati restaurant",721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",N/A,N/A,4.1,,"WPJG+M4G, Deulasahi, Mayurbhanj, Baripada, Odisha 757001","Deulasahi, Mayurbhanj",21.9316767,86.7253168,ChIJ2-i5CvKxHToRgCRuoWxmXpw,https://www.google.com/maps/place/?q=place_id:ChIJ2-i5CvKxHToRgCRuoWxmXpw,part_321,2026-09-20 20:24:06
Royal Hotel & Restaurant,Pure Veg Restaurant,Restaurant,Restaurant,721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",+91 97325 75913,N/A,4.0,,"bhatbhanga kharikamathani, Baligeria Road, Kharikamathani, West Bengal 721159",721125,22.0007798,87.1310676,ChIJjwGs6b8bHToRgFQfOw61k-o,https://www.google.com/maps/place/?q=place_id:ChIJjwGs6b8bHToRgFQfOw61k-o,part_321,2026-09-20 20:24:06
715 NO DHABA,Pure Veg Restaurant,Restaurant,Restaurant,721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",+91 70832 13608,N/A,4.0,,"Mumbai - Kolkata Hwy, Belia Guri, West Bengal 721513",721125,22.304945699999998,86.8769384,ChIJX7Jk94qdHToRVKOcx7ayFKo,https://www.google.com/maps/place/?q=place_id:ChIJX7Jk94qdHToRVKOcx7ayFKo,part_321,2026-09-20 20:24:06
Amrapali Family Restaurant,Pure Veg Restaurant,Restaurant,Restaurant,721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",+91 85976 84040,https://www.facebook.com/amrapalirestaurantkultikri?mibextid=ZbWKwL,4.5,,"Poradiha More, Guptamoni - Kultikri Rd, near Riya Mega Shop, Kultikri, West Bengal 721135",721125,22.1847574,87.1637028,ChIJ2WpsZQ4VHToRUhCmnKU8kUg,https://www.google.com/maps/place/?q=place_id:ChIJ2WpsZQ4VHToRUhCmnKU8kUg,part_321,2026-09-20 20:24:06
JJ PURE VEG RESTAURANT,Pure Veg Restaurant,Family restaurant,Family restaurant,721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",+91 70039 81259,N/A,4.0,,"2, UTTAR RABINDARNAGAR, near Kps Mall, Krishnapur, Chinsurah R S, Kodalia, Chinsurah, West Bengal 712103","Krishnapur, Chinsurah R S",22.9009938,88.3826488,ChIJQcd3F5eT-DkRDUWlFb7VQqk,https://www.google.com/maps/place/?q=place_id:ChIJQcd3F5eT-DkRDUWlFb7VQqk,part_321,2026-09-20 20:24:06
Ajanta Dhaba Hotel,Pure Veg Restaurant,Dhaba,Dhaba,721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",+91 94302 39221,N/A,4.0,,"Near Panisol Jawahar Navodaya vidyalaya, Panishol, Jharkhand 832101",721125,22.2956848,86.8270079,ChIJt3PuoK6eHToRXP-BWTUWAec,https://www.google.com/maps/place/?q=place_id:ChIJt3PuoK6eHToRXP-BWTUWAec,part_321,2026-09-20 20:24:06
Garam Masala Family restaurants,Pure Veg Restaurant,Indian restaurant,Indian restaurant,721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",+91 99378 47709,N/A,3.7,,"Q6J9+VP3, Badshahi Rd, Rajpur, Odisha 756086",721125,21.7821479,87.2193085,ChIJGaXXkijhHDoRxD7vg_dmVhI,https://www.google.com/maps/place/?q=place_id:ChIJGaXXkijhHDoRxD7vg_dmVhI,part_321,2026-09-20 20:24:06
Ram Ram Sa,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Restaurant",721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",+91 62911 28887,N/A,4.4,114.0,"Ram Ram Sa, Sneha Garden, Tarulia 3rd Ln, Tarulia, Krishnapur, Newtown, Kolkata, West Bengal 700102","Tarulia, Krishnapur, Newtown",22.586565099999998,88.4431425,ChIJPd8B6HF1AjoR_g1HYZyZTAI,https://www.google.com/maps/place/?q=place_id:ChIJPd8B6HF1AjoR_g1HYZyZTAI,part_321,2026-09-20 20:24:06
Shreeji Pure Veg - Bharti Vidyapeeth,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",+91 98608 56411,https://www.facebook.com/shreejipurevegbhartividyapeeth/,4.0,2995.0,"Sr. No. 73/2A/4A, Showroom No. 1, Panache Tiranga Chowk-Datta Nagar Road, Narhe Ambegaon Rd, behind Bharti Vidyapeeth, Katraj, Pune, Maharashtra 411046","Shriram Nagar, Katraj",18.451905099999998,73.851249,ChIJwXDKHs_qwjsR0X5eSBX8YLE,https://www.google.com/maps/place/?q=place_id:ChIJwXDKHs_qwjsR0X5eSBX8YLE,part_321,2026-09-20 20:24:06
Prashanti Hotel (Pure Veg),Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",N/A,N/A,4.0,84.0,"WPPG+8QV, Belgodia, Deulasahi, Bhanjpur, Baripada, Odisha 757001","Belgodia, Deulasahi, Bhanjpur",21.935869,86.72693679999999,ChIJVUXCm-6xHToRNzzS5THEcYI,https://www.google.com/maps/place/?q=place_id:ChIJVUXCm-6xHToRNzzS5THEcYI,part_321,2026-09-20 20:24:06
The Royal kitchen & family restaurant,Pure Veg Restaurant,Restaurant,Restaurant,721125,West bengal circle,South Bengal Region,Midnapore Division,"Banisole BO, Banskuthi BO, Baligeria SO",N/A,N/A,4.2,46.0,"Q564+W8H, NH60, Thengadiha, Santoshpur, Odisha 756030",721125,21.7623294,87.15584439999999,ChIJOwDqGprhHDoRdUglydKbqps,https://www.google.com/maps/place/?q=place_id:ChIJOwDqGprhHDoRdUglydKbqps,part_321,2026-09-20 20:24:07
