business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
M/s Das Furniture,Furniture Showroom,Furniture store,"Furniture store, Garden Furniture Store, Office furniture store",721133,West Bengal Circle,South Bengal Region,Midnapore Division,"Keshiary SO, Amda BO, Baghasti BO",+91 99333 33062,http://www.dasfurniturebelda.com/,4.8,129.0,"Hospital Road, Belda, Deuli, West Bengal 721424",721133,22.0777175,87.3385909,ChIJz45dZ2I7HToRe1oUIIYmUWg,https://www.google.com/maps/place/?q=place_id:ChIJz45dZ2I7HToRe1oUIIYmUWg,part_321,2026-09-20 20:29:03
Somnath Steel Furniture,Furniture Showroom,Furniture wholesaler,Furniture wholesaler,721133,West Bengal Circle,South Bengal Region,Midnapore Division,"Keshiary SO, Amda BO, Baghasti BO",+91 97331 16545,https://m.facebook.com/people/Somnath-Steel-Furniture/100086993028495/?fref=nf,4.9,10.0,"Keshiary, West Bengal 721133",721133,22.1229923,87.2350958,ChIJg-aFCAk-HToRYXqbPEve-48,https://www.google.com/maps/place/?q=place_id:ChIJg-aFCAk-HToRYXqbPEve-48,part_321,2026-09-20 20:29:03
Dada Bhai Furniture,Furniture Showroom,Furniture store,Furniture store,721133,West Bengal Circle,South Bengal Region,Midnapore Division,"Keshiary SO, Amda BO, Baghasti BO",N/A,N/A,5.0,2.0,"28M6+GP, Kharikar, West Bengal 721451",721133,22.033751,87.311791,ChIJBygDbQA7HToRWQSdHjK3dE0,https://www.google.com/maps/place/?q=place_id:ChIJBygDbQA7HToRWQSdHjK3dE0,part_321,2026-09-20 20:29:03
Rana Steel Furniture,Furniture Showroom,Furniture store,"Furniture store, Furniture wholesaler",721133,West Bengal Circle,South Bengal Region,Midnapore Division,"Keshiary SO, Amda BO, Baghasti BO",+91 98009 25152,N/A,5.0,3.0,"Bus Stand, Near, Keshiary, West Bengal 721133",721133,22.1226633,87.2347078,ChIJrbClAAk-HToRovYhCGtDdjo,https://www.google.com/maps/place/?q=place_id:ChIJrbClAAk-HToRovYhCGtDdjo,part_321,2026-09-20 20:29:03
Bhaskar House,Furniture Showroom,Furniture store,Furniture store,721133,West Bengal Circle,South Bengal Region,Midnapore Division,"Keshiary SO, Amda BO, Baghasti BO",N/A,N/A,3.0,1.0,"464R+283, Keshiary, Hasim Pur, West Bengal 721133",721133,22.1049439,87.240875,ChIJO-eJGAA9HToRb_PkaECMO_Y,https://www.google.com/maps/place/?q=place_id:ChIJO-eJGAA9HToRb_PkaECMO_Y,part_321,2026-09-20 20:29:03
Ghosh Furniture,Furniture Showroom,Furniture store,Furniture store,721133,West Bengal Circle,South Bengal Region,Midnapore Division,"Keshiary SO, Amda BO, Baghasti BO",+91 97334 44117,https://www.facebook.com/profile.php?id=100072464467513&mibextid=ZbWKwL,4.6,28.0,"Dantan Rd, Belda, West Bengal 721424",721133,22.070342399999998,87.33761489999999,ChIJTfFr9yc7HToRqAtVUbvRUbw,https://www.google.com/maps/place/?q=place_id:ChIJTfFr9yc7HToRqAtVUbvRUbw,part_321,2026-09-20 20:29:03
"Sleepwell Shoppe - Keshiary, Paschim Medinipur",Furniture Showroom,Mattress store,"Mattress store, Bed shop, Bedding store, Bedroom furniture store",721133,West Bengal Circle,South Bengal Region,Midnapore Division,"Keshiary SO, Amda BO, Baghasti BO",+91 8071 640 281,https://storesnearme.mysleepwell.com/sleepwell/stores-in-paschim-medinipur/stores-in-keshiary/sleepwell-shoppe-rana-steel-furniture-in-keshiary-paschim-medinipur--41ad8056-5310-4d58-bf39-bca5e681e776/home,4.9,13.0,"Rana Steel Furniture, Main Road, nearby Bus Stand, Keshiary, Dasisarisha, West Bengal 721133",721133,22.1212384,87.2411104,ChIJxxxTzLQ_HToRc2naqmAse5M,https://www.google.com/maps/place/?q=place_id:ChIJxxxTzLQ_HToRc2naqmAse5M,part_321,2026-09-20 20:29:03
Galaxy furniture,Furniture Showroom,Furniture store,Furniture store,721133,West Bengal Circle,South Bengal Region,Midnapore Division,"Keshiary SO, Amda BO, Baghasti BO",+91 81580 05938,N/A,3.0,2.0,"388W+M2J, Digh Road, Rabindranagar Rd, near RK Honda Showroom, Sabuj, Belda, West Bengal 721424",Sabuj,22.066713,87.34501879999999,ChIJSw5pXgA7HToRSMGZ5514Olg,https://www.google.com/maps/place/?q=place_id:ChIJSw5pXgA7HToRSMGZ5514Olg,part_321,2026-09-20 20:29:03
Churi Farnichar,Furniture Showroom,Furniture store,Furniture store,721133,West Bengal Circle,South Bengal Region,Midnapore Division,"Keshiary SO, Amda BO, Baghasti BO",N/A,N/A,3.0,1.0,"374R+CC, Dhekrar, West Bengal 721424",721133,22.0560387,87.2911268,ChIJ37tkLAA9HToR509L66lH5qE,https://www.google.com/maps/place/?q=place_id:ChIJ37tkLAA9HToR509L66lH5qE,part_321,2026-09-20 20:29:03
ASBAB,Furniture Showroom,Furniture store,Furniture store,721133,West Bengal Circle,South Bengal Region,Midnapore Division,"Keshiary SO, Amda BO, Baghasti BO",+91 97335 46169,N/A,3.9,18.0,"SH 5, Belda, Kashbaasanda, West Bengal 721451",721133,22.0596735,87.3602504,ChIJy9XvI-06HToRPeVahRFWRFM,https://www.google.com/maps/place/?q=place_id:ChIJy9XvI-06HToRPeVahRFWRFM,part_321,2026-09-20 20:29:03
