business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Lens Eye Foundation,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Ophthalmologist, Ophthalmology clinic",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 74777 64683,N/A,5.0,,"Near, bdo office more, Topamari, Jalpaiguri, West Bengal 735101",Topamari,26.545422,88.7203215,ChIJLVrYMm955DkRx6ZJ2ftk_1Q,https://www.google.com/maps/place/?q=place_id:ChIJLVrYMm955DkRx6ZJ2ftk_1Q,part_329,2026-09-20 20:17:57
Jalpaiguri Eye Foundation,Eye Clinic and Eye Hospital,Eye care center,Eye care center,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 3561 221 999,N/A,4.3,,"GPPG+Q54, near Dhardhara Bridge, Raikatpara, Jalpaiguri, West Bengal 735101",Raikatpara,26.5368839,88.72545629999999,ChIJHRXEsWl55DkRwVMGFyfSwOo,https://www.google.com/maps/place/?q=place_id:ChIJHRXEsWl55DkRwVMGFyfSwOo,part_329,2026-09-20 20:17:57
Drishti Eye Centre-Jalpaiguri,Eye Clinic and Eye Hospital,Eye care center,Eye care center,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 97356 00800,N/A,4.0,,"1st Floor, Shankar Bhawan, Shani Mandir, opposite Raikat para, Raikatpara, Jalpaiguri, West Bengal 735101",Raikatpara,26.535405599999997,88.7247376,ChIJCVIWfWh55DkRSvH3J0COoJk,https://www.google.com/maps/place/?q=place_id:ChIJCVIWfWh55DkRSvH3J0COoJk,part_329,2026-09-20 20:17:57
Trinetra Eye Hospital,Eye Clinic and Eye Hospital,Hospital,Hospital,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 70476 34032,N/A,5.0,,"Indiramore, near TATA Motors Service Centre, Uttar Madhabdanga, Maynaguri, West Bengal 735224",734501,26.547251199999998,88.8268149,ChIJOUBZNQCH4zkR8LMiE8F-EfU,https://www.google.com/maps/place/?q=place_id:ChIJOUBZNQCH4zkR8LMiE8F-EfU,part_329,2026-09-20 20:17:57
Dr. Aniruddha Ghosh,Eye Clinic and Eye Hospital,Eye care center,Eye care center,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 3561 221 999,N/A,4.8,,"GPPG+P4Q, Unnamed Road, Raikatpara, Jalpaiguri, West Bengal 735101",Raikatpara,26.5368283,88.7253489,ChIJ_TNw3NF55DkRNkA7JeYQtZo,https://www.google.com/maps/place/?q=place_id:ChIJ_TNw3NF55DkRNkA7JeYQtZo,part_329,2026-09-20 20:17:57
Dristi Daan Eye Micro Surgery & Diagnostic Centre,Eye Clinic and Eye Hospital,Ophthalmology clinic,Ophthalmology clinic,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 3561 256 412,N/A,3.5,,"GPW9+FX3, Jalpaiguri, West Bengal 735121",734501,26.5461498,88.71991609999999,ChIJDcbLiHp55DkRpB869R-8ZrM,https://www.google.com/maps/place/?q=place_id:ChIJDcbLiHp55DkRpB869R-8ZrM,part_329,2026-09-20 20:17:57
Retina Institute of Bengal,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Ophthalmologist",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 86534 48445,https://www.retinainstituteofbengal.com/,4.8,,"UTTARAPAN MARKET COMPLEX, Hill Cart Rd, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 1, Pradhan Nagar",26.728061099999998,88.4133117,ChIJrWZh2TpB5DkRD2k4TRiN8GQ,https://www.google.com/maps/place/?q=place_id:ChIJrWZh2TpB5DkRD2k4TRiN8GQ,part_329,2026-09-20 20:17:57
Dr. Tapan Adhikary - Best Ophthalmologists in Jalpaiguri,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Sweet shop, Ophthalmologist, Grocery store, Ophthalmology clinic, Pediatric ophthalmologist",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 97759 43277,https://dr-tapan-adhikary.localo.site/,3.0,,"The Lens Eye Foundation, more, near bdo office, Topamari, Jalpaiguri, West Bengal 735101",Topamari,26.545432899999998,88.7203595,ChIJOU9Is6Z55DkR_30Ao44HxNI,https://www.google.com/maps/place/?q=place_id:ChIJOU9Is6Z55DkR_30Ao44HxNI,part_329,2026-09-20 20:17:57
Centre For Sight Group of Eye Hospitals | Siliguri | West Bengal,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Children's hospital, Hospital, Lasik surgeon, Women's health clinic, Ophthalmology clinic, Pediatrician, Private hospital, Senior citizen center, Surgeon",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 1800 120 0477,https://www.centreforsight.net/eye-hospitals-in-india/siliguri/cfs-siliguri?utm_source=GMB&utm_medium=Local+Pack&utm_campaign=GMB_Mile_Sevoke_Road_Siliguri,4.8,,"R S Plot No.254, Bus Stand, Sevoke Rd, opposite PC Mittal, Ward 41, Don Bosco Colony, Siliguri, West Bengal 734001","Ward 41, Don Bosco Colony",26.741918199999997,88.43613239999999,ChIJiQyntnVB5DkRRZQG5Hmr250,https://www.google.com/maps/place/?q=place_id:ChIJiQyntnVB5DkRRZQG5Hmr250,part_329,2026-09-20 20:17:57
Salugara Optical & Anushka optical (Debidanga bazar),Eye Clinic and Eye Hospital,Eye care center,Eye care center,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",N/A,N/A,4.8,,"Ward 42, Salugara, Siliguri, West Bengal 734008","Ward 42, Salugara",26.766486,88.4448925,ChIJVVVVFWdA5DkRZWdlS3T8QUo,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFWdA5DkRZWdlS3T8QUo,part_329,2026-09-20 20:17:57
