business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Yuva Awas (যুব আবাস),Hostels,Backpacker Hostel,Backpacker Hostel,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",N/A,N/A,3.6,22.0,"GMF8+852, Unnamed Road, Nanduara, West Bengal 723133",723104,23.5232614,86.6653845,ChIJ28DRDjPx9jkRMbJzCD6Dgi8,https://www.google.com/maps/place/?q=place_id:ChIJ28DRDjPx9jkRMbJzCD6Dgi8,part_325,2026-09-20 20:26:41
Raju Mess,Hostels,Boys' hostel,Boys' hostel,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 96799 77380,N/A,4.0,49.0,"NH314, Lalpur, West Bengal 723130",723104,23.306896599999998,86.62963189999999,ChIJPYvw5wRf9jkRfpiZmLG8kXQ,https://www.google.com/maps/place/?q=place_id:ChIJPYvw5wRf9jkRfpiZmLG8kXQ,part_325,2026-09-20 20:26:41
Kalabani school hostel,Hostels,Boys' hostel,Boys' hostel,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",N/A,N/A,5.0,1.0,"CH8J+35X, Kalabani, West Bengal 723104",723104,23.4152444,86.58049729999999,ChIJr4vYtMr09jkR4seFS-vm6Aw,https://www.google.com/maps/place/?q=place_id:ChIJr4vYtMr09jkR4seFS-vm6Aw,part_325,2026-09-20 20:26:41
Science hostel (humanities),Hostels,Student dormitory,Student dormitory,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",N/A,N/A,5.0,1.0,"8HRF+H24, Lakshanpur, West Bengal 723104",723104,23.3413893,86.5725851,ChIJ67zCT7xh9jkRTwRBpc40aOo,https://www.google.com/maps/place/?q=place_id:ChIJ67zCT7xh9jkRTwRBpc40aOo,part_325,2026-09-20 20:26:41
Ashwraam,Hostels,Student dormitory,Student dormitory,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",N/A,N/A,,,"9H8M+H77, Unnamed Road, Khairipihira, West Bengal 723104",723104,23.3664213,86.5831688,ChIJsQmwYnH19jkRLwhCAJNbn9M,https://www.google.com/maps/place/?q=place_id:ChIJsQmwYnH19jkRLwhCAJNbn9M,part_325,2026-09-20 20:26:41
DAYA SHREE BOYS HOSTEL,Hostels,Boys' hostel,"Boys' hostel, Backpacker Hostel, Student dormitory, Youth Hostel",723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 95890 08456,N/A,4.8,166.0,"165, Press Colony, Ashok Vihar, Anandnagar, Bhopal, Madhya Pradesh 462022","Press Colony, Ashok Vihar, Anandnagar",23.256136299999998,77.4859536,ChIJNaWR07VBfDkR6y5BaEd2Meg,https://www.google.com/maps/place/?q=place_id:ChIJNaWR07VBfDkR6y5BaEd2Meg,part_325,2026-09-20 20:26:43
Live Free Hostel Rishikesh,Hostels,Backpacker Hostel,"Backpacker Hostel, Cafe",723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 96393 39600,http://www.livefreehostels.com/,4.5,2825.0,"Laxman Jhula Rd, near Anand Dham, Tapovan, Rishikesh, Uttarakhand 249192",Tapovan,30.127819,78.3251937,ChIJDegR7kQWCTkRxhYZfZftgJ8,https://www.google.com/maps/place/?q=place_id:ChIJDegR7kQWCTkRxhYZfZftgJ8,part_325,2026-09-20 20:26:43
Rai Hostel,Hostels,Student dormitory,Student dormitory,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 90390 66596,N/A,4.6,19.0,"Sector 2, Vinay Nagar, Gwalior, Madhya Pradesh 474008","Sector 2, Vinay Nagar",26.2199909,78.1587253,ChIJJYTLlmvHdjkR9Yhd621m_xY,https://www.google.com/maps/place/?q=place_id:ChIJJYTLlmvHdjkR9Yhd621m_xY,part_325,2026-09-20 20:26:43
Hostel Angels Abode,Hostels,Student dormitory,Student dormitory,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 74870 89844,N/A,3.8,112.0,"L3, 112, ሰርቪሰ መንገድ, near Sai Mandir, Acharya Vihar, Bhubaneswar, Odisha 751013",Acharya Vihar,20.2958961,85.830196,ChIJ0eorJIwJGToRv9C5o_z4u-w,https://www.google.com/maps/place/?q=place_id:ChIJ0eorJIwJGToRv9C5o_z4u-w,part_325,2026-09-20 20:26:43
Tulsi Ganga Hostel,Hostels,Backpacker Hostel,Backpacker Hostel,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 75790 85624,N/A,4.7,876.0,"Gangakshetra, kailash gate, Muni Ki Reti, Rishikesh, Uttarakhand 249137",Muni Ki Reti,30.1165624,78.3039678,ChIJZ1lyW5YXCTkRMFFhvG2gD-4,https://www.google.com/maps/place/?q=place_id:ChIJZ1lyW5YXCTkRMFFhvG2gD-4,part_325,2026-09-20 20:26:43
