business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MAITI BUSINESS PARK,Commercial Complex,Corporate campus,Corporate campus,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",+91 72018 84545,N/A,5.0,,"9V3V+97M, Haldia - Tamluk - Mechada Rd., near Panchberia bus stop, Nonakuri Bazar, Janu Basan, West Bengal 721172",721137,22.354333,87.8931195,ChIJtTwKNwCXAjoRaKJ7iD4AGhE,https://www.google.com/maps/place/?q=place_id:ChIJtTwKNwCXAjoRaKJ7iD4AGhE,part_321,2026-09-20 20:31:43
KOUSHIK CHAKRABORTY'S HOME,Commercial Complex,Housing complex,Housing complex,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",N/A,N/A,4.9,,"8VXW+Q4M, Haldia - Tamluk - Mechada Rd., Janu Basan, Amtala, West Bengal 721172",721137,22.3494668,87.8953021,ChIJE7wzcUyXAjoRRp0zs83NvL0,https://www.google.com/maps/place/?q=place_id:ChIJE7wzcUyXAjoRRp0zs83NvL0,part_321,2026-09-20 20:31:43
Arifa Fashion,Commercial Complex,Shopping mall,Shopping mall,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",N/A,N/A,,,"8XW8+MV5, Sasati bus stand ..shyampur. howrah, West Bengal 711312",721137,22.346637599999998,87.9672271,ChIJZ-SSPrCRAjoRA3lD1TONf4E,https://www.google.com/maps/place/?q=place_id:ChIJZ-SSPrCRAjoRA3lD1TONf4E,part_321,2026-09-20 20:31:43
Arrow Mart,Commercial Complex,Shopping mall,Shopping mall,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",N/A,https://arrow-mart.sh0p.in/,4.0,,"bright star club, Tamluk dimarihat chowrasta kakharda, Tamluk, West Bengal 721172",721137,22.351688499999998,87.89663469999999,ChIJZ0DHgVGXAjoRQVJUiD21r2I,https://www.google.com/maps/place/?q=place_id:ChIJZ0DHgVGXAjoRQVJUiD21r2I,part_321,2026-09-20 20:31:43
Zoya_Shop,Commercial Complex,Shopping mall,"Shopping mall, Online Share Trading Center",721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",+91 98007 47711,https://heylink.me/jaanarman2000/,5.0,,"PONAN, Gathra, Kharui, Kolkata, West Bengal 721137","PONAN, Gathra",22.390776199999998,87.877072,ChIJ-5YXnq6XAjoRP2lwCKWy5KQ,https://www.google.com/maps/place/?q=place_id:ChIJ-5YXnq6XAjoRP2lwCKWy5KQ,part_321,2026-09-20 20:31:43
Osmanpur Koil Shop,Commercial Complex,Shopping mall,Shopping mall,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",N/A,N/A,4.5,,"9X48+R67, Osmanpur, West Bengal 711312",721137,22.3570492,87.9655317,ChIJ86TKc9mRAjoRsK51Kg4gvaM,https://www.google.com/maps/place/?q=place_id:ChIJ86TKc9mRAjoRsK51Kg4gvaM,part_321,2026-09-20 20:31:43
Pal Business Complex,Commercial Complex,Condominium rental agency,Condominium rental agency,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",N/A,N/A,,,"Santipur, Mecheda, West Bengal 721137",Santipur,22.409807,87.865083,ChIJecVjzaeXAjoR1ENx3RFI2N8,https://www.google.com/maps/place/?q=place_id:ChIJecVjzaeXAjoR1ENx3RFI2N8,part_321,2026-09-20 20:31:43
FM COMPLEX,Commercial Complex,Shopping mall,Shopping mall,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",N/A,N/A,,,"No.- 01, KTPP Gate, Shantipur, Mecheda, West Bengal 721137",721137,22.4116438,87.8642899,ChIJM4MPqXWXAjoRdGo_zpVRwkY,https://www.google.com/maps/place/?q=place_id:ChIJM4MPqXWXAjoRdGo_zpVRwkY,part_321,2026-09-20 20:31:43
Smritikana Enterprise,Commercial Complex,Shopping mall,Shopping mall,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",N/A,N/A,4.0,,"9V7Q+GMR, Kanktya, West Bengal 721172",Kanktya,22.3638664,87.8891453,ChIJy65PshGXAjoRc9t7vl2Qm3k,https://www.google.com/maps/place/?q=place_id:ChIJy65PshGXAjoRc9t7vl2Qm3k,part_321,2026-09-20 20:31:43
Suprava Enterprise,Commercial Complex,Shopping mall,Shopping mall,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",N/A,N/A,4.0,,"8VPW+9WR, Mahishadal, Raghunathpur, West Bengal 721172",721137,22.3359862,87.8972525,ChIJBbv79aKXAjoRYiGB_t0Gd7Y,https://www.google.com/maps/place/?q=place_id:ChIJBbv79aKXAjoRYiGB_t0Gd7Y,part_321,2026-09-20 20:31:43
Jesus Shopping Center,Commercial Complex,Shopping mall,Shopping mall,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",N/A,N/A,4.0,,"CW28+39J, Jamitta, West Bengal 721134",721137,22.4002239,87.9158925,ChIJmQifoj-XAjoR_83T1KAlnV0,https://www.google.com/maps/place/?q=place_id:ChIJmQifoj-XAjoR_83T1KAlnV0,part_321,2026-09-20 20:31:43
মাতৃ ভাণ্ডার,Commercial Complex,Shopping mall,Shopping mall,721137,West Bengal Circle,South Bengal Region,Tamluk Division,"Mechada SO, Alinan BO, Ballukhat BO",N/A,N/A,4.0,,"9W9H+7JF, Tamluk - Kolaghat Rd, Soya Dighichar, West Bengal 721137",721137,22.3681836,87.9290444,ChIJ0aR-xfeXAjoRLmehb_uHys0,https://www.google.com/maps/place/?q=place_id:ChIJ0aR-xfeXAjoRLmehb_uHys0,part_321,2026-09-20 20:31:43
