business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Brand Fashion House,Luxury Clothing Shops,Clothing store,Clothing store,721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 93302 85374,N/A,4.9,,"BRAND FASHION HUB, sastitala, Duttapukur, Nebadhai Duttapukur, West Bengal 743248","sastitala, Duttapukur",22.7633908,88.55007289999999,ChIJp4M9fC-j-DkRIbsJ1knKSlA,https://www.google.com/maps/place/?q=place_id:ChIJp4M9fC-j-DkRIbsJ1knKSlA,part_322,2026-09-20 20:20:50
N.R boutique fashion,Luxury Clothing Shops,Fashion designer,Fashion designer,721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",N/A,N/A,,,"bazar, Sihar adhar mitra high school patpur, Kotulpur, West Bengal 712122",721242,22.91039,87.5903525,ChIJN17Gziof-DkRg6F34bS1BOU,https://www.google.com/maps/place/?q=place_id:ChIJN17Gziof-DkRg6F34bS1BOU,part_322,2026-09-20 20:20:50
Baba SHantinath Traders(Gobinda pal),Luxury Clothing Shops,Women's clothing store,Women's clothing store,721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 97326 97260,N/A,5.0,,"Ramjibanpur, West Bengal 721242",721242,22.8273989,87.61091789999999,ChIJm0jB_Bsd-DkR5nv8hanOSfQ,https://www.google.com/maps/place/?q=place_id:ChIJm0jB_Bsd-DkR5nv8hanOSfQ,part_322,2026-09-20 20:20:50
Aza Fashions Kolkata,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 91522 43980,https://www.azafashions.com/store-locator/kolkata/oc-ganguly-sarani,4.4,,"20 OC GANGULY SARANI (LEE ROAD, exit, next to Forum Mall, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.538809999999998,88.3507527,ChIJWy2fBeJ3AjoRucv_cZWE2GI,https://www.google.com/maps/place/?q=place_id:ChIJWy2fBeJ3AjoRucv_cZWE2GI,part_322,2026-09-20 20:20:50
Panghat- Wedding Studio,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 62895 60161,N/A,4.9,,"4B, St Francis Xavier Sarani, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017","Mullick Bazar, Park Street area",22.547646099999998,88.35560269999999,ChIJ5dTM42x3AjoRNEKj8NpXmCs,https://www.google.com/maps/place/?q=place_id:ChIJ5dTM42x3AjoRNEKj8NpXmCs,part_322,2026-09-20 20:20:50
PAPAYA LUXURY,Luxury Clothing Shops,Clothing Accessories Store,Clothing Accessories Store,721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",N/A,N/A,4.1,,"15, Ashutosh Mukherjee Rd, Jadubabur Bazar, Bhowanipore, Kolkata, West Bengal 700020","Jadubabur Bazar, Bhowanipore",22.5352502,88.3463118,ChIJAa6wIQB3AjoRzyb3tL-sevo,https://www.google.com/maps/place/?q=place_id:ChIJAa6wIQB3AjoRzyb3tL-sevo,part_322,2026-09-20 20:20:50
Ruchi Boutique,Luxury Clothing Shops,Boutique,Boutique,721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 78906 25275,https://www.facebook.com/RuchiBoutiquee?mibextid=LQQJ4d&rdid=ETNqI9pGZvi7griP&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2FXPuV68q1pFUdp8R2%2F%3Fmibextid%3DLQQJ4d,5.0,,"Shibalic Apartment, A/26, Amarabati, Sodepur, Kolkata, Khardaha, West Bengal 700110","Amarabati, Sodepur",22.6985836,88.388046,ChIJp1AtsTmd-DkRVBQVEEtLWXI,https://www.google.com/maps/place/?q=place_id:ChIJp1AtsTmd-DkRVBQVEEtLWXI,part_322,2026-09-20 20:20:50
Sanchita Fashion,Luxury Clothing Shops,Clothing store,"Clothing store, Boutique",721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 87774 81499,N/A,4.4,,"1/1 A, Manna Para Rd, Ghora Astabal, Noapara, Baranagar, West Bengal 700090","Ghora Astabal, Noapara, Baranagar",22.6396433,88.3869684,ChIJPyAIDN-d-DkRCDq4xi42iUE,https://www.google.com/maps/place/?q=place_id:ChIJPyAIDN-d-DkRCDq4xi42iUE,part_322,2026-09-20 20:20:50
Antarang Creations,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 70031 97845,http://www.blousemantra.com/,4.8,,"6+7/1/1 Floor: 1st Floor, Heera Moti Bhawan, Panjari Para Ln, Babudanga, Golabari, Building:, Salkia, Howrah, West Bengal 711106","Babudanga, Golabari, Building:, Salkia",22.599548799999997,88.3470049,ChIJfU1PA6V3AjoRNPgaHinpenk,https://www.google.com/maps/place/?q=place_id:ChIJfU1PA6V3AjoRNPgaHinpenk,part_322,2026-09-20 20:20:50
Arista Boutique,Luxury Clothing Shops,Boutique,"Boutique, Clothing store",721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 82407 81321,http://artisatbotique.co.in/#top,4.8,113.0,"BE-92, Street Number 141, BE Block(Newtown), Action Area 1B, Newtown, Kolkata, West Bengal 700163","BE Block(Newtown), Action Area 1B, Newtown",22.581898499999998,88.4713122,ChIJddhjjc11AjoR1Nm0rwPoOsM,https://www.google.com/maps/place/?q=place_id:ChIJddhjjc11AjoR1Nm0rwPoOsM,part_322,2026-09-20 20:20:51
