business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RELINCE smart point (U2MH) Khukurdaha,Kirana Store,Indian grocery store,Indian grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",N/A,https://www.jiomart.com/,4.2,,"FQH2+3J4, Khukur Daha, West Bengal 721641",721641,22.4776375,87.75157809999999,ChIJm75HmAulAjoRV3305thGCIY,https://www.google.com/maps/place/?q=place_id:ChIJm75HmAulAjoRV3305thGCIY,part_323,2026-09-20 20:47:41
Pratima variety store and gift house.,Kirana Store,Indian grocery store,Indian grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",+91 98006 39169,N/A,5.0,,"bus stand, 1 km from, Daspur, Ghatal-Panskura, near Tearberia primary school, Jagannathpur, West Bengal 721641",721641,22.4999046,87.7492606,ChIJ_0f07QmlAjoRLe_D0wOKlYo,https://www.google.com/maps/place/?q=place_id:ChIJ_0f07QmlAjoRLe_D0wOKlYo,part_323,2026-09-20 20:47:41
RBCN BHANDAR,Kirana Store,Grocery store,Grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",N/A,N/A,5.0,,"Brindaban Chak, West Bengal 721641",721641,22.468672299999998,87.77940389999999,ChIJmWFF1KmjAjoRViw3p8QgeeA,https://www.google.com/maps/place/?q=place_id:ChIJmWFF1KmjAjoRViw3p8QgeeA,part_323,2026-09-20 20:47:41
Senapati Grocery store,Kirana Store,Indian grocery store,Indian grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",N/A,N/A,4.3,,"Dakshin Barahat Rd, Panskura, Dakshin Barhat, West Bengal 721139",721641,22.4398496,87.7241746,ChIJCbQQ0vKlAjoRjxw6bSNoUPk,https://www.google.com/maps/place/?q=place_id:ChIJCbQQ0vKlAjoRjxw6bSNoUPk,part_323,2026-09-20 20:47:41
Sneha Stores,Kirana Store,Grocery store,"Grocery store, General store",721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",+91 81164 03932,N/A,5.0,,"Sneha Stores, Near, Ghatal - Panskura Rd, Khukur Daha, Jiakhali, West Bengal 721641",721641,22.4738218,87.7484935,ChIJI90zdgClAjoR1p2h4htmxv4,https://www.google.com/maps/place/?q=place_id:ChIJI90zdgClAjoR1p2h4htmxv4,part_323,2026-09-20 20:47:41
Sombhunath Masala Bhandar,Kirana Store,Grocery store,Grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",+91 90026 72622,N/A,4.5,,"Panskura - Gonsaiber Rd, Gonsaiber Radha Bazar, Gopimohanpur, West Bengal 721139",Gonsaiber Radha Bazar,22.4460786,87.7195296,ChIJXc1Z_hKlAjoRzo_OdYMzSnk,https://www.google.com/maps/place/?q=place_id:ChIJXc1Z_hKlAjoRzo_OdYMzSnk,part_323,2026-09-20 20:47:41
MAA KARUNAMOYEE STORES,Kirana Store,Grocery store,Grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",+91 83708 26542,N/A,3.0,,"SAMANTA PARA, Kashinathpur, West Bengal 721641",SAMANTA PARA,22.480893299999998,87.7955169,ChIJR0gPt1OjAjoR4l7diL1z0hg,https://www.google.com/maps/place/?q=place_id:ChIJR0gPt1OjAjoR4l7diL1z0hg,part_323,2026-09-20 20:47:41
Das Stationary,Kirana Store,Grocery store,Grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",N/A,N/A,5.0,,"GP6M+5CM, Parbatipur, West Bengal 721641",721641,22.5102999,87.73361,ChIJFUnoKQCnAjoRi-RmBe52Bvo,https://www.google.com/maps/place/?q=place_id:ChIJFUnoKQCnAjoRi-RmBe52Bvo,part_323,2026-09-20 20:47:41
Locknath store,Kirana Store,Indian grocery store,Indian grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",+91 99330 32419,N/A,5.0,,"Jadupur, Kamar sal, mor, Khanyadihi, Kolaghat, West Bengal 721641",mor,22.4672905,87.7957338,ChIJz9xvjcujAjoRp8KdGnGDsS0,https://www.google.com/maps/place/?q=place_id:ChIJz9xvjcujAjoRp8KdGnGDsS0,part_323,2026-09-20 20:47:41
Jaydev Store,Kirana Store,Grocery store,Grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",N/A,N/A,5.0,,"FPXR+R36, Tearberia Main St, Tearberia, Khukur Daha, Rabidaspur, West Bengal 721641",Tearberia,22.499546,87.740138,ChIJe8OmbwylAjoRMOH3gB-BOqM,https://www.google.com/maps/place/?q=place_id:ChIJe8OmbwylAjoRMOH3gB-BOqM,part_323,2026-09-20 20:47:41
Maity Store 1 ( Achintya Maity & Chandan Maity ),Kirana Store,Grocery store,Grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",+91 80019 92424,N/A,4.9,,"Uttar Gopalpur - Dalpara Rd, Panskura, Uttar Gopalpur, West Bengal 721139",721641,22.4372404,87.7201656,ChIJLbQZhxWlAjoR4vOcF2M-GcE,https://www.google.com/maps/place/?q=place_id:ChIJLbQZhxWlAjoR4vOcF2M-GcE,part_323,2026-09-20 20:47:41
Arpan grocery and icecream store,Kirana Store,Grocery delivery service,Grocery delivery service,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",N/A,N/A,,,"FQ9G+P3F, Brindaban Chak, West Bengal 721641",721641,22.4704807,87.7750312,ChIJO_8GJQClAjoR3O2qLtNYCZM,https://www.google.com/maps/place/?q=place_id:ChIJO_8GJQClAjoR3O2qLtNYCZM,part_323,2026-09-20 20:47:41
Samanta Bhander,Kirana Store,Grocery store,Grocery store,721641,West Bengal Circle,South Bengal Region,Tamluk Division,"Khukurdaha SO, Balakrouth BO, Brindaban Chak BO",+91 99338 31680,N/A,2.0,,"Samanta Bhandar, Primary School, near Malida, Malida, Keshapat, West Bengal 721641",721641,22.476266199999998,87.7321561,ChIJSydSTCKlAjoR1MqWoz2L-28,https://www.google.com/maps/place/?q=place_id:ChIJSydSTCKlAjoR1MqWoz2L-28,part_323,2026-09-20 20:47:41
