business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HOTEL SHILABOTI ..Family Restaurant &,Family Restaurant,Indian restaurant,Indian restaurant,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",N/A,N/A,3.8,,"2GVH+39G, Ahilyabai Holkar Rd, Dasdighi, West Bengal 722154",722206,23.0426866,87.5284424,ChIJ1UMZjG2L9zkR7XSUWa_cwpo,https://www.google.com/maps/place/?q=place_id:ChIJ1UMZjG2L9zkR7XSUWa_cwpo,part_325,2026-09-20 20:21:36
Green Valley Family Restaurant and Cafe,Family Restaurant,Fast food restaurant,Fast food restaurant,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 94743 66999,N/A,4.5,,"7CVH+3P2, SH 8, Ranpur, Sonamukhi, West Bengal 722207",Ranpur,23.2929767,87.42954189999999,ChIJo50CSFGD9zkRdtygqiK3S94,https://www.google.com/maps/place/?q=place_id:ChIJo50CSFGD9zkRdtygqiK3S94,part_325,2026-09-20 20:21:36
Bon Polashi Family Restaurant,Family Restaurant,Family restaurant,Family restaurant,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",N/A,N/A,3.9,,"3C3P+W56, SH 2, Jangalmahal, West Bengal 722138",722206,23.054806799999998,87.4354719,ChIJS0fCdACN9zkRuzh5qxvELVs,https://www.google.com/maps/place/?q=place_id:ChIJS0fCdACN9zkRuzh5qxvELVs,part_325,2026-09-20 20:21:36
মটরশুটি restaurant(SONAMUKHI),Family Restaurant,Family restaurant,Family restaurant,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",N/A,N/A,4.5,,"897W+48, Jambani, West Bengal 722207",722206,23.3127823,87.3959184,ChIJuTfrEwCD9zkRStsy2GKuDio,https://www.google.com/maps/place/?q=place_id:ChIJuTfrEwCD9zkRStsy2GKuDio,part_325,2026-09-20 20:21:36
Shyamsundar Hotel & Restaurant,Family Restaurant,Restaurant,Restaurant,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 93391 08066,N/A,3.8,,"5G5H+Q86, Paschim Para, West Bengal 722206",722206,23.1595156,87.528266,ChIJa0TaxWmJ9zkRctNV7DzE33I,https://www.google.com/maps/place/?q=place_id:ChIJa0TaxWmJ9zkRctNV7DzE33I,part_325,2026-09-20 20:21:36
Arohi Enterprise,Family Restaurant,Commercial refrigerator supplier,"Commercial refrigerator supplier, Bar restaurant furniture store, Kitchen supply store, Metal fabricator",722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 74392 49411,https://arohimart.in/,5.0,,"888H+59R, Uttar Amratala, kolkata, West Bengal 743503",722206,22.3153994,88.32835209999999,ChIJu7nIAgZpAjoRhWuJcWBe_2E,https://www.google.com/maps/place/?q=place_id:ChIJu7nIAgZpAjoRhWuJcWBe_2E,part_325,2026-09-20 20:21:38
Alzain enterprises.,Family Restaurant,Bakery equipment,Bakery equipment,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 95544 02919,N/A,4.6,,"Bazaar, Bankra, Howrah, West Bengal 711403",Bankra,22.609425599999998,88.2839935,ChIJPenUVM55AjoRqLoMpm2weP4,https://www.google.com/maps/place/?q=place_id:ChIJPenUVM55AjoRqLoMpm2weP4,part_325,2026-09-20 20:21:38
Sapphire Hotelware | Best Supplier of Kitchen Equipments Utensils Cutlery Crockery Glassware & Barware in Kolkata,Family Restaurant,Home goods store,"Home goods store, Countertop store, Glassware wholesaler, Hotel supply store",722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 98833 11955,http://www.sapphirehotelware.com/,4.2,,"Vaishno Chambers, 6, Brabourne Rd, China Bazar, Lal Bazar, Kolkata, West Bengal 700001","China Bazar, Lal Bazar",22.5740485,88.3514483,ChIJY9n8BaV3AjoRnpuOVmITTLQ,https://www.google.com/maps/place/?q=place_id:ChIJY9n8BaV3AjoRnpuOVmITTLQ,part_325,2026-09-20 20:21:38
Canteen & Kitchen Appliances,Family Restaurant,Kitchen supply store,"Kitchen supply store, Commercial refrigerator supplier, Hotel supply store, Industrial equipment supplier, Manufacturer",722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 98740 11319,http://www.canteenkolkata.com/,4.1,,"50B, Madhu Roy Ln, Simla, Machuabazar, Kolkata, West Bengal 700006","Simla, Machuabazar",22.5854331,88.36616269999999,ChIJN9s4-1d2AjoR4KoulREkUN8,https://www.google.com/maps/place/?q=place_id:ChIJN9s4-1d2AjoR4KoulREkUN8,part_325,2026-09-20 20:21:38
New Rajarshi Restaurant & Caterer,Family Restaurant,Fast food restaurant,Fast food restaurant,722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO",+91 33 2407 0236,N/A,3.9,,"12, Brojen Mukherjee Rd, Chamrapatti, Behala, Kolkata, West Bengal 700034","Chamrapatti, Behala",22.502263799999998,88.32248849999999,ChIJ9--ZQQh6AjoROs8bUX8pjdg,https://www.google.com/maps/place/?q=place_id:ChIJ9--ZQQh6AjoROs8bUX8pjdg,part_325,2026-09-20 20:21:38
