business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Jagodha (Motor Rewinding Works),Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 76021 14495,N/A,5.0,1.0,"Buri Tala Road, near Maya Restaurant, Karui, West Bengal 713143",713514,23.51971,88.1047287,ChIJ46x3hwyp-TkROfc87_0FtoQ,https://www.google.com/maps/place/?q=place_id:ChIJ46x3hwyp-TkROfc87_0FtoQ,part_321,2026-09-20 20:19:03
MANIRUL MOTOR WINDING,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,5.0,2.0,"Harishchandrapur, Jalalpur, West Bengal 732125",713514,25.3761436,87.8663332,ChIJz8CAGQDH-jkRKgd_trIUi7U,https://www.google.com/maps/place/?q=place_id:ChIJz8CAGQDH-jkRKgd_trIUi7U,part_321,2026-09-20 20:19:03
মা তারা ইলেকট্রিক রিপেয়ারিং,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,5.0,3.0,"37V4+H6, Sarri Pur, West Bengal 721133",713514,22.0939133,87.2555467,ChIJwQgnUQA9HToR624tuSxU4Tk,https://www.google.com/maps/place/?q=place_id:ChIJwQgnUQA9HToR624tuSxU4Tk,part_321,2026-09-20 20:19:03
A.M Electrical Works,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 81165 29940,N/A,5.0,1.0,"পোলবা রোড, ডেলুয়াগাছী সাউথ ক্লাব এর কাছে, ডেলুয়াগাছী, Pandua, Rosna, West Bengal 712149",ডেলুয়াগাছী,23.0194212,88.26687319999999,ChIJa-7aSwDz-DkRWgAtHUCZScw,https://www.google.com/maps/place/?q=place_id:ChIJa-7aSwDz-DkRWgAtHUCZScw,part_321,2026-09-20 20:19:03
M.S. ELECTRIC & ELECTRICAL,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 86173 55733,N/A,5.0,5.0,"Purba karanjee, School side, Narandia, BALISAI, West Bengal 721423",713514,21.689853,87.6103445,ChIJbwuDQBgtAzoRSZmE556bfRc,https://www.google.com/maps/place/?q=place_id:ChIJbwuDQBgtAzoRSZmE556bfRc,part_321,2026-09-20 20:19:03
MAA DURGA ELECTRICAL WORKS,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 75869 99401,https://www.facebook.com/profile.php?id=61550619812547&mibextid=ZbWKwL,4.5,4.0,"WVRM+CFG, Kamarda, West Bengal 721432",713514,21.941240099999998,87.8834911,ChIJT_Wu-cjnAjoRZUZQg6LSCmA,https://www.google.com/maps/place/?q=place_id:ChIJT_Wu-cjnAjoRZUZQg6LSCmA,part_321,2026-09-20 20:19:03
Rotary Engineering Works,Motor Rewinding and Pump Repair,Electric motor repair shop,"Electric motor repair shop, Diesel engine repair service, Electrical equipment supplier, Electric generator shop",713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 94339 76915,N/A,,,"Burigaon, Balarambati, Baje Dhanyahana, West Bengal 712409",Burigaon,22.807472399999998,88.21274059999999,ChIJ2XDXnHGJ-DkR73vqV1IshHc,https://www.google.com/maps/place/?q=place_id:ChIJ2XDXnHGJ-DkR73vqV1IshHc,part_321,2026-09-20 20:19:03
ELECTRIC MOTOR WINDING AND REPAIR CENTRE,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 97348 94137,N/A,5.0,1.0,"CRX5+3PQ, Borunsol, West Bengal 721503",713514,22.4490444,86.8088542,ChIJHXc14AuFHToRC0tlhuoHGyQ,https://www.google.com/maps/place/?q=place_id:ChIJHXc14AuFHToRC0tlhuoHGyQ,part_321,2026-09-20 20:19:03
মালতী ইলেকট্রিক্যাল,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,,,"6HH6+8RH, Temathani, Lutunia, West Bengal 721166",Temathani,22.2283081,87.5621019,ChIJUato42a1AjoRQZIlRuBRHu8,https://www.google.com/maps/place/?q=place_id:ChIJUato42a1AjoRQZIlRuBRHu8,part_321,2026-09-20 20:19:03
Diamond Electric,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 99324 10557,N/A,,,"Khusigang road, Saidpur, West Bengal 712415",713514,22.842201199999998,87.9317056,ChIJpZv4pztv-DkRQdaskdq7IHg,https://www.google.com/maps/place/?q=place_id:ChIJpZv4pztv-DkRQdaskdq7IHg,part_321,2026-09-20 20:19:03
Biswakorma elatrck engeenering work,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,5.0,1.0,"Gangasagar, West Bengal 721443",713514,21.9831392,87.48960629999999,ChIJH601LjQtHToRCfKkBlz3iX0,https://www.google.com/maps/place/?q=place_id:ChIJH601LjQtHToRCfKkBlz3iX0,part_321,2026-09-20 20:19:03
দাস ইলেকট্রিক,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,5.0,1.0,"HX8W+XWV, Wast, Chaitanyapur, West Bengal 713132",713514,23.5674793,87.9972976,ChIJsxPoVvm7-TkRRNNunD6Nhn4,https://www.google.com/maps/place/?q=place_id:ChIJsxPoVvm7-TkRRNNunD6Nhn4,part_321,2026-09-20 20:19:03
মৃত্যুঞ্জয় রিপেয়ারিং সপ,Motor Rewinding and Pump Repair,Electric motor repair shop,Electric motor repair shop,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,,,"HW5M+7VG, Ichhabargram, West Bengal 713147",713514,23.558172,87.93469619999999,ChIJ6-tvJXqx-TkRcQj3juJWDN4,https://www.google.com/maps/place/?q=place_id:ChIJ6-tvJXqx-TkRcQj3juJWDN4,part_321,2026-09-20 20:19:03
SAU ELECTRIC / সাউ ইলেক্ট্রিক,Motor Rewinding and Pump Repair,Electric motor repair shop,"Electric motor repair shop, Repair service",713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 96793 15798,N/A,5.0,,"3Q4H+R64, Kalaberia, West Bengal 721626",713514,22.056832099999998,87.7782474,ChIJJSVCdcTDAjoRuX_jwN5jSgw,https://www.google.com/maps/place/?q=place_id:ChIJJSVCdcTDAjoRuX_jwN5jSgw,part_321,2026-09-20 20:19:04
