business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
24 pahar mandir,Play School and Daycare,Preschool,Preschool,721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO",N/A,N/A,5.0,,"WRJ7+R9F, Tikashi School Rd, Uttar Kalamdan, West Bengal 721430",721427,21.932053,87.813417,ChIJSwFhKQDfAjoR-VwysVKBNXU,https://www.google.com/maps/place/?q=place_id:ChIJSwFhKQDfAjoR-VwysVKBNXU,part_322,2026-09-20 20:38:48
বাহিরী শ্রীমা নার্সারি স্কুল,Play School and Daycare,Nursery school,Nursery school,721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO",N/A,N/A,1.0,,"RQRM+HQX, Malbari, West Bengal 721427",721427,21.841479099999997,87.78449069999999,ChIJm0Ddo10hAzoRv24IuVWB-dI,https://www.google.com/maps/place/?q=place_id:ChIJm0Ddo10hAzoRv24IuVWB-dI,part_322,2026-09-20 20:38:48
Nachinda Bibhutibhusan Nursery School,Play School and Daycare,Nursery school,Nursery school,721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO",N/A,N/A,4.3,,"VQC4+F7V, Nachinda Railway Station Rd, Sillibari, West Bengal 721444",721427,21.871241599999998,87.75568679999999,ChIJi5uPHurYAjoR82Pc52mEYxs,https://www.google.com/maps/place/?q=place_id:ChIJi5uPHurYAjoR82Pc52mEYxs,part_322,2026-09-20 20:38:48
Namaldiha vidyasagar nursery school,Play School and Daycare,Nursery school,Nursery school,721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO",N/A,https://sites.google.com/view/namaldihavidhyasagarnursery/home,,,"VRC7+GV9, Namaldiha, Harranamaldina, Durgapur, West Bengal 721427",Namaldiha,21.8712901,87.8147245,ChIJq-fHVf7fAjoR7uPAQtGxpZQ,https://www.google.com/maps/place/?q=place_id:ChIJq-fHVf7fAjoR7uPAQtGxpZQ,part_322,2026-09-20 20:38:48
Marishda Rabindra Ideal School,Play School and Daycare,Nursery school,Nursery school,721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO",N/A,N/A,4.5,,"VQ54+G2G, NH 116B, Marishda, Jagudas Bar, West Bengal 721444",721427,21.858821199999998,87.7550838,ChIJ6eWPEHDZAjoRXZUqTWd7-XU,https://www.google.com/maps/place/?q=place_id:ChIJ6eWPEHDZAjoRXZUqTWd7-XU,part_322,2026-09-20 20:38:48
Uttar Kalamdan Purbapara Sishusikha Kendra,Play School and Daycare,Preschool,Preschool,721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO",N/A,N/A,5.0,,"WRHG+W96, tikashi- chatnabari, dakshin palli street, Uttar Kalamdan, West Bengal 721430",721427,21.9297894,87.8258939,ChIJe0IAz5nfAjoR29cts9MhQis,https://www.google.com/maps/place/?q=place_id:ChIJe0IAz5nfAjoR29cts9MhQis,part_322,2026-09-20 20:38:48
Vidyasagar Nursery School,Play School and Daycare,Kindergarten School,"Kindergarten School, Nursery school",721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO",+91 86952 11268,http://www.vidyasagarnursery.in/,,,"Chauddhachuli Khejuri II, West Bengal 721432",721427,21.901985,87.889273,ChIJq6qqqjrhAjoRcv_q86xVQBo,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqjrhAjoRcv_q86xVQBo,part_322,2026-09-20 20:38:48
Sanjib Das,Play School and Daycare,Preschool,Preschool,721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO",N/A,N/A,,,"VP7X+2Q, Jagudas Bar, West Bengal 721444",721427,21.862551,87.7494897,ChIJ2XKrM6PZAjoRD4KPPzILUK4,https://www.google.com/maps/place/?q=place_id:ChIJ2XKrM6PZAjoRD4KPPzILUK4,part_322,2026-09-20 20:38:48
ছনবেড়্যা পূর্বপাড়া I.C.D.S কেন্দ্র,Play School and Daycare,Preschool,Preschool,721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO",N/A,N/A,5.0,,"VRHM+7JG, Phulbari, West Bengal 721427",721427,21.8781929,87.834071,ChIJ5dL0dl3fAjoRB8Sck-ysW8w,https://www.google.com/maps/place/?q=place_id:ChIJ5dL0dl3fAjoRB8Sck-ysW8w,part_322,2026-09-20 20:38:48
Benyajhi Uttar purba sisusikha kendra,Play School and Daycare,Preschool,Preschool,721427,West Bengal Circle,South Bengal Region,Contai Division,"Deulbarh SO, Amtalia BO, Aurai BO",N/A,N/A,1.0,,"VQGC+F33, Benyajhi, Gangadhar Chak, West Bengal 721444",721427,21.8761291,87.7701836,ChIJc1KvLwDZAjoRCnTDxbE6TGk,https://www.google.com/maps/place/?q=place_id:ChIJc1KvLwDZAjoRCnTDxbE6TGk,part_322,2026-09-20 20:38:48
