business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"DPMU, Birbhum, WRIDD",Offices,Corporate office,Corporate office,731103,West Bengal Circle,Kolkata Region,Birbhum Division,"Barabagan SO, Baraalunda BO, Baram BO",N/A,N/A,3.9,15.0,"Suri-ASN, State Highway 6, Suri, West Bengal 731103",731103,23.9104018,87.51857849999999,ChIJ-ac48z9Y9zkRm_tO0R1wi34,https://www.google.com/maps/place/?q=place_id:ChIJ-ac48z9Y9zkRm_tO0R1wi34,part_325,2026-09-20 20:49:17
NIPL OFFICE,Offices,Corporate office,Corporate office,731103,West Bengal Circle,Kolkata Region,Birbhum Division,"Barabagan SO, Baraalunda BO, Baram BO",N/A,N/A,4.0,1.0,"WG56+VW5, Lambodarpur- Brojergram Rd, Suri, West Bengal 731126",731103,23.9102726,87.51158799999999,ChIJ0Xh9eQ9Z9zkRUBPm1aguHTs,https://www.google.com/maps/place/?q=place_id:ChIJ0Xh9eQ9Z9zkRUBPm1aguHTs,part_325,2026-09-20 20:49:17
"Consumer Commission, Birbhum",Offices,Government office,Government office,731103,West Bengal Circle,Kolkata Region,Birbhum Division,"Barabagan SO, Baraalunda BO, Baram BO",N/A,N/A,5.0,2.0,"WG6C+7GM, Suri, West Bengal 731103",731103,23.9107229,87.5212892,ChIJa9JVEwBZ9zkRzN4B2v9u4cY,https://www.google.com/maps/place/?q=place_id:ChIJa9JVEwBZ9zkRzN4B2v9u4cY,part_325,2026-09-20 20:49:17
WBECSC LTD. BIRBHUM SURI,Offices,Government office,Government office,731103,West Bengal Circle,Kolkata Region,Birbhum Division,"Barabagan SO, Baraalunda BO, Baram BO",+91 3462 310 040,http://www.wbecscegovernance.com/,,,"WG6C+8MC, Barabagan, Suri, West Bengal 731101",731103,23.9108178,87.521655,ChIJWV-5VABZ9zkRVC2RX_S6nSk,https://www.google.com/maps/place/?q=place_id:ChIJWV-5VABZ9zkRVC2RX_S6nSk,part_325,2026-09-20 20:49:17
Rudraksha Enterprise,Offices,Corporate office,Corporate office,731103,West Bengal Circle,Kolkata Region,Birbhum Division,"Barabagan SO, Baraalunda BO, Baram BO",N/A,N/A,5.0,2.0,"WG78+CQ4, Sabuj Palli, Suri, West Bengal 731103",Sabuj Palli,23.91356,87.5164283,ChIJGfGUN_FZ9zkR7qnt_T1N4j4,https://www.google.com/maps/place/?q=place_id:ChIJGfGUN_FZ9zkR7qnt_T1N4j4,part_325,2026-09-20 20:49:17
"BL & LRO OFFICE, KALIPUR, Suri, Birbhum",Offices,Government office,Government office,731103,West Bengal Circle,Kolkata Region,Birbhum Division,"Barabagan SO, Baraalunda BO, Baram BO",N/A,N/A,2.8,6.0,"WG27+74W, Unnamed Road, Suri, West Bengal 731103",731103,23.915691799999998,87.51982129999999,ChIJT5vaoktZ9zkRMGdMdmyHi0Q,https://www.google.com/maps/place/?q=place_id:ChIJT5vaoktZ9zkRMGdMdmyHi0Q,part_325,2026-09-20 20:49:17
"SURI SADAR WEST CLRC, Kalipur, Karidhya, Barabagan, Suri, Birbhum",Offices,Government office,Government office,731103,West Bengal Circle,Kolkata Region,Birbhum Division,"Barabagan SO, Baraalunda BO, Baram BO",N/A,N/A,5.0,1.0,"WG27+7G3, Raniganj - Suri Rd, Suri, West Bengal 731103",731103,23.9006343,87.5138025,ChIJ-wzDnxtZ9zkRGQQe88Yw9mU,https://www.google.com/maps/place/?q=place_id:ChIJ-wzDnxtZ9zkRGQQe88Yw9mU,part_325,2026-09-20 20:49:17
"District Land & Land Reforms Office,Birbhum",Offices,State government office,State government office,731103,West Bengal Circle,Kolkata Region,Birbhum Division,"Barabagan SO, Baraalunda BO, Baram BO",N/A,N/A,3.7,13.0,"WG5H+G37, Suri, West Bengal 731101",731103,23.9087827,87.5276873,ChIJpV3hIm1Y9zkRhVG1b1rjpCE,https://www.google.com/maps/place/?q=place_id:ChIJpV3hIm1Y9zkRhVG1b1rjpCE,part_325,2026-09-20 20:49:18
"District Rural Development Cell, Birbhum",Offices,Government office,"Government office, State government office",731103,West Bengal Circle,Kolkata Region,Birbhum Division,"Barabagan SO, Baraalunda BO, Baram BO",N/A,N/A,3.6,9.0,"WG5H+R76, Suri, West Bengal 731101",731103,23.9095367,87.52814359999999,ChIJW3IuN21Y9zkRwOOncGtcUnA,https://www.google.com/maps/place/?q=place_id:ChIJW3IuN21Y9zkRwOOncGtcUnA,part_325,2026-09-20 20:49:18
LG OFFICE,Offices,Electronics store,Electronics store,731103,West Bengal Circle,Kolkata Region,Birbhum Division,"Barabagan SO, Baraalunda BO, Baram BO",N/A,https://www.lg.com/in,4.2,10.0,"Samnya pally road, New Dangal Para, Suri, West Bengal 731101",New Dangal Para,23.901434599999998,87.5248395,ChIJmTnZfLpZ9zkRtVJnEGB-6Qk,https://www.google.com/maps/place/?q=place_id:ChIJmTnZfLpZ9zkRtVJnEGB-6Qk,part_325,2026-09-20 20:49:18
