business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Lexproadvice | Online Legal, Tax & Business Registration Services in India",Company Registration Consultant,Tax attorney,"Tax attorney, Attorney referral service, Law firm, Lawyer",723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 89104 22398,https://lexproadvice.com/,4.9,63.0,"Tilotomma Bhawan, Basanta Bagan, opposite R.K.Multiplex, Sukantanagar, Chinsurah R S, Chinsurah, West Bengal 712103","Sukantanagar, Chinsurah R S",22.891598899999998,88.3807771,ChIJddyMFRWR-DkR10-j-L17PdY,https://www.google.com/maps/place/?q=place_id:ChIJddyMFRWR-DkR10-j-L17PdY,part_325,2026-09-20 20:26:50
LegalMaps,Company Registration Consultant,Tax preparation service,"Tax preparation service, Accounting firm, Bookkeeping service, Legal services",723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 85973 22109,https://legalmaps.in/,4.8,58.0,"Ground Floor, Jessore Road, By Lane – 2, Hijalpukuria, near Rupkatha cinema Hall, beside Milan Mandir, Habra, West Bengal 743268",723104,22.8399687,88.6527442,ChIJDXKlXYqx-DkRNYDWAr3vGqw,https://www.google.com/maps/place/?q=place_id:ChIJDXKlXYqx-DkRNYDWAr3vGqw,part_325,2026-09-20 20:26:50
Flowria Services Pvt. Ltd.,Company Registration Consultant,Tax preparation service,"Tax preparation service, Certified public accountant, Consultant, Income tax help association, Software company, Tax consultant, Tax preparation, Website designer",723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 96813 50138,http://www.flowria.com/,5.0,5.0,"1/21, Graham Rd, Azadgarh, Regent Park, Kolkata, West Bengal 700040","Azadgarh, Regent Park",22.4888492,88.3576707,ChIJoWl9F4NxAjoRH-Uidx870lg,https://www.google.com/maps/place/?q=place_id:ChIJoWl9F4NxAjoRH-Uidx870lg,part_325,2026-09-20 20:26:50
AAYINI SAHAYATA LEGAL SERVICE PVT. LTD.,Company Registration Consultant,Legal services,Legal services,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 62893 88750,http://www.aayinisahayata.in/,4.7,7.0,"VILL. + P.O. Chanduriya, P.S, Chakdaha, West Bengal 741248",P.S,23.0479584,88.5079147,ChIJVSq5sELB-DkR40u-LGHTlbw,https://www.google.com/maps/place/?q=place_id:ChIJVSq5sELB-DkR40u-LGHTlbw,part_325,2026-09-20 20:26:50
Commercial & Professional Tax Office,Company Registration Consultant,Government office,Government office,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",N/A,N/A,,,"89F6+X45, NH32, Purulia, West Bengal 723102",723104,23.3248958,86.360357,ChIJQw4NAZN99jkR2660dc4rCKY,https://www.google.com/maps/place/?q=place_id:ChIJQw4NAZN99jkR2660dc4rCKY,part_325,2026-09-20 20:26:50
S.S.TAX CONSULTANCY,Company Registration Consultant,Consultant,Consultant,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 89269 11252,https://www.facebook.com/profile.php?id=100010250889124&mibextid=ZbWKwL,5.0,3.0,"Kusumgram, West Bengal 713422",723104,23.387798099999998,88.1368397,ChIJl7Bznxar-TkRWe-YmYH1wSw,https://www.google.com/maps/place/?q=place_id:ChIJl7Bznxar-TkRWe-YmYH1wSw,part_325,2026-09-20 20:26:51
Jayant Sharma & Company,Company Registration Consultant,Certified public accountant,Certified public accountant,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 89891 31519,N/A,4.9,8.0,"Huzrat Pull, Lohiya Bazaar, Gwalior, Madhya Pradesh 474001","Huzrat Pull, Lohiya Bazaar",26.1986393,78.1551776,ChIJceQcTtvFdjkRo6Jg9IM6M2A,https://www.google.com/maps/place/?q=place_id:ChIJceQcTtvFdjkRo6Jg9IM6M2A,part_325,2026-09-20 20:26:52
JAMS and Company- Top CA Firm in Bhopal,Company Registration Consultant,Tax consultant,Tax consultant,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",N/A,https://jamsandcompany.com/,5.0,1.0,"Danish Kunj, Kolar Rd, Bhopal, Madhya Pradesh 462042","Danish Kunj, Kolar Rd",23.171104,77.4258062,ChIJP07vCRpDfDkR7zoNkbDFfKY,https://www.google.com/maps/place/?q=place_id:ChIJP07vCRpDfDkR7zoNkbDFfKY,part_325,2026-09-20 20:26:52
Anvika Corporate Consultants,Company Registration Consultant,Tax consultant,Tax consultant,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 98395 27222,N/A,5.0,6.0,"Ground Floor, S-136, Shakti Nagar, Indira Nagar, Lucknow, Uttar Pradesh 226016","Shakti Nagar, Indira Nagar",26.8709106,80.9728512,ChIJc0f6An_9mzkROM5FszGv2Tg,https://www.google.com/maps/place/?q=place_id:ChIJc0f6An_9mzkROM5FszGv2Tg,part_325,2026-09-20 20:26:52
Sharma Associate,Company Registration Consultant,Tax consultant,Tax consultant,723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO",+91 83056 19781,N/A,5.0,1.0,"Maina Shree Complex, 15-B, AB Rd, Sadashiv Nagar, Pachunkar Colony, Ram Nagar, Dewas, Madhya Pradesh 455001","Sadashiv Nagar, Pachunkar Colony, Ram Nagar",22.9637322,76.0473047,ChIJr0N9HYIXYzkR-Yo8oAqd5LQ,https://www.google.com/maps/place/?q=place_id:ChIJr0N9HYIXYzkR-Yo8oAqd5LQ,part_325,2026-09-20 20:26:52
