business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nourishment store,Organic Food Store,Organic food store,"Organic food store, Food producer, Neonatal physician, Sports nutrition store, Store",735135,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Kamarvita SO, Balaram BO, Bhutkidangapara BO",+91 99338 07715,https://www.nourishmentstore.in/,4.9,62.0,"Sidhi dham, Landmark : Left from Reliance digital, Sevoke Rd, near cosmos, Jyoti Nagar, Bankim Nagar, Siliguri, West Bengal 734001","Jyoti Nagar, Bankim Nagar",26.7375227,88.43730269999999,ChIJC6jkdiVB5DkRlTWM1IAn_lw,https://www.google.com/maps/place/?q=place_id:ChIJC6jkdiVB5DkRlTWM1IAn_lw,part_329,2026-09-20 20:23:35
Goutam grocery Store,Organic Food Store,Grocery store,"Grocery store, Grocery delivery service",735135,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Kamarvita SO, Balaram BO, Bhutkidangapara BO",+91 98513 94285,N/A,5.0,2.0,"17, 17, Netaji Sarani, Ward 39, Shibrampally, Siliguri, West Bengal 734001","Ward 39, Shibrampally",26.7208576,88.44490549999999,ChIJo-670cJB5DkRXPN29AnAMog,https://www.google.com/maps/place/?q=place_id:ChIJo-670cJB5DkRXPN29AnAMog,part_329,2026-09-20 20:23:35
KAUSHALYA STORES,Organic Food Store,Grocery store,Grocery store,735135,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Kamarvita SO, Balaram BO, Bhutkidangapara BO",+91 84363 33381,N/A,4.8,34.0,"Bidhan market, opp. Arya Bakery, Ward 19, Subhas Pally, Siliguri, West Bengal 734001","Ward 19, Subhas Pally",26.707785299999998,88.4382871,ChIJP_VptTxB5DkRdd7MhJHACDA,https://www.google.com/maps/place/?q=place_id:ChIJP_VptTxB5DkRdd7MhJHACDA,part_329,2026-09-20 20:23:35
Khati,Organic Food Store,Organic food store,"Organic food store, Organic shop",735135,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Kamarvita SO, Balaram BO, Bhutkidangapara BO",+91 98320 60869,N/A,4.0,1.0,"Tilok Rd, near Pradhan Building, opp. DR. A. K. Majhi chember, Ward 12, BIdhan Market, Hakim Para, Siliguri, West Bengal 734001","Ward 12, BIdhan Market, Hakim Para",26.7157983,88.4281306,ChIJGQUZ4b9B5DkRo3S1ctfxkgw,https://www.google.com/maps/place/?q=place_id:ChIJGQUZ4b9B5DkRo3S1ctfxkgw,part_329,2026-09-20 20:23:35
Darjeeling Soap Company,Organic Food Store,Organic shop,Organic shop,735135,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Kamarvita SO, Balaram BO, Bhutkidangapara BO",+91 70016 82903,N/A,4.9,121.0,"Ward 8, Khalpara, Siliguri, West Bengal 734005","Ward 8, Khalpara",26.7062946,88.4247001,ChIJ6VyPGRZB5DkRcMXlqnHv0KY,https://www.google.com/maps/place/?q=place_id:ChIJ6VyPGRZB5DkRcMXlqnHv0KY,part_329,2026-09-20 20:23:35
Kundu Store (Grocery & Bakery),Organic Food Store,Indian grocery store,"Indian grocery store, Wholesale bakery",735135,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Kamarvita SO, Balaram BO, Bhutkidangapara BO",+91 90938 33816,N/A,4.7,6.0,"Ward 36, Dabgram, Siliguri, West Bengal 734006","Ward 36, Dabgram",26.696657,88.4458703,ChIJ3zH2KIdB5DkRlVqPL4E4LnU,https://www.google.com/maps/place/?q=place_id:ChIJ3zH2KIdB5DkRlVqPL4E4LnU,part_329,2026-09-20 20:23:35
Shiny Store,Organic Food Store,Indian grocery store,Indian grocery store,735135,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Kamarvita SO, Balaram BO, Bhutkidangapara BO",+91 99325 35325,N/A,4.7,35.0,"Ram Thakur Mandir Rd, Ward 32, Pradip Nagar, Siliguri, West Bengal 734005","Ward 32, Pradip Nagar",26.694353099999997,88.41890649999999,ChIJd5KVPNBB5DkRXqm9fmccw4g,https://www.google.com/maps/place/?q=place_id:ChIJd5KVPNBB5DkRXqm9fmccw4g,part_329,2026-09-20 20:23:35
"HealthKart - Sevoke Road, Siliguri",Organic Food Store,Organic food store,"Organic food store, Health food store, Sports nutrition store, Vitamin & supplements store",735135,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Kamarvita SO, Balaram BO, Bhutkidangapara BO",+91 8071 963 664,https://stores.healthkart.com/healthkart-sports-nutrition-shop-sevoke-road-siliguri-370486/Home?utm_source=locator&utm_medium=googleplaces,4.9,152.0,"Ground Floor 2nd Mile, Pratap Market, Shop No 1, 1/A/1587/A, Sevoke Rd, opposite ML Acropolis Mall, Siliguri, West Bengal 734001","Ward 44, Dasrath Pally, Bhanu Nagar",26.7296105,88.4308113,ChIJf2_K2r5B5DkRvqJxDifE8aE,https://www.google.com/maps/place/?q=place_id:ChIJf2_K2r5B5DkRvqJxDifE8aE,part_329,2026-09-20 20:23:35
FOI-Flavours of India,Organic Food Store,Health food store,"Health food store, Food products supplier, Gourmet grocery store",735135,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Kamarvita SO, Balaram BO, Bhutkidangapara BO",+91 73841 07420,N/A,4.9,28.0,"Shop-7, Dwarika Garden, Station Feeder Rd, behind Fire Brigade Road, Ward 9, Khalpara, Siliguri, West Bengal 734005","Ward 9, Khalpara",26.704044699999997,88.417358,ChIJS1F5ox9B5DkRte7UomuGmno,https://www.google.com/maps/place/?q=place_id:ChIJS1F5ox9B5DkRte7UomuGmno,part_329,2026-09-20 20:23:35
The Sunday Haat - Siliguri,Organic Food Store,Farmers' market,"Farmers' market, Event venue, Handicraft fair, Organic farm",735135,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Kamarvita SO, Balaram BO, Bhutkidangapara BO",+91 83270 44343,http://www.himalayanorganiclife.com/,4.7,,"Church Rd, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.7182441,88.42332379999999,ChIJF6i05pZB5DkRIZCjfg0KVEg,https://www.google.com/maps/place/?q=place_id:ChIJF6i05pZB5DkRIZCjfg0KVEg,part_329,2026-09-20 20:23:36
