business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Paincare physiotherapy centre,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Service establishment",713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,5.0,1.0,"Paincare physiotherapy centre, 713514, India",713514,23.238459,87.86225549999999,ChIJHwUf7d9J-DkRPCGVoa1j4eU,https://www.google.com/maps/place/?q=place_id:ChIJHwUf7d9J-DkRPCGVoa1j4eU,part_321,2026-09-20 20:18:41
Physiotherapy Center,Orthopedic and Physiotherapy Clinic,Doctor,Doctor,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,,,"F7VF+MXP, SH6, Kalekhatala, West Bengal 713513",713514,23.494223899999998,88.2749484,ChIJ_dnF0UIE-TkR_PKH8NPSfGU,https://www.google.com/maps/place/?q=place_id:ChIJ_dnF0UIE-TkR_PKH8NPSfGU,part_321,2026-09-20 20:18:41
PHYSIOTHERAPY CENTRE,Orthopedic and Physiotherapy Clinic,Local medical services,Local medical services,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,N/A,5.0,2.0,"Kandra, West Bengal 713129",713514,23.7368688,87.97195579999999,ChIJrTgcQ529-TkRmWVu2Y9Ejy0,https://www.google.com/maps/place/?q=place_id:ChIJrTgcQ529-TkRmWVu2Y9Ejy0,part_321,2026-09-20 20:18:41
PHYSIO-MED PAIN & PHYSIOTHERAPY CLINIC,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Doctor, Hospital, Medical clinic, Pain management physician",713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 77977 43003,N/A,5.0,119.0,"Biswanath Mukherjeee Road, Boinchi Gram, West Bengal 712135",713514,23.111935,88.2160335,ChIJg-FZlvL2-DkRGlZ1pxBJ_8Q,https://www.google.com/maps/place/?q=place_id:ChIJg-FZlvL2-DkRGlZ1pxBJ_8Q,part_321,2026-09-20 20:18:41
Physio world physiotherapy clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 73859 94667,N/A,5.0,52.0,"near Punjab Bank, Khakurda, West Bengal 721445",713514,22.0154319,87.4123717,ChIJ6U3ZYE8vHToRmorGTcMXqSk,https://www.google.com/maps/place/?q=place_id:ChIJ6U3ZYE8vHToRmorGTcMXqSk,part_321,2026-09-20 20:18:41
Sk Faruk Hossain (Physiotherapist),Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Chiropractor, Service establishment, Home health care service, Hypnotherapy service, Physiotherapist",713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 81019 45610,N/A,5.0,20.0,"Sk Faruk Hossain (Physiotherapist), 713514, India",713514,23.363019599999998,87.9712686,ChIJHXrlhyZSdGoRN9j6A05B9M4,https://www.google.com/maps/place/?q=place_id:ChIJHXrlhyZSdGoRN9j6A05B9M4,part_321,2026-09-20 20:18:41
"BACK IN MOTION PHYSIOTHERAPY AND OCCUPATIONAL THERAPY CLINIC , KALYANI-DR SOURAV MOHAPATRA(EX-AIIMS KALYANI)",Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Occupational therapist, Orthotics & Prosthetics Centre, Pain management physician, Physiotherapist, Physiotherapy equipment supplier, Rehabilitation center, Speech & Hearing Specialist, Sports medicine clinic, Wellness center",713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 79789 58252,http://www.backinmotionphysiotherap.com/,5.0,424.0,"B-9/269, near Shishu patha bhaban, B 10, Block B, Kalyani, West Bengal 741235","B 10, Block B",22.975911699999997,88.4382751,ChIJcXfg3_eV-DkRyKDwebHylnA,https://www.google.com/maps/place/?q=place_id:ChIJcXfg3_eV-DkRyKDwebHylnA,part_321,2026-09-20 20:18:41
DR MD's Physiotherapy and rehab centre- Best physiotherapist in malda.,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Acupuncture clinic, Chiropractor, Home health care service, Massage therapist, Orthopedic clinic, Pain control clinic, Pain management physician, Physical fitness program, Physiotherapist",713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 99157 58740,http://drmdsphysiotherapy.in/,5.0,820.0,"Krishna Jiban Sanyal Rd, Mokdumpur, Malda, West Bengal 732103",Mokdumpur,24.9929903,88.1423942,ChIJ07uwJd39-jkRsGOBo2iy-Oo,https://www.google.com/maps/place/?q=place_id:ChIJ07uwJd39-jkRsGOBo2iy-Oo,part_321,2026-09-20 20:18:41
Physio Care Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Fitness center, Medical clinic, Pain control clinic, Pain management physician, Physical fitness program, Physiotherapist",713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",N/A,https://physiocareclinic.co.in/,4.8,13.0,"B.P.T, Shabnam Nasrin, Dist. Murshidabad, Near, Mahisasthali Post Office Rd, Bhagwangola, West Bengal 742135",713514,24.3276994,88.315118,ChIJWyHD9T_P-zkRX_OAmI5k960,https://www.google.com/maps/place/?q=place_id:ChIJWyHD9T_P-zkRX_OAmI5k960,part_321,2026-09-20 20:18:41
Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO",+91 70471 65810,N/A,4.9,34.0,"Achintala stand, Mothabari, Kaliachak, West Bengal 732207",713514,24.9002381,88.0282173,ChIJefLZN7b5-jkR3xHBZK1QwUQ,https://www.google.com/maps/place/?q=place_id:ChIJefLZN7b5-jkR3xHBZK1QwUQ,part_321,2026-09-20 20:18:41
