business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mauli Tiffin Service - Best Home Made Food In Powai,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Food court",721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",+91 81692 33945,N/A,4.9,,"05, Saki Vihar Rd, opp. L and T Flyover, Krishna Nagar, Powai, Mumbai, Maharashtra 400072","Krishna Nagar, Powai",19.125319599999997,72.893096,ChIJw-X_GeXJ5zsRMNrCXq_aexM,https://www.google.com/maps/place/?q=place_id:ChIJw-X_GeXJ5zsRMNrCXq_aexM,part_322,2026-09-20 20:19:24
Sindhi Mom Made,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Restaurant",721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",+91 79901 27949,N/A,5.0,,"Bhairavnath, Maninagar, Ahmedabad, Gujarat 380008","Bhairavnath, Maninagar",22.997708,72.59702039999999,ChIJE_QG7XGSh48RmmRVHge_5sQ,https://www.google.com/maps/place/?q=place_id:ChIJE_QG7XGSh48RmmRVHge_5sQ,part_322,2026-09-20 20:19:24
Mama's Pantry,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",+91 90290 20667,https://app.restroiq.com/m/AR2MPUVx9TddmJ-cgIdCt?mode=delivery,4.8,,"41, Rustomjee, Adarsh Regency, off Marve Road, near Carmel School, Malad, Adarsh Dugdhalaya, Dominic Colony, Malad West, Mumbai, Maharashtra 400064","Malad, Adarsh Dugdhalaya, Dominic Colony, Malad West",19.1943275,72.8424781,ChIJ2axkVV-35zsRQb9jJ7juHJM,https://www.google.com/maps/place/?q=place_id:ChIJ2axkVV-35zsRQb9jJ7juHJM,part_322,2026-09-20 20:19:24
Shree Tiffin Mumbai,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",+91 88505 72681,N/A,5.0,,"Mahatma Gandhi Rd, Amrut Nagar, Patel Nagar, Kandivali West, Mumbai, Maharashtra 400067","Amrut Nagar, Patel Nagar, Kandivali West",19.2060238,72.8434383,ChIJscyHEY635zsRqq9wQUZTqqA,https://www.google.com/maps/place/?q=place_id:ChIJscyHEY635zsRqq9wQUZTqqA,part_322,2026-09-20 20:19:24
Kaleshwari Prasann Tiffin & Mess Services,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",+91 88058 91274,N/A,4.7,,"Seven Star, Club Road, near Bhalero Colony, Ram Nagar, Rahatani, Pune, Pimpri-Chinchwad, Maharashtra 411017","Ram Nagar, Rahatani",18.602328,73.7922779,ChIJiedZId25wjsRm_5UYMwmY_g,https://www.google.com/maps/place/?q=place_id:ChIJiedZId25wjsRm_5UYMwmY_g,part_322,2026-09-20 20:19:24
Maa Bana Tiffin Service,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",+91 73832 33990,N/A,4.8,,"SAI GREEN VALLEY-2, G-403, 4th, near Vibhusha Bungalows Road, bunglows, Bopal, Ahmedabad, Gujarat 380058","bunglows, Bopal",23.037468999999998,72.4507792,ChIJqVkvfXGDXjkR8oKFlpYw-EM,https://www.google.com/maps/place/?q=place_id:ChIJqVkvfXGDXjkR8oKFlpYw-EM,part_322,2026-09-20 20:19:24
Meenakshi Tiffin Services,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",+91 99699 76910,N/A,5.0,,"2, Vireshwar Kutir, St Mary Rd, near golden restaurant, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 400056","LIC Colony, Suresh Colony, Vile Parle West",19.099835199999998,72.8416034,ChIJF2MPzU_J5zsRgDiVScDLFPY,https://www.google.com/maps/place/?q=place_id:ChIJF2MPzU_J5zsRgDiVScDLFPY,part_322,2026-09-20 20:19:24
Homenu,Tiffin Center and Mess,Tiffin Service Provider,"Tiffin Service Provider, Catering food and drink supplier, Fast food restaurant",721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",+91 77888 18882,https://homenu.in/,4.8,,"Shop 7, Sai Sagar CHS, Plot 45B, Shelghar, Sector 16, Ulwe, Gavthan, Maharashtra 410206","Shelghar, Sector 16, Ulwe",18.9581597,73.017489,ChIJodX2jY3d5zsRu5bsrP8ilxA,https://www.google.com/maps/place/?q=place_id:ChIJodX2jY3d5zsRu5bsrP8ilxA,part_322,2026-09-20 20:19:24
The Tiffin Service by SoulFood,Tiffin Center and Mess,Tiffin Service Provider,Tiffin Service Provider,721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",+91 70383 74118,http://www.thetiffinservice.com/,4.9,,"Samruddhi Apartment, Autadwadi Handewadi, Chintamani Nagar, Hadapsar, Pune, Maharashtra 411028","Autadwadi Handewadi, Chintamani Nagar, Hadapsar",18.484926899999998,73.9365402,ChIJYfTlagHpwjsRcRWsHZxEIRo,https://www.google.com/maps/place/?q=place_id:ChIJYfTlagHpwjsRcRWsHZxEIRo,part_322,2026-09-20 20:19:24
My Tasty Tiffin (Food Service),Tiffin Center and Mess,Meal delivery,"Meal delivery, Food court",721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",+91 90998 53085,N/A,4.9,,"Sonal Char Rasta, A-11 Nandvardhan Bag, Nilmani, App, Drive In Rd, Memnagar, Ahmedabad, Gujarat 380052","L.K Society, Nilmani Society, Memnagar",23.050774699999998,72.5312501,ChIJTVarnH6FXjkRnnWidwp7D2M,https://www.google.com/maps/place/?q=place_id:ChIJTVarnH6FXjkRnnWidwp7D2M,part_322,2026-09-20 20:19:24
