business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Asha Boutique & Ladies Tailor,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Boutique, Tailor",723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 70015 15688,N/A,4.7,18.0,"near vaskar marriage hall, beside Tower gali, Ismile, Gurunanak pally, Asansol, West Bengal 713301","Ismile, Gurunanak pally",23.667087,86.9715417,ChIJa0Pusygf9zkRj2Dsfe76XXU,https://www.google.com/maps/place/?q=place_id:ChIJa0Pusygf9zkRj2Dsfe76XXU,part_325,2026-09-20 20:32:52
Sashi Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 98833 45037,N/A,5.0,4.0,"Monohar Bahal B, West Bengal 713341",723133,23.728630499999998,86.9732264,ChIJk_HxNgAf9zkRqci_bluz1bk,https://www.google.com/maps/place/?q=place_id:ChIJk_HxNgAf9zkRqci_bluz1bk,part_325,2026-09-20 20:32:52
Dream Designer,Tailor and Fashion Designer,Tailor,Tailor,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",N/A,N/A,5.0,2.0,"store 2, jalan market just, mins of walk, Hutton Rd, beside of mohan family, Pathak Bari, Asansol, West Bengal 713303",Pathak Bari,23.6822156,86.96909339999999,ChIJgVkHxDof9zkRMAsbahTvcOc,https://www.google.com/maps/place/?q=place_id:ChIJgVkHxDof9zkRMAsbahTvcOc,part_325,2026-09-20 20:32:52
Seeban ladies tailor,Tailor and Fashion Designer,Tailor,Tailor,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 86838 15677,N/A,4.9,14.0,"Vidyasagar Sarani, Street No. 2, Saradapally, Asansol, West Bengal 713304","Saradapally, Kumarpur",23.6944767,86.9430962,ChIJzccBeocf9zkRRtpAkyehChA,https://www.google.com/maps/place/?q=place_id:ChIJzccBeocf9zkRRtpAkyehChA,part_325,2026-09-20 20:32:52
MAA DURGA LADIES TAILOR (since 2008),Tailor and Fashion Designer,Tailor,Tailor,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 83489 52450,N/A,5.0,24.0,"ram krishna, Shivlal Dangal Rd, near Gupta Marriage Hall, South Dhadka, Dhadka, Asansol, West Bengal 713302","South Dhadka, Dhadka",23.6978384,86.9786403,ChIJC0zDLkQf9zkRMIns36URicY,https://www.google.com/maps/place/?q=place_id:ChIJC0zDLkQf9zkRMIns36URicY,part_325,2026-09-20 20:32:52
House of kareenaz,Tailor and Fashion Designer,Tailor,Tailor,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 70767 85719,N/A,5.0,14.0,"Samiran Roy Road, near SBI bank, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.6823636,86.97956669999999,ChIJY08uM6Qf9zkRQtvidcfC0h8,https://www.google.com/maps/place/?q=place_id:ChIJY08uM6Qf9zkRQtvidcfC0h8,part_325,2026-09-20 20:32:52
SHRI RADHIKA LADIES TAILOR,Tailor and Fashion Designer,Tailor,Tailor,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 81674 39661,http://www.xyz.com/,4.6,12.0,"Surya sen park road, Kumarpur, Asansol, West Bengal 713304",Kumarpur,23.6963586,86.9402966,ChIJFbQ-DEYf9zkR6Zvcf1nZUec,https://www.google.com/maps/place/?q=place_id:ChIJFbQ-DEYf9zkR6Zvcf1nZUec,part_325,2026-09-20 20:32:52
Chittaranjan Dress House ( Estd: 1968),Tailor and Fashion Designer,Tailor,"Tailor, Gents Tailor",723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",N/A,N/A,4.4,19.0,"Shop No. M-22,23, Daily Market, Burnpur Paschim, Asansol, West Bengal 713325",Puranahat,23.6700639,86.9476043,ChIJO9NKocsf9zkRNA4qqLKJkQQ,https://www.google.com/maps/place/?q=place_id:ChIJO9NKocsf9zkRNA4qqLKJkQQ,part_325,2026-09-20 20:32:52
Dora The Gents Tailor (Since 1957),Tailor and Fashion Designer,Gents Tailor,"Gents Tailor, Clothing alteration service, Custom tailor, Clothing Accessories Store",723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 99323 92325,https://www.linkedin.com/company/dora-tailors/,4.3,24.0,"Hutton Road, T P Mukherjee Rd, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.6863845,86.9701013,ChIJW1YQgScf9zkRnipCUx9LpKo,https://www.google.com/maps/place/?q=place_id:ChIJW1YQgScf9zkRnipCUx9LpKo,part_325,2026-09-20 20:32:52
Aleeza boutique,Tailor and Fashion Designer,Tailor,Tailor,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 96799 58786,N/A,4.9,11.0,"Samiran Roy Road, near Telephone Exchange, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.6822999,86.9794383,ChIJOyllG6Ef9zkRIqJXjjRUMZI,https://www.google.com/maps/place/?q=place_id:ChIJOyllG6Ef9zkRIqJXjjRUMZI,part_325,2026-09-20 20:32:52
Skyline Uniform,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",N/A,N/A,4.3,,"Rail Par, KT Rd, Tari Mohalla, Asansol, West Bengal 713302",Tari Mohalla,23.693331,86.97655,ChIJtW8WvS4f9zkRyrUhq49YdBA,https://www.google.com/maps/place/?q=place_id:ChIJtW8WvS4f9zkRyrUhq49YdBA,part_325,2026-09-20 20:32:52
Geeta ladies tailor and training centre,Tailor and Fashion Designer,Clothing store,Clothing store,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 79089 80474,N/A,4.7,,"Kalyanpur Housing, Kalyanpur, Asansol, West Bengal 713302","Kalyanpur Housing, Kalyanpur",23.7014709,86.96184219999999,ChIJzW7PLxYf9zkR3HIrFR1x8Wc,https://www.google.com/maps/place/?q=place_id:ChIJzW7PLxYf9zkR3HIrFR1x8Wc,part_325,2026-09-20 20:32:52
HAMDAN Boutique Tailor,Tailor and Fashion Designer,Tailor,Tailor,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 83458 16178,N/A,4.7,,"OK Rd, near Iqubal Bridge, Railpar, Asansol, West Bengal 713302",Railpar,23.695309599999998,86.9715645,ChIJtXqzw6Mf9zkRLzggb_u5nhw,https://www.google.com/maps/place/?q=place_id:ChIJtXqzw6Mf9zkRLzggb_u5nhw,part_325,2026-09-20 20:32:52
Stitching world,Tailor and Fashion Designer,Tailor,"Tailor, Women's clothing store",723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 96793 39758,https://boutique.edmonton.in/,4.4,9.0,"Ambedkar Road, near health canter, Muslim Para, Dildar Nagar, Asansol, West Bengal 713303","Muslim Para, Dildar Nagar",23.676723,86.980552,ChIJXybkVAMf9zkRAd_c3oPgJGA,https://www.google.com/maps/place/?q=place_id:ChIJXybkVAMf9zkRAd_c3oPgJGA,part_325,2026-09-20 20:32:53
SUPARNA BOUTIQUE,Tailor and Fashion Designer,Tailor,Tailor,723133,West Bengal Circle,South Bengal Region,Purulia Division,"Raghunathpur SO Puruliya, Agaibari BO, Babugram BO",+91 93395 01264,https://www.facebook.com/suparna.733076?mibextid=ZbWKwL,4.9,117.0,"Prachin Mayapur, Nabadwip, Rudrapara P, West Bengal 741302",Prachin Mayapur,23.4199912,88.376717,ChIJyYXcmD4d-TkRjN8JGjYJyW8,https://www.google.com/maps/place/?q=place_id:ChIJyYXcmD4d-TkRjN8JGjYJyW8,part_325,2026-09-20 20:32:53
