business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
R.P.B. HOUSE CONSTRUCTION,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",N/A,N/A,5.0,4.0,"Bhangamora, Bhangamore, West Bengal 736146",736146,26.381607199999998,89.1910381,ChIJ8dltPDEJ4zkRWarvqx_WOtw,https://www.google.com/maps/place/?q=place_id:ChIJ8dltPDEJ4zkRWarvqx_WOtw,part_330,2026-09-20 20:24:56
ER.SANKU SAHA(CIVIL ENGINEER),Civil Contractor and Builder,Civil engineering company,Civil engineering company,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",+91 82505 76315,N/A,5.0,8.0,"WARD NO-05, SUTUNGA BANDHER UTTAR PASS, Sitalkuchi Rd, Mathabhanga, West Bengal 736146",736146,26.336738999999998,89.2158491,ChIJWeyKXyMJ4zkRg214I-HYYrQ,https://www.google.com/maps/place/?q=place_id:ChIJWeyKXyMJ4zkRg214I-HYYrQ,part_330,2026-09-20 20:24:56
Krish Enterprices,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",N/A,N/A,,,"Kurshamari, West Bengal 736146",736146,26.3174833,89.1792148,ChIJcbfIP-8P4zkRT_59tUVBv9E,https://www.google.com/maps/place/?q=place_id:ChIJcbfIP-8P4zkRT_59tUVBv9E,part_330,2026-09-20 20:24:56
P&C Construction and consultancy,Civil Contractor and Builder,Bullring,Bullring,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",N/A,N/A,,,"Office Para, Ateam ground, Mathabhanga, West Bengal 736146","Office Para, Ateam ground",26.339390299999998,89.2122538,ChIJgwD9W5cJ4zkRhlmKJ_ZmWEs,https://www.google.com/maps/place/?q=place_id:ChIJgwD9W5cJ4zkRhlmKJ_ZmWEs,part_330,2026-09-20 20:24:56
R.R consortium,Civil Contractor and Builder,Civil engineering company,Civil engineering company,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",+91 95633 51768,https://rrconsortiums.in/,5.0,1.0,"BaghaJatin clubs road, Mathabhanga, West Bengal 736146","Ward Number 10, Hazrahat",26.3329022,89.2085954,ChIJ4-LaQKcJ4zkR1cbgrZz_BJ4,https://www.google.com/maps/place/?q=place_id:ChIJ4-LaQKcJ4zkR1cbgrZz_BJ4,part_330,2026-09-20 20:24:56
Jyoti Associates & Construction,Civil Contractor and Builder,Building consultant,"Building consultant, Building materials supplier",736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",+91 70010 47050,N/A,,,"RN -3, near Shishusangam School, Ward Number 10, Mathabhanga, Pachagarh, West Bengal 736146",Ward Number 10,26.333574199999997,89.21173999999999,ChIJ7zOJ7qYJ4zkR1VJ-vz3qqVM,https://www.google.com/maps/place/?q=place_id:ChIJ7zOJ7qYJ4zkR1VJ-vz3qqVM,part_330,2026-09-20 20:24:56
S.K INDUSTRIES,Civil Contractor and Builder,Saw mill,Saw mill,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",+91 94343 37729,N/A,4.4,8.0,"85VQ+77X, Khaterbari, West Bengal 736146",736146,26.343027799999998,89.1892913,ChIJzTflXAAJ4zkR9sIeB7IcJdA,https://www.google.com/maps/place/?q=place_id:ChIJzTflXAAJ4zkR9sIeB7IcJdA,part_330,2026-09-20 20:24:56
Munna,Civil Contractor and Builder,Home automation company,Home automation company,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",N/A,N/A,,,"9672+6HJ, Mathabhanga, Khaterbari, West Bengal 736146",Mathabhanga,26.3630931,89.2014014,ChIJ0Qn0WAAJ4zkRSXwESi57fh0,https://www.google.com/maps/place/?q=place_id:ChIJ0Qn0WAAJ4zkRSXwESi57fh0,part_330,2026-09-20 20:24:56
Haripada barman,Civil Contractor and Builder,Home builder,Home builder,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",N/A,N/A,,,"937V+MV, Chenakata, West Bengal 736146",736146,26.364246599999998,89.09474569999999,ChIJpyqeGAAL4zkRW3sBEJ4bZ1I,https://www.google.com/maps/place/?q=place_id:ChIJpyqeGAAL4zkRW3sBEJ4bZ1I,part_330,2026-09-20 20:24:56
Naya bari,Civil Contractor and Builder,Housing society,Housing society,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",N/A,N/A,4.0,3.0,"84WW+XQ4, Mathabhanga, West Bengal 736146",736146,26.347393099999998,89.14694519999999,ChIJa18365kL4zkRgBiUAXx4ynQ,https://www.google.com/maps/place/?q=place_id:ChIJa18365kL4zkRgBiUAXx4ynQ,part_330,2026-09-20 20:24:56
Probhat barman vip,Civil Contractor and Builder,Home builder,Home builder,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",N/A,N/A,,,"9565+8FW, Nabiner Dola, West Bengal 736146",736146,26.3620609,89.1578054,ChIJ9-6DJgAL4zkRaOY8RvStjmE,https://www.google.com/maps/place/?q=place_id:ChIJ9-6DJgAL4zkRaOY8RvStjmE,part_330,2026-09-20 20:24:56
JHR ENTERPRISES JUYEL HOUSE 🏡,Civil Contractor and Builder,Housing society,Housing society,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",N/A,N/A,5.0,2.0,"85VW+G4J, Khaterbari, West Bengal 736146",736146,26.3438457,89.1952799,ChIJjwUxGQAJ4zkRAFTDfQZKQz4,https://www.google.com/maps/place/?q=place_id:ChIJjwUxGQAJ4zkRAFTDfQZKQz4,part_330,2026-09-20 20:24:56
Cassenia Infrastructure Private Limited,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO",+91 97332 58366,N/A,5.0,7.0,"G5CX+6V9, Falakata, West Bengal 735211",736146,26.5205253,89.1997499,ChIJ40YjWQCl4zkR2fJ3vE9iYa4,https://www.google.com/maps/place/?q=place_id:ChIJ40YjWQCl4zkR2fJ3vE9iYa4,part_330,2026-09-20 20:24:56
