business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MDSoftwares,POS and Billing Software Vendor,Software company,Software company,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,http://www.mdsoftwares.in/,5.0,10.0,"Inda, Kharagpur, West Bengal 721305",Inda,22.3507704,87.3388767,ChIJ67TrbZBFHToRWVHutxupVwA,https://www.google.com/maps/place/?q=place_id:ChIJ67TrbZBFHToRWVHutxupVwA,part_322,2026-09-20 20:23:37
Sensible Connect Solutions Pvt. Ltd.,POS and Billing Software Vendor,Manufacturer,Manufacturer,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 80 4825 0488,https://sensible.biz/home,4.5,368.0,"4, Paud Rd, opposite Kinara Hotel, near Vanaz Factory, Vrindavan Colony, Alkapuri Society, Kothrud, Pune, Maharashtra 411038","Vrindavan Colony, Alkapuri Society, Kothrud",18.5069411,73.8065183,ChIJEQzTfBvAwjsRilO2FrRAz7c,https://www.google.com/maps/place/?q=place_id:ChIJEQzTfBvAwjsRilO2FrRAz7c,part_322,2026-09-20 20:23:38
AD Software Solutions,POS and Billing Software Vendor,Software company,Software company,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 3222 252 372,http://www.adsoftsol.com/,4.0,7.0,"H.NO, 913/513/3, near Balaji Temple, Ward Number 20, Kharagpur, West Bengal 721304",Ward Number 20,22.3469539,87.28108619999999,ChIJKS9fraJDHToRJhpZZ-HdSZA,https://www.google.com/maps/place/?q=place_id:ChIJKS9fraJDHToRJhpZZ-HdSZA,part_322,2026-09-20 20:23:39
PRB INFOTECH,POS and Billing Software Vendor,Computer support and services,Computer support and services,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 97340 79440,N/A,4.8,523.0,"Makrampur, Kharagpur, Kantai, West Bengal 721437",Makrampur,22.2156801,87.3912426,ChIJ7cQRzOI3HToRWrXPJMMJz48,https://www.google.com/maps/place/?q=place_id:ChIJ7cQRzOI3HToRWrXPJMMJz48,part_322,2026-09-20 20:23:39
Pace Computer Services,POS and Billing Software Vendor,Warehouse,Warehouse,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,N/A,5.0,1.0,"88RP+C43, Puratan Bazar, Kharagpur, West Bengal 721301",Puratan Bazar,22.3409707,87.335217,ChIJudCeRcVFHToR9BaXU1N9jtA,https://www.google.com/maps/place/?q=place_id:ChIJudCeRcVFHToR9BaXU1N9jtA,part_322,2026-09-20 20:23:39
POS Nepal | e-billing Software Company Nepal |,POS and Billing Software Vendor,Software company,Software company,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,N/A,,,"Technology Park, Kathmandu, Bagmati Province 44600, Nepal",721301,27.7178437,85.32505479999999,ChIJO1WO4UYZ6zkRhfLsnT5rZvA,https://www.google.com/maps/place/?q=place_id:ChIJO1WO4UYZ6zkRhfLsnT5rZvA,part_322,2026-09-20 20:23:39
NameHosty.Com,POS and Billing Software Vendor,Web hosting company,Web hosting company,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 70010 07575,https://namehosty.com/,4.9,24.0,"Sabang - Moharh Rd, Khargapur, Mohar, Katina, West Bengal 721161",Khargapur,22.164298499999997,87.6816602,ChIJjfcWLffJAjoRS5QTqLo-LDY,https://www.google.com/maps/place/?q=place_id:ChIJjfcWLffJAjoRS5QTqLo-LDY,part_322,2026-09-20 20:23:39
PN SOFTWARE TECH PVT LTD,POS and Billing Software Vendor,Software company,Software company,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 80014 40055,https://pnsoftware.org/,4.8,26.0,"Room-109(1st Floor, Webel IT Park, Krishnanagar, West Bengal 741103",721301,23.3920365,88.4756704,ChIJ2-jqsh0R-TkRt-ZcdAZcTik,https://www.google.com/maps/place/?q=place_id:ChIJ2-jqsh0R-TkRt-ZcdAZcTik,part_322,2026-09-20 20:23:39
Sanjay Microprocessor,POS and Billing Software Vendor,Computer repair service,Computer repair service,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,http://sanjaymicroprocessor.co.in/,,,"Makrampur, Kharagpur, West Bengal 721437",Makrampur,22.2123949,87.3904522,ChIJTbowoCk3HToRIaga2I3LZ6A,https://www.google.com/maps/place/?q=place_id:ChIJTbowoCk3HToRIaga2I3LZ6A,part_322,2026-09-20 20:23:39
Based Computer,POS and Billing Software Vendor,Computer support and services,Computer support and services,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 91445 02365,N/A,,,"1588, Jafala Rd, Kharagpur, Rui Sanda, West Bengal 721301",721301,22.3525423,87.3520386,ChIJoR_s9MpFHToR8kkk1_5Md0g,https://www.google.com/maps/place/?q=place_id:ChIJoR_s9MpFHToR8kkk1_5Md0g,part_322,2026-09-20 20:23:39
