business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Odisha Alloy Steel Private Limited,TMT Steel and Iron Wholesaler,Pipe supplier,Pipe supplier,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,N/A,4.2,37.0,"9862+MJJ, Nandarchak, West Bengal 721301",721301,22.3617165,87.30151479999999,ChIJvyI6wfxDHToRDX2xL6SqujI,https://www.google.com/maps/place/?q=place_id:ChIJvyI6wfxDHToRDX2xL6SqujI,part_322,2026-09-20 20:23:23
ESHAN ENTERPRISE (super shakti TMT),TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 92336 81286,N/A,,,"Malancha in Kharagpur, Kharagpur, Chherua, West Bengal 721304",721301,22.408099999999997,87.38109999999999,ChIJy5Gsb0xRHToRX7g9gRmsjnI,https://www.google.com/maps/place/?q=place_id:ChIJy5Gsb0xRHToRX7g9gRmsjnI,part_322,2026-09-20 20:23:23
DAS TRADING SELTIGER TMT AUTHORISED DELER,TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 97336 43809,https://www.seltigertmt.com/,,,"VILLAGE+POST - KESHPUR, opposite KALIMANDIR, Bhawanipur, Kharagpur, West Bengal 721150",Bhawanipur,22.3541541,87.3154936,ChIJS7FVnMZFHToR3DEX_wJIQlo,https://www.google.com/maps/place/?q=place_id:ChIJS7FVnMZFHToR3DEX_wJIQlo,part_322,2026-09-20 20:23:23
Milan Jana-Sel Tiger Tmt Bar Authorised Dealer,TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 76791 13646,https://www.seltigertmt.com/,5.0,5.0,"Jhikuria, West Bengal 722467",721301,22.444677499999997,87.5358665,ChIJL1FJa6JTHToRB_71eswPR3g,https://www.google.com/maps/place/?q=place_id:ChIJL1FJa6JTHToRB_71eswPR3g,part_322,2026-09-20 20:23:23
Rashmi Metaliks Ltd.,TMT Steel and Iron Wholesaler,Steel fabricator,Steel fabricator,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 33 2289 4255,N/A,3.9,505.0,"Kharagpur, Nandarchak, West Bengal 721301",721301,22.359447499999998,87.29767439999999,ChIJSbdLVYdDHToR3EYV9VWoZPE,https://www.google.com/maps/place/?q=place_id:ChIJSbdLVYdDHToR3EYV9VWoZPE,part_322,2026-09-20 20:23:23
Lodha Traders-Sel Tiger Tmt Authorised Dealer,TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 82504 23923,N/A,,,"Dominos building, Aakriti Apartment, College Rd, Midnapore, West Bengal 721101",721301,22.421865099999998,87.3268464,ChIJiTkrD1FbHToROpJayOepVD8,https://www.google.com/maps/place/?q=place_id:ChIJiTkrD1FbHToROpJayOepVD8,part_322,2026-09-20 20:23:23
Ramsarup Industries Ltd,TMT Steel and Iron Wholesaler,Manufacturer,Manufacturer,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,https://www.ramsarup.com/,4.3,43.0,"Saha Chowk, Rakha jangal, Kharagpur, West Bengal 721301",721301,22.357077399999998,87.2760893,ChIJIV08UJJDHToRTr_zNiwOFZk,https://www.google.com/maps/place/?q=place_id:ChIJIV08UJJDHToRTr_zNiwOFZk,part_322,2026-09-20 20:23:23
NANDALALIMARATI BHANDAR BHANDAR (super shakti TMT),TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,N/A,,,"Jalsara, Ghatal, Chherua, West Bengal 721212",Jalsara,22.408099999999997,87.38109999999999,ChIJbfHnPn5RHToR1dAmGKwJKgo,https://www.google.com/maps/place/?q=place_id:ChIJbfHnPn5RHToR1dAmGKwJKgo,part_322,2026-09-20 20:23:23
Mistu Steel & Aluminium,TMT Steel and Iron Wholesaler,Steel fabricator,Steel fabricator,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 96090 95353,N/A,4.9,12.0,"Kharagpur City Rd, beside of Kar Hardware, Puratan Bazar, Kharagpur, West Bengal 721301",Puratan Bazar,22.3379718,87.3358288,ChIJqdj93mpFHToRHEkwjfzA528,https://www.google.com/maps/place/?q=place_id:ChIJqdj93mpFHToRHEkwjfzA528,part_322,2026-09-20 20:23:23
Steel Melting Shop (SMS),TMT Steel and Iron Wholesaler,Manufacturer,Manufacturer,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 85977 75668,N/A,4.7,3.0,"978X+QR2, Kharagpur, West Bengal 721301",721301,22.3668968,87.2995272,ChIJWX-tFkpDHToRe7rFMNv_oKg,https://www.google.com/maps/place/?q=place_id:ChIJWX-tFkpDHToRe7rFMNv_oKg,part_322,2026-09-20 20:23:23
"Khargapur Metal Reforming Industries Pvt. Ltd.,near Jakpur",TMT Steel and Iron Wholesaler,Foundry,Foundry,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,N/A,4.2,106.0,"89VP+VRR, Khatranga, West Bengal 721301",721301,22.344735,87.3870073,ChIJ6acyb2RPHToRVGBTM5QpKqM,https://www.google.com/maps/place/?q=place_id:ChIJ6acyb2RPHToRVGBTM5QpKqM,part_322,2026-09-20 20:23:23
SHREE MAA ENTERPRISE,TMT Steel and Iron Wholesaler,Building materials supplier,"Building materials supplier, Construction Material Wholesaler",721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 94342 18064,N/A,4.6,8.0,"SHREE MAA ENTERPRISE, Prembazar Rd, Hijli Co-Operative Society, Kharagpur, West Bengal 721306",Hijli Co-Operative Society,22.306394899999997,87.3024895,ChIJrcf5QqZHHToRDsRW6qJlHzs,https://www.google.com/maps/place/?q=place_id:ChIJrcf5QqZHHToRDsRW6qJlHzs,part_322,2026-09-20 20:23:23
Mahaveer Steel,TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 70010 55703,N/A,3.5,2.0,"NGE 460, Janta market, near BUS STAND, Kharagpur, West Bengal 721301",721301,22.3443629,87.32127729999999,ChIJk6i7IWlEHToRluUpeTFHmt0,https://www.google.com/maps/place/?q=place_id:ChIJk6i7IWlEHToRluUpeTFHmt0,part_322,2026-09-20 20:23:23
Kharagpur Metal Reforming Industries Private Limited,TMT Steel and Iron Wholesaler,Metal fabricator,Metal fabricator,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 3222 255 340,https://www.kgpmetal-india.com/,3.5,20.0,"Kaushallya, Kharagpur Railway Settlement, Kharagpur, West Bengal 721301",Kaushallya,22.3342566,87.33910379999999,ChIJyZ4SCzVEHToRb6g4rxVj1Nc,https://www.google.com/maps/place/?q=place_id:ChIJyZ4SCzVEHToRb6g4rxVj1Nc,part_322,2026-09-20 20:23:23
Maithan Steel & Power Limited (Unit 2),TMT Steel and Iron Wholesaler,Manufacturer,Manufacturer,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 97320 00870,http://www.maithansteel.com/,4.0,92.0,"More, Dendua, Salanpur, West Bengal 713357",721301,23.7777918,86.8678791,ChIJi4XhYanf9jkRIUumWLxEpEA,https://www.google.com/maps/place/?q=place_id:ChIJi4XhYanf9jkRIUumWLxEpEA,part_322,2026-09-20 20:23:23
Shyam Steel wholesaler,TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,N/A,4.8,9.0,"near sani mondir, Khar, West Bengal 721429",721301,21.9314675,87.53431289999999,ChIJaZayZBsrHToR2idQFWGi0K8,https://www.google.com/maps/place/?q=place_id:ChIJaZayZBsrHToR2idQFWGi0K8,part_322,2026-09-20 20:23:23
"Shivam Meltech Best TMT Bar in Durgapur, West Bengal",TMT Steel and Iron Wholesaler,Steel construction company,"Steel construction company, Steel industry, Steel distributor, Steel fabricator",721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 90070 90459,http://shivammeltech.com/,4.9,16.0,"Bamunara Industrial Area, Gopalpur P.S. : Kanksa, Durgapur, West Bengal 713212",721301,23.4999796,87.3680029,ChIJa78h9mNw9zkRK50MWzeQHjk,https://www.google.com/maps/place/?q=place_id:ChIJa78h9mNw9zkRK50MWzeQHjk,part_322,2026-09-20 20:23:23
SAIL/VIZAG TMT DEALER,TMT Steel and Iron Wholesaler,Iron & Steel Store,Iron & Steel Store,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",N/A,N/A,3.8,8.0,"Kharui more bazar, HARI OMM STEEL, Egra - Bajkul Rd, West Bengal 721438",721301,21.973302399999998,87.5355089,ChIJCSB9r48tHToRdudTU5HozIY,https://www.google.com/maps/place/?q=place_id:ChIJCSB9r48tHToRdudTU5HozIY,part_322,2026-09-20 20:23:23
Tata Structura - Kundu Trading,TMT Steel and Iron Wholesaler,Steel construction company,"Steel construction company, Construction Material Wholesaler, Home builder, Pipe supplier, Steel industry",721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 94340 55564,https://dealers.tatastructura.com/tata-structura-kundu-trading-steel-construction-company-kharagpur-1-kharagpur-310184/Home?utm_source=locator&utm_medium=googleplaces,5.0,1.0,"Ground Floor, 1, Kaushallya, Kharagpur, Doarkhol, West Bengal 721303",Kaushallya,22.3356683,87.2243361,ChIJVUhJUKxDHToRnf-JowWi1QU,https://www.google.com/maps/place/?q=place_id:ChIJVUhJUKxDHToRnf-JowWi1QU,part_322,2026-09-20 20:23:23
S.K. Steel Centre-Iron And Steel Merchants|General Order Suppliers,TMT Steel and Iron Wholesaler,Steel distributor,Steel distributor,721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO",+91 94340 13366,N/A,5.0,,"Kamalpur Plot, Benachity, Durgapur, West Bengal 713213","Kamalpur Plot, Benachity",23.5593453,87.2768068,ChIJxUB2341t9zkRfeQ12c9qsys,https://www.google.com/maps/place/?q=place_id:ChIJxUB2341t9zkRfeQ12c9qsys,part_322,2026-09-20 20:23:24
