business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"CSC Aadhaar Seva Kendra, Alipurduar",Common Service Center (CSC) / E-Seva,Aadhaar center,Aadhaar center,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",+91 98763 89631,N/A,3.8,24.0,"FGHG+JJW, Maya Talkies Road, near ICICI Bank, Chowpathi, Alipurduar, West Bengal 736121",Chowpathi,26.479123599999998,89.5265727,ChIJg-WwgoFX4jkRQq_xC87thw8,https://www.google.com/maps/place/?q=place_id:ChIJg-WwgoFX4jkRQq_xC87thw8,part_330,2026-09-20 20:19:13
Common Service Center,Common Service Center (CSC) / E-Seva,Internet cafe,"Internet cafe, Tour operator",736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",+91 94342 17416,http://www.apnacsconline.in/,3.9,21.0,"SH12A, Alipurduar, West Bengal 736121",736121,26.4947706,89.5268664,ChIJn-qysT5X4jkR_WfLj935fko,https://www.google.com/maps/place/?q=place_id:ChIJn-qysT5X4jkR_WfLj935fko,part_330,2026-09-20 20:19:13
INFOLUBIA - CSC Centre Hatiara (COMMON SERVICE CENTER),Common Service Center (CSC) / E-Seva,Internet cafe,"Internet cafe, Driver's license office, Information services, Insurance agency, Legal services, License bureau, Passport Agent, Print shop, Railway Ticket Agent",736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",+91 98519 29282,http://infolubia.com/,4.9,,"near, Swami Vivekananda Road, Dhankal, High Madrasah Main Gate, Hatiara, Kolkata, West Bengal 700157","Jagatpur, Hatiara, Baguiati",22.6155054,88.4436602,ChIJ-SOQrKqf-DkRiYWGuyOyJTc,https://www.google.com/maps/place/?q=place_id:ChIJ-SOQrKqf-DkRiYWGuyOyJTc,part_330,2026-09-20 20:19:14
APNA CSC NEW WORLD,Common Service Center (CSC) / E-Seva,Government office,Government office,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",+91 98518 90242,N/A,3.6,,"Kumarganj-Safanagar road, Gopalganj, West Bengal 733141",736121,25.4238841,88.7376161,ChIJ_VHOVqZZ-zkRFysvpH4iMms,https://www.google.com/maps/place/?q=place_id:ChIJ_VHOVqZZ-zkRFysvpH4iMms,part_330,2026-09-20 20:19:14
Digital Seva - Common Services Center,Common Service Center (CSC) / E-Seva,Government office,Government office,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",+91 98220 10070,http://www.apnacsconline.in/,3.3,,"SK Dhumal Building, Taluka, Niphad, Ranwad, Maharashtra 422308",736121,20.1738143,74.11359209999999,ChIJ7bLvwvzR3TsRRva-hhsD3h4,https://www.google.com/maps/place/?q=place_id:ChIJ7bLvwvzR3TsRRva-hhsD3h4,part_330,2026-09-20 20:19:14
common service centre (CSC) KNOWFAX DIGITAL,Common Service Center (CSC) / E-Seva,Computer consultant,"Computer consultant, Accounting firm, Insurance agency, Institute of technology, Travel clinic",736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",+91 73833 87373,https://knowfax.com/,5.0,,"new durga bazar, C-16, Raykanagar, Ashraf Nagar, Himatnagar, Gujarat 383001","Raykanagar, Ashraf Nagar",23.592629799999997,72.9626861,ChIJH7Cvw165XTkRJWBdjD2JhJQ,https://www.google.com/maps/place/?q=place_id:ChIJH7Cvw165XTkRJWBdjD2JhJQ,part_330,2026-09-20 20:19:14
COMMON SERVICE CENTRE,Common Service Center (CSC) / E-Seva,Travel agency,Travel agency,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",+91 93301 22802,N/A,3.7,,"79/3A, AJC Bose Rd, Maula Ali, Entally, Kolkata, West Bengal 700016","Maula Ali, Entally",22.5567586,88.3651233,ChIJvxXMxjV3AjoRsq8b133m6Bw,https://www.google.com/maps/place/?q=place_id:ChIJvxXMxjV3AjoRsq8b133m6Bw,part_330,2026-09-20 20:19:14
Common Service Centre,Common Service Center (CSC) / E-Seva,Store,Store,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",+91 82828 71317,N/A,4.7,,"107, S.S Road, Alambazar, Baranagar, Kolkata, Baranagar, West Bengal 700035","Alambazar, Baranagar",22.649102199999998,88.363546,ChIJzeCXPKid-DkRAAAA0CodIUk,https://www.google.com/maps/place/?q=place_id:ChIJzeCXPKid-DkRAAAA0CodIUk,part_330,2026-09-20 20:19:14
Web Spider Online,Common Service Center (CSC) / E-Seva,Internet cafe,Internet cafe,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",N/A,N/A,,,"More, near Traffic Point, Dhupguri, Falakata, West Bengal 735211",736121,26.5264901,89.1950023,ChIJP7dU-pOl4zkR32y35neZPQc,https://www.google.com/maps/place/?q=place_id:ChIJP7dU-pOl4zkR32y35neZPQc,part_330,2026-09-20 20:19:14
Common Service Center CSC,Common Service Center (CSC) / E-Seva,Government economic program,Government economic program,736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO",N/A,N/A,5.0,,"Sankheda, Gujarat 391145",736121,22.1748492,73.579728,ChIJb8BncWdzYDkRtC8OCx7_cLU,https://www.google.com/maps/place/?q=place_id:ChIJb8BncWdzYDkRtC8OCx7_cLU,part_330,2026-09-20 20:19:14
