business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ratan Fish Shop,Fish Market,General store,General store,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 97755 86490,N/A,1.0,1.0,"Shantipara, Bazar, Ambika Nagar Road, Nayapara, Siliguri, West Bengal 734007",Nayapara,26.679910699999997,88.4287715,ChIJm66wKFVD5DkRxcASxVIVvgM,https://www.google.com/maps/place/?q=place_id:ChIJm66wKFVD5DkRxcASxVIVvgM,part_328,2026-09-20 20:19:51
Bhumika Fish Shop,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 92422 04540,N/A,,,"Bhumik Fish Shop, Bazar, South Colony, Nayapara, Siliguri, Dabgram, West Bengal 735135","South Colony, Nayapara",26.677497,88.4413387,ChIJhaevwE1D5DkRv-78MUkymro,https://www.google.com/maps/place/?q=place_id:ChIJhaevwE1D5DkRv-78MUkymro,part_328,2026-09-20 20:19:51
sushil fish store,Fish Market,General store,General store,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 81013 12848,N/A,5.0,1.0,"MCQQ+9HG new jalpaiguri fish market, Bhanumati Rd, Ward 35, Dabgram, Siliguri, West Bengal 734007","Ward 35, Dabgram",26.6884442,88.4389664,ChIJF0VpDh1D5DkRLcZAfBGqqrk,https://www.google.com/maps/place/?q=place_id:ChIJF0VpDh1D5DkRLcZAfBGqqrk,part_328,2026-09-20 20:19:51
Brothers Fish Center,Fish Market,General store,General store,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 74787 42576,N/A,,,"New Jalpaiguri Station Market Road New Jalpaiguri Fish Market, West Bengal 734007","Ward 35, Dabgram",26.6880736,88.4390774,ChIJtTRydwtD5DkRG3p7MFNJKj4,https://www.google.com/maps/place/?q=place_id:ChIJtTRydwtD5DkRG3p7MFNJKj4,part_328,2026-09-20 20:19:51
Fish Shop,Fish Market,Fast food restaurant,Fast food restaurant,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 89277 20733,N/A,,,"Ward 24, Deshbandhu Para, Siliguri, West Bengal 734004","Ward 24, Deshbandhu Para",26.699069299999998,88.4386523,ChIJw0lJXidB5DkRNAyy9s9AYp8,https://www.google.com/maps/place/?q=place_id:ChIJw0lJXidB5DkRNAyy9s9AYp8,part_328,2026-09-20 20:19:51
RAJIB TAILORS BLUE SEA LAND,Fish Market,Aquarium shop,Aquarium shop,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 96142 83754,N/A,3.9,66.0,"Shankar Rd, Ward 30, Babupara, Siliguri, West Bengal 734004","Ward 30, Babupara",26.695662,88.43622599999999,ChIJkxf3cX5B5DkRf0W_FV3iSBI,https://www.google.com/maps/place/?q=place_id:ChIJkxf3cX5B5DkRf0W_FV3iSBI,part_328,2026-09-20 20:19:51
Njp Fish Market,Fish Market,Shopping mall,Shopping mall,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 98326 31093,N/A,4.0,2.0,"MCQQ+8QQ, Siliguri, Dabgram, West Bengal 734007","Ward 35, Dabgram",26.688328,88.43948999999999,ChIJQZzLptRD5DkR-IylD5mPlI8,https://www.google.com/maps/place/?q=place_id:ChIJQZzLptRD5DkR-IylD5mPlI8,part_328,2026-09-20 20:19:51
sahani fish shop,Fish Market,Dairy store,Dairy store,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 96792 76806,N/A,,,"Bhaktinagar, njp, Siliguri, West Bengal 734007","Bhaktinagar, njp",26.6880632,88.43899189999999,ChIJj7UTQ8ZD5DkR93DOKYKBH00,https://www.google.com/maps/place/?q=place_id:ChIJj7UTQ8ZD5DkR93DOKYKBH00,part_328,2026-09-20 20:19:51
Digha Mohana Fish Market,Fish Market,Seafood market,"Seafood market, Market",734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 95639 14117,N/A,4.2,3648.0,"MOHANA INTERNATIONAL FISH MARKET, Shubham Rd, Digha, Atili, West Bengal 721441",734007,21.6305174,87.5434325,ChIJU2ZscbMyAzoRUHm3cmjinM8,https://www.google.com/maps/place/?q=place_id:ChIJU2ZscbMyAzoRUHm3cmjinM8,part_328,2026-09-20 20:19:52
Smart Fishing,Fish Market,Fishing store,Fishing store,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 91260 85859,N/A,4.1,15.0,"Debinagar, Eastern Bypass, Siliguri, West Bengal 734004","Thakur Nagar, Shanti Nagar",26.7065172,88.4589556,ChIJO1pwppJB5DkRXvLnp2eNIRc,https://www.google.com/maps/place/?q=place_id:ChIJO1pwppJB5DkRXvLnp2eNIRc,part_328,2026-09-20 20:19:52
