business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mondal Chiken Shop,Kids Wear Store,Baby store,Baby store,733124,West Bengal Circle,North Bengal Region,Dinajpur Division,"Gangarampur SO, Belbari BO, Champatali BO",+91 90465 14764,N/A,4.0,1.0,"Dhaldighi North, Gangarampur, West Bengal 733124",Dhaldighi North,25.4013714,88.5312438,ChIJ4WH9_ApH-zkRkbVhdaEnocY,https://www.google.com/maps/place/?q=place_id:ChIJ4WH9_ApH-zkRkbVhdaEnocY,part_327,2026-09-20 20:31:23
Mithunsarkar,Kids Wear Store,Baby store,Baby store,733124,West Bengal Circle,North Bengal Region,Dinajpur Division,"Gangarampur SO, Belbari BO, Champatali BO",N/A,N/A,,,"Gangarampur, Belbari P, West Bengal 733124",733124,25.3847821,88.5106485,ChIJp33C6O5H-zkRS7MeozrTOCA,https://www.google.com/maps/place/?q=place_id:ChIJp33C6O5H-zkRS7MeozrTOCA,part_327,2026-09-20 20:31:23
Mayer Dua Bastralaya,Kids Wear Store,Children's clothing store,"Children's clothing store, Clothing store, Men's clothing store, Shoe store, Women's clothing store",733124,West Bengal Circle,North Bengal Region,Dinajpur Division,"Gangarampur SO, Belbari BO, Champatali BO",+91 81167 42432,N/A,4.9,7.0,"Hamjapur- Sarbamangala Road, Sarbamangala, West Bengal 733124",733124,25.4890205,88.61006619999999,ChIJMbI-bxhP-zkR7FGGJNEf55Q,https://www.google.com/maps/place/?q=place_id:ChIJMbI-bxhP-zkR7FGGJNEf55Q,part_327,2026-09-20 20:31:23
SOUMYA SAHA,Kids Wear Store,Baby store,"Baby store, Lottery shop",733124,West Bengal Circle,North Bengal Region,Dinajpur Division,"Gangarampur SO, Belbari BO, Champatali BO",+91 62946 51954,N/A,1.0,1.0,"Gangarampur - Tapan Main Rd, D B, ROD, Gangarampur, West Bengal 733124","D B, ROD",25.403836899999998,88.51678439999999,ChIJGY_DlllH-zkRGwexnxDM2Dk,https://www.google.com/maps/place/?q=place_id:ChIJGY_DlllH-zkRGwexnxDM2Dk,part_327,2026-09-20 20:31:23
M/S Faishal Garments,Kids Wear Store,Baby clothing store,Baby clothing store,733124,West Bengal Circle,North Bengal Region,Dinajpur Division,"Gangarampur SO, Belbari BO, Champatali BO",01714-601601,N/A,4.4,45.0,"N, A Market, Station Road Bahadur Bazar Rd, Dinajpur 5200, Bangladesh",733124,25.625433899999997,88.6317232,ChIJNzi6MWJN-zkRNyUWQ1mSRrA,https://www.google.com/maps/place/?q=place_id:ChIJNzi6MWJN-zkRNyUWQ1mSRrA,part_327,2026-09-20 20:31:23
Aarong Dinajpur,Kids Wear Store,Clothing store,Clothing store,733124,West Bengal Circle,North Bengal Region,Dinajpur Division,"Gangarampur SO, Belbari BO, Champatali BO",01709-656988,https://www.aarong.com/,4.2,40.0,"182/1, Iqbal School Mor, Road, Bangladesh",733124,25.6284074,88.630107,ChIJuS0XZ5BN-zkRl4H08HhcDx0,https://www.google.com/maps/place/?q=place_id:ChIJuS0XZ5BN-zkRl4H08HhcDx0,part_327,2026-09-20 20:31:23
Gift house,Kids Wear Store,Toy store,Toy store,733124,West Bengal Circle,North Bengal Region,Dinajpur Division,"Gangarampur SO, Belbari BO, Champatali BO",+91 62946 15400,N/A,4.7,,"Tapan, Salas, West Bengal 733127",733124,25.3073102,88.56999069999999,ChIJfdaPFnxD-zkREhPT48UuNqI,https://www.google.com/maps/place/?q=place_id:ChIJfdaPFnxD-zkREhPT48UuNqI,part_327,2026-09-20 20:31:24
Fashion City | ফ্যাশন সিটি,Kids Wear Store,Clothing store,Clothing store,733124,West Bengal Circle,North Bengal Region,Dinajpur Division,"Gangarampur SO, Belbari BO, Champatali BO",01774-032363,http://www.facebook.com/fashioncityofficial7,5.0,,"Ashranda Bazar, 6560, Bangladesh",733124,25.1734737,88.48862919999999,ChIJ7YJjCTVt-zkRyMnaJwzQw3o,https://www.google.com/maps/place/?q=place_id:ChIJ7YJjCTVt-zkRyMnaJwzQw3o,part_327,2026-09-20 20:31:24
S.Kabita Ding Dong Kids Wear Manufacturer,Kids Wear Store,Clothing manufacturer,Clothing manufacturer,733124,West Bengal Circle,North Bengal Region,Dinajpur Division,"Gangarampur SO, Belbari BO, Champatali BO",+91 96743 23258,https://wholesale.pinkychinky.com/,4.9,,"Y-326/1, Panch Para Rd, Metiabruz, Kolkata, West Bengal 700018",Metiabruz,22.5484863,88.2670455,ChIJ4xQuCBl5AjoRh9sV_4Ze0zs,https://www.google.com/maps/place/?q=place_id:ChIJ4xQuCBl5AjoRh9sV_4Ze0zs,part_327,2026-09-20 20:31:25
Hubator,Kids Wear Store,E-commerce service,E-commerce service,733124,West Bengal Circle,North Bengal Region,Dinajpur Division,"Gangarampur SO, Belbari BO, Champatali BO",+91 92420 36989,https://hubator.com/,4.8,,"Word No - 08, smriti community hall, Dakshin Saha Para, Jyotish, Tapan Main Road, minu dhar, Gangarampur, West Bengal 733124",minu dhar,25.391282099999998,88.51466049999999,ChIJ6-0ixTcKMKcRtaNM5rKwV4g,https://www.google.com/maps/place/?q=place_id:ChIJ6-0ixTcKMKcRtaNM5rKwV4g,part_327,2026-09-20 20:31:25
