business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Baby's touch,Patisserie,Cake shop,Cake shop,721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO",N/A,N/A,5.0,,"Mannya, Ramnagar, West Bengal 721424",721424,22.009046599999998,87.35609509999999,ChIJ3fbok-clHToRGIZ7Au0Czgs,https://www.google.com/maps/place/?q=place_id:ChIJ3fbok-clHToRGIZ7Au0Czgs,part_322,2026-09-20 20:35:34
BHAI BAHI FOOD PRODUCTS,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO",N/A,N/A,5.0,,"3C49+37Q, Laudungri, West Bengal 721445",721424,22.0552001,87.4182451,ChIJn30OagAxHToRImULLbTLbEg,https://www.google.com/maps/place/?q=place_id:ChIJn30OagAxHToRImULLbTLbEg,part_322,2026-09-20 20:35:34
"Cakewala (Cake, Biriyani, Pizza, Icecream etc)",Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO",+91 89672 13982,N/A,4.9,,"BAZAR, Makrampur - Temathani Rd, Makrampur, Kantai, Gobindapur Brahman Sasa, West Bengal 721437",Makrampur,22.2151633,87.39446799999999,ChIJsSNs46c3HToRUCJly5_dJWw,https://www.google.com/maps/place/?q=place_id:ChIJsSNs46c3HToRUCJly5_dJWw,part_322,2026-09-20 20:35:34
Khushi Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO",N/A,N/A,4.3,,"W7PF+6RP, Dantan, Ektarpur Takinagar, West Bengal 721426",721424,21.935575999999998,87.2745705,ChIJu1fCNgAjHToR_P4ZMTwC8S0,https://www.google.com/maps/place/?q=place_id:ChIJu1fCNgAjHToR_P4ZMTwC8S0,part_322,2026-09-20 20:35:34
Rajvog sweets shop,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO",+91 93821 02562,N/A,3.3,,"college road, Sabujpally, Belda, Mahammadpur, West Bengal 721424",Sabujpally,22.0734897,87.3388583,ChIJL5D3TwA7HToReYcplbooOIA,https://www.google.com/maps/place/?q=place_id:ChIJL5D3TwA7HToReYcplbooOIA,part_322,2026-09-20 20:35:34
সেনা সুইটস,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO",N/A,N/A,,,"3FFV+MF6, Kanakpur, Ajodhyapur, West Bengal 721439",721424,22.0741724,87.49362789999999,ChIJsf3TdAAzHToRM_gmrq34rWA,https://www.google.com/maps/place/?q=place_id:ChIJsf3TdAAzHToRM_gmrq34rWA,part_322,2026-09-20 20:35:34
FAMILY BAKERY (Wholesaler & Retailer),Patisserie,Wholesale bakery,"Wholesale bakery, Cookie shop",721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO",+91 99324 47504,N/A,4.0,,"near Auditorium Hall, Khandrui, West Bengal 721445",721424,21.9580977,87.41499189999999,ChIJ27tOKlIvHToRB5PT3GybhGY,https://www.google.com/maps/place/?q=place_id:ChIJ27tOKlIvHToRB5PT3GybhGY,part_322,2026-09-20 20:35:34
M M Pan Stol,Patisserie,Tea store,"Tea store, Cake shop",721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO",+91 78720 10811,N/A,5.0,1.0,"Radhanagar. Garh Radhanagar. Belda. - Khakurda Bipas Rod. 721445, Hamchandr Rod. Radhanogar Primary School, West Bengal 721424",721424,22.0510994,87.45545229999999,ChIJ5b_ydzExHToRFSTXIIF7xhA,https://www.google.com/maps/place/?q=place_id:ChIJ5b_ydzExHToRFSTXIIF7xhA,part_322,2026-09-20 20:35:36
MANDAL BAKERY,Patisserie,Manufacturer,Manufacturer,721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO",N/A,N/A,5.0,1.0,"47PV+7Q2, Keshiary, Santra Pur, West Bengal 721133",721424,22.135633499999997,87.2943954,ChIJnd7wAAA_HToR15Geli9BK6o,https://www.google.com/maps/place/?q=place_id:ChIJnd7wAAA_HToR15Geli9BK6o,part_322,2026-09-20 20:35:36
Samanta Sweet,Patisserie,Cake shop,Cake shop,721424,West Bengal Circle,South Bengal Region,Contai Division,"Belda SO, Akanda BO, Bakhrabad BO",N/A,N/A,,,"patash pur, Ajodhyapur, Egra, West Bengal 721439",patash pur,22.071409199999998,87.4934473,ChIJ63RhDVkzHToRi6wM429gNhs,https://www.google.com/maps/place/?q=place_id:ChIJ63RhDVkzHToRi6wM429gNhs,part_322,2026-09-20 20:35:36
