business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ICON HOMES PHASE-1,Real Estate Agents,Real estate agency,Real estate agency,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,4.8,39.0,"M9FQ+9P, Bara Pathuram, West Bengal 734434",734434,26.673869999999997,88.39011599999999,ChIJwbziwYRF5DkR5TBNHHIoENU,https://www.google.com/maps/place/?q=place_id:ChIJwbziwYRF5DkR5TBNHHIoENU,part_329,2026-09-20 20:17:41
Tarkeshwar Realty,Real Estate Agents,Real estate agency,Real estate agency,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 81014 84090,N/A,5.0,23.0,"Tarkeshwar Enterprises, Rani Laxmibai Sarani, behind Maharaja Restaurant, near Prabha Printing Press, Milanpally, Siliguri, West Bengal 734005",Milanpally,26.701192499999998,88.4230204,ChIJ6QIrF3tB5DkRDIfVtjZjF0o,https://www.google.com/maps/place/?q=place_id:ChIJ6QIrF3tB5DkRDIfVtjZjF0o,part_329,2026-09-20 20:17:41
Fox Realtors Pvt Ltd,Real Estate Agents,Real estate agent,"Real estate agent, Real estate developer",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 353 257 6326,https://foxrealtor.in/,5.0,89.0,"City Centre, G0301, Ujanu P, Matigara, Siliguri, West Bengal 734010",Ujanu P,26.724611499999998,88.39405269999999,ChIJd6Sf7v1A5DkRWKFSIV5UR0A,https://www.google.com/maps/place/?q=place_id:ChIJd6Sf7v1A5DkRWKFSIV5UR0A,part_329,2026-09-20 20:17:41
Mahabir Property Consultant Pvt. Ltd.,Real Estate Agents,Industrial real estate agency,Industrial real estate agency,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,,,"Bhalobasha more, Canal Rd, Nayapara, Fulbari, Siliguri, West Bengal 735135",Nayapara,26.6727734,88.4402686,ChIJTb7gvK1D5DkRCqnXSNvzm8E,https://www.google.com/maps/place/?q=place_id:ChIJTb7gvK1D5DkRCqnXSNvzm8E,part_329,2026-09-20 20:17:41
Real Estate Consultancy Services,Real Estate Agents,Real estate agent,"Real estate agent, Business broker, Commercial real estate agency, Industrial real estate agency, Real estate consultant, Real estate rental agency",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 75010 40794,https://real-estate-consultancy-services.vercel.app/,,,"Vivekananda Pally, Kadamtala, Baramohan Singh, Jote, Ranidanga, Siliguri, West Bengal 734011",Jote,26.701632399999998,88.3661953,ChIJq0k3w1BH5DkR1qkBoDPT8P8,https://www.google.com/maps/place/?q=place_id:ChIJq0k3w1BH5DkR1qkBoDPT8P8,part_329,2026-09-20 20:17:41
AR Realtor,Real Estate Agents,Housing society,Housing society,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,5.0,2.0,"M94G+XV8, Narayan, West Bengal 734434",734434,26.657421799999998,88.3771878,ChIJ9TpBEwBF5DkRUAyXop0IEV8,https://www.google.com/maps/place/?q=place_id:ChIJ9TpBEwBF5DkRUAyXop0IEV8,part_329,2026-09-20 20:17:41
Sunil G Kadamtala,Real Estate Agents,Business broker,Business broker,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,5.0,60.0,"Chandbarjote opp land EMBEE delight , kadamtala, Siliguri, West Bengal 734011",734434,26.698002799999998,88.3724843,ChIJ3VjggPFH5DkRyEftxEE2Yu4,https://www.google.com/maps/place/?q=place_id:ChIJ3VjggPFH5DkRyEftxEE2Yu4,part_329,2026-09-20 20:17:41
Saha Lottery Agency,Real Estate Agents,Real estate agency,Real estate agency,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,,,"M9QJ+WQ7, Noukaghat Rd, Thiknikata, West Bengal 734012",734434,26.6897828,88.38193249999999,ChIJr8Uy1yFE5DkR2XjZok1pQyo,https://www.google.com/maps/place/?q=place_id:ChIJr8Uy1yFE5DkR2XjZok1pQyo,part_329,2026-09-20 20:17:41
Swasti Realty,Real Estate Agents,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Apartment complex, Commercial real estate agency, Real estate agent, Warehouse",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 90021 94470,http://www.swastirealty.com/,4.8,219.0,"Upper Ground Floor, milestone Building, G-6, Sevoke Rd, Nimbu Basti, Siliguri, West Bengal 734008",Nimbu Basti,26.748528099999998,88.437249,ChIJJ_WY_PhA5DkRJmlrD_SCI7o,https://www.google.com/maps/place/?q=place_id:ChIJJ_WY_PhA5DkRJmlrD_SCI7o,part_329,2026-09-20 20:17:41
City Realtors,Real Estate Agents,Real estate agency,"Real estate agency, Condominium complex",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98320 57757,N/A,5.0,3.0,"PC38+MW4, Fire Brigade Rd, Ward 9, Khalpara, Siliguri, West Bengal 734005","Ward 9, Khalpara",26.704146299999998,88.4173309,ChIJ4cDUOGZB5DkRf0kHWf8mG5s,https://www.google.com/maps/place/?q=place_id:ChIJ4cDUOGZB5DkRf0kHWf8mG5s,part_329,2026-09-20 20:17:41
Sarkar Niketan,Real Estate Agents,Short term apartment rental agency,"Short term apartment rental agency, Transportation service",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 96415 85498,N/A,5.0,1.0,"near Tinbatti CS Shop, Purba Dhantala, Kanchanbari, Fulbari, Siliguri, West Bengal 734015","Purba Dhantala, Kanchanbari",26.6585614,88.42723509999999,ChIJg7xpcwBD5DkRquxEq3AgwUw,https://www.google.com/maps/place/?q=place_id:ChIJg7xpcwBD5DkRquxEq3AgwUw,part_329,2026-09-20 20:17:41
Sandeep G. Realestate Limited,Real Estate Agents,Real estate developer,Real estate developer,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 353 257 6700,http://www.sandeepg.in/,3.7,74.0,"Office Block, G-0214 City Centre Matigara, Uttorayon Twp, Siliguri, West Bengal 734010",Uttorayon Township,26.7249344,88.3941074,ChIJf9wNGs9G5DkRdSVRBH97dLw,https://www.google.com/maps/place/?q=place_id:ChIJf9wNGs9G5DkRdSVRBH97dLw,part_329,2026-09-20 20:17:41
Icon Homes - A project by Icon Constech Pvt Ltd,Real Estate Agents,Housing development,Housing development,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,5.0,10.0,"M99J+R27, Chhota Pathuram Rd, Chhota Pathuram, Bhatanjote, West Bengal 734434",734434,26.6695371,88.38003189999999,ChIJB0X1FyxF5DkRyWymSdNJna4,https://www.google.com/maps/place/?q=place_id:ChIJB0X1FyxF5DkRyWymSdNJna4,part_329,2026-09-20 20:17:41
Maa Durga Agency,Real Estate Agents,Real estate agency,Real estate agency,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 89723 54661,N/A,,,"MCHH+3PF, Nayapara, Uttarkanya, Dabgram, West Bengal 734007",Nayapara,26.6776789,88.4292957,ChIJNfaFv8VD5DkRhHLTxop4VpI,https://www.google.com/maps/place/?q=place_id:ChIJNfaFv8VD5DkRhHLTxop4VpI,part_329,2026-09-20 20:17:41
Riddhi Realtors - Real Estate Agency Kolkata,Real Estate Agents,Real estate agency,"Real estate agency, Commercial real estate agency, Service establishment, Property management company, Real estate agent, Real estate appraiser, Real estate consultant, Real estate rental agency, Real estate surveyor",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 89811 38190,https://riddhirealtors.com/,4.8,49.0,"Riddhi Realtors - Real Estate Agency Kolkata, 734434, India",734434,22.3916348,88.3277241,ChIJO8l8-XzGNA8RJafcRZm4BjU,https://www.google.com/maps/place/?q=place_id:ChIJO8l8-XzGNA8RJafcRZm4BjU,part_329,2026-09-20 20:17:41
Toss Realtors,Real Estate Agents,Real estate agency,"Real estate agency, Real Estate Builders & Construction Company, Real estate consultant, Real estate developer",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 90913 85093,N/A,4.8,5.0,"Barsana Lane, near IT Park, Matigara, Siliguri, West Bengal 734010",734434,26.7254069,88.37770859999999,ChIJg3RFVrpH5DkRC7EI7NF4IRw,https://www.google.com/maps/place/?q=place_id:ChIJg3RFVrpH5DkRC7EI7NF4IRw,part_329,2026-09-20 20:17:41
