business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAYEDUR INTERNET POINT,Internet Cafe,Internet cafe,Internet cafe,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",N/A,N/A,5.0,1.0,"Gothlu, Itahar, Gatlu, West Bengal 733128",Gothlu,25.468007699999998,88.15398789999999,ChIJhxdYue3X-jkRGwQL3Aj0jjo,https://www.google.com/maps/place/?q=place_id:ChIJhxdYue3X-jkRGwQL3Aj0jjo,part_327,2026-09-20 20:34:06
Islam internet point,Internet Cafe,Internet cafe,Internet cafe,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",+91 70291 79313,N/A,2.0,1.0,"953J+P7Q, Muskipur I, West Bengal 733128",733128,25.354340399999998,88.1807316,ChIJNzX_JAAh-zkR2DhkfoN0AKo,https://www.google.com/maps/place/?q=place_id:ChIJNzX_JAAh-zkR2DhkfoN0AKo,part_327,2026-09-20 20:34:06
MIRAJ NET POINT & CSC CENTER,Internet Cafe,Internet cafe,Internet cafe,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",+91 70019 32373,N/A,3.4,28.0,"VILL-SUBARNAPUR, P.O-GULANDAR, P.S-ITAHAR, DIST, Raiganj, West Bengal 733128",733128,25.4792484,88.0746192,ChIJzd2C8rvQ-jkRKhi5BOoplSE,https://www.google.com/maps/place/?q=place_id:ChIJzd2C8rvQ-jkRKhi5BOoplSE,part_327,2026-09-20 20:34:06
Rubel Net point,Internet Cafe,Internet cafe,Internet cafe,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",N/A,N/A,,,"Kapasia, West Bengal 733128",733128,25.4038985,88.1401188,ChIJS1H679vZ-jkRH6jDMLKLllc,https://www.google.com/maps/place/?q=place_id:ChIJS1H679vZ-jkRH6jDMLKLllc,part_327,2026-09-20 20:34:06
Pm Online Zone,Internet Cafe,Internet cafe,Internet cafe,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",N/A,https://www.facebook.com/share/19arBPqqLN/?mibextid=wwXIfr,,,"Shibram Pur, Shibram pur, Itahar, Sibrampur, West Bengal 733128","Shibram Pur, Shibram pur",25.4735887,88.228438,ChIJ3b4Gkvwp-zkRAxU8z1l67Bs,https://www.google.com/maps/place/?q=place_id:ChIJ3b4Gkvwp-zkRAxU8z1l67Bs,part_327,2026-09-20 20:34:06
M/S CYBER SECURITY,Internet Cafe,Internet cafe,"Internet cafe, Electrical supply store",733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",+91 95630 22269,N/A,5.0,1.0,"Sampur, Jaherpur, West Bengal 733128",733128,25.469262099999998,88.2633039,ChIJ4aG39YMv-zkRnV8P2OLdhos,https://www.google.com/maps/place/?q=place_id:ChIJ4aG39YMv-zkRnV8P2OLdhos,part_327,2026-09-20 20:34:06
Digital Services Center,Internet Cafe,Internet cafe,Internet cafe,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",N/A,N/A,,,"Dealer,s Market, Bangar, Itahar, West Bengal 733128",733128,25.3380711,88.16312769999999,ChIJHaZtBsbf-jkRUz9EG6a9oYU,https://www.google.com/maps/place/?q=place_id:ChIJHaZtBsbf-jkRUz9EG6a9oYU,part_327,2026-09-20 20:34:06
SUMAN DIGITAL SEVA,Internet Cafe,Internet cafe,Internet cafe,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",N/A,N/A,5.0,1.0,"96C3+28G, Gokarna I, West Bengal 733128",733128,25.370074499999998,88.20331709999999,ChIJn65pNgAn-zkRAS3fKxACpxE,https://www.google.com/maps/place/?q=place_id:ChIJn65pNgAn-zkRAS3fKxACpxE,part_327,2026-09-20 20:34:06
Koushik Online Centre,Internet Cafe,Internet cafe,Internet cafe,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",+91 62944 95085,N/A,5.0,4.0,"Itahar, Ranipur, West Bengal 733128",733128,25.4593585,88.1972018,ChIJ3-EMEKAn-zkRG6u2BIh-UEQ,https://www.google.com/maps/place/?q=place_id:ChIJ3-EMEKAn-zkRG6u2BIh-UEQ,part_327,2026-09-20 20:34:06
Sabiha online servicE,Internet Cafe,Internet cafe,Internet cafe,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",+91 95633 30238,N/A,,,"94WR+584, Nomunia Rd, dakshinpar, itahar, West Bengal 733128",dakshinpar,25.3953782,88.14083079999999,ChIJ4cweDADZ-jkRZyrVmfSWz2A,https://www.google.com/maps/place/?q=place_id:ChIJ4cweDADZ-jkRZyrVmfSWz2A,part_327,2026-09-20 20:34:06
Ali internet Point,Internet Cafe,Computer software store,Computer software store,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",N/A,N/A,5.0,3.0,"F37P+CVF, Gulandar, West Bengal 733128",733128,25.4635696,88.0871648,ChIJqRznfQDR-jkRjVUuIQpG_Ok,https://www.google.com/maps/place/?q=place_id:ChIJqRznfQDR-jkRjVUuIQpG_Ok,part_327,2026-09-20 20:34:06
A M CYBER CAFE,Internet Cafe,Computer store,Computer store,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",+91 93824 92440,N/A,4.9,9.0,"Jamme Masjid NH12, Itahar, Chhilimpur, West Bengal 733128",733128,25.4059624,88.17060339999999,ChIJsRSrTwAn-zkRDc2x5j7Zxz8,https://www.google.com/maps/place/?q=place_id:ChIJsRSrTwAn-zkRDc2x5j7Zxz8,part_327,2026-09-20 20:34:06
Online services center,Internet Cafe,Internet cafe,Internet cafe,733128,West Bengal Circle,North Bengal Region,Dinajpur Division,"Itahar SO, Baidara BO, Baragarm BO",N/A,N/A,,,"Sahabhita, Itahar, West Bengal 733128",733128,25.447180099999997,88.21564819999999,ChIJnXRrD1wn-zkRQ8lZYPQNWus,https://www.google.com/maps/place/?q=place_id:ChIJnXRrD1wn-zkRQ8lZYPQNWus,part_327,2026-09-20 20:34:06
