business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mandal Mudi Bhandar,Departmental Store,Petrol Pump,"Petrol Pump, Indian grocery store",733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO",+91 6295 684 764,N/A,4.0,4.0,"No210 Durlovpur, West Bengal 733102",733102,25.2819115,88.7462443,ChIJu-5yDldn-zkRzEjTmpvBQX8,https://www.google.com/maps/place/?q=place_id:ChIJu-5yDldn-zkRzEjTmpvBQX8,part_327,2026-09-20 20:28:48
Reza Babu Store,Departmental Store,Supermarket,Supermarket,733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO",N/A,N/A,3.9,,"R2WQ+FXH, Botolbari - Rasakhowa Rd, Barhas, Gospur, Rudel, West Bengal 733201",Barhas,25.846189199999998,88.0399979,ChIJ-aWt4_4l5TkRoqNpDDevLiw,https://www.google.com/maps/place/?q=place_id:ChIJ-aWt4_4l5TkRoqNpDDevLiw,part_327,2026-09-20 20:28:49
Das Variety Store,Departmental Store,Grocery store,Grocery store,733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO",+91 80162 83674,N/A,,,"Das Variety, 40, Mahanta para, Kuaran, Balurghat, West Bengal 733101",Mahanta para,25.2266822,88.7410627,ChIJK6nvDw1h-zkRoZOP3ihtFso,https://www.google.com/maps/place/?q=place_id:ChIJK6nvDw1h-zkRoZOP3ihtFso,part_327,2026-09-20 20:28:49
Dolly Store,Departmental Store,Grocery store,Grocery store,733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO",+91 93396 76250,N/A,,,"St Floor, 1, Shibtali, Balurghat, West Bengal 733101",Shibtali,25.229866899999998,88.7774594,ChIJGZmOr-Bh-zkRU6oa6f6ABMw,https://www.google.com/maps/place/?q=place_id:ChIJGZmOr-Bh-zkRU6oa6f6ABMw,part_327,2026-09-20 20:28:49
Rita Store,Departmental Store,Grocery store,Grocery store,733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO",+91 78650 02093,N/A,,,"St Floor, 1, Shibtali, Balurghat, West Bengal 733101",Shibtali,25.229866599999998,88.7774596,ChIJDSpOhn9h-zkR8xPI3OGewcQ,https://www.google.com/maps/place/?q=place_id:ChIJDSpOhn9h-zkR8xPI3OGewcQ,part_327,2026-09-20 20:28:49
Madhuri Sutradhar,Departmental Store,Grocery store,Grocery store,733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO",+91 73640 93527,N/A,1.0,1.0,"1st Floor, College More, Shibtali, Balurghat, West Bengal 733101",Shibtali,25.2298643,88.77746049999999,ChIJi7CTcTNh-zkR6emvCEWld7Y,https://www.google.com/maps/place/?q=place_id:ChIJi7CTcTNh-zkR6emvCEWld7Y,part_327,2026-09-20 20:28:49
Priya Mahanta Store,Departmental Store,Grocery store,Grocery store,733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO",+91 99320 12616,N/A,,,"2 Nd Floor, near Sbi Bank, Shibtali, Balurghat, West Bengal 733101",Shibtali,25.229979099999998,88.7774464,ChIJfxuD0Jlh-zkRVWlE7usnuVg,https://www.google.com/maps/place/?q=place_id:ChIJfxuD0Jlh-zkRVWlE7usnuVg,part_327,2026-09-20 20:28:49
Ranjan Shop,Departmental Store,Grocery store,Grocery store,733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO",+91 62948 25420,N/A,,,"1st Floor, Shibtali, Balurghat, West Bengal 733101",Shibtali,25.2299337,88.7774493,ChIJcYP6uBlh-zkRlH4m8LkFuck,https://www.google.com/maps/place/?q=place_id:ChIJcYP6uBlh-zkRlH4m8LkFuck,part_327,2026-09-20 20:28:49
Agarwal Provisional Store,Departmental Store,Department store,Department store,733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO",N/A,N/A,3.9,16.0,"NH 12, opposite Muthooth finanace, Dalkhola, West Bengal 733201",733102,25.8753842,87.8429376,ChIJl1dKBptH5TkR-cE1VKOx3Nk,https://www.google.com/maps/place/?q=place_id:ChIJl1dKBptH5TkR-cE1VKOx3Nk,part_327,2026-09-20 20:28:50
Basu Bike Point,Departmental Store,Home goods store,Home goods store,733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO",N/A,N/A,3.7,7.0,"8MHQ+RF2, Baul, West Bengal 733158",733102,25.329513199999997,88.68864719999999,ChIJ5WZct0tc-zkRlZI-pK5jKUY,https://www.google.com/maps/place/?q=place_id:ChIJ5WZct0tc-zkRlZI-pK5jKUY,part_327,2026-09-20 20:28:50
