business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Royal Star Restaurant cum Bar,Bar and Pub,Bar,Bar,721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO",N/A,N/A,5.0,1.0,"7HV2+73, Kusumda, West Bengal 721140",721437,22.2932067,87.5502183,ChIJTyoAewC1AjoRKKvhg_bglNw,https://www.google.com/maps/place/?q=place_id:ChIJTyoAewC1AjoRKKvhg_bglNw,part_322,2026-09-20 20:46:13
SARNALATA RESTAURANT CUM BAR,Bar and Pub,Bar,Bar,721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO",N/A,N/A,4.3,6.0,"Kotaigarh, Kontai Jinagerya, Kasba Narayangarh, West Bengal 721437",Kotaigarh,22.2097858,87.44952359999999,ChIJd4px2Io3HToRFgfOBQ03guM,https://www.google.com/maps/place/?q=place_id:ChIJd4px2Io3HToRFgfOBQ03guM,part_322,2026-09-20 20:46:13
KAKTAS FL RESTAURANT CUM BAR,Bar and Pub,Bar,"Bar, Restaurant",721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO",N/A,N/A,3.8,110.0,"5G8P+XFP, Egra- Pataspur- Temathani- Balichak- Debra Rd, Chandkuri Batitaki, West Bengal 721467",721437,22.1674676,87.5362148,ChIJD1q1CNQ0HToRs_yOYrBO_aE,https://www.google.com/maps/place/?q=place_id:ChIJD1q1CNQ0HToRs_yOYrBO_aE,part_322,2026-09-20 20:46:13
PATRA RESTAURANT CUM BAR,Bar and Pub,Bar,Bar,721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO",+91 90023 28090,N/A,,,"Bazer, near Bar, Gokulpur, West Bengal 743331",721437,22.259165799999998,87.4671298,ChIJZ2wjug9LHToRTy-xPm2D704,https://www.google.com/maps/place/?q=place_id:ChIJZ2wjug9LHToRTy-xPm2D704,part_322,2026-09-20 20:46:13
Royal hotel,Bar and Pub,Bar,Bar,721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO",N/A,N/A,5.0,1.0,"3F4R+H97, Tapinda, West Bengal 721439",721437,22.0564111,87.4909129,ChIJZx3FaAAzHToRb5rQYmPDIcg,https://www.google.com/maps/place/?q=place_id:ChIJZx3FaAAzHToRb5rQYmPDIcg,part_322,2026-09-20 20:46:13
Bar and restaurant,Bar and Pub,Bar,Bar,721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO",N/A,N/A,,,"5M89+V48, Urdhabpur, West Bengal 721144",721437,22.1672129,87.6678257,ChIJR5JXSQDJAjoRIWlRXnEuTPI,https://www.google.com/maps/place/?q=place_id:ChIJR5JXSQDJAjoRIWlRXnEuTPI,part_322,2026-09-20 20:46:13
Maa Annapurna Family Restaurant Cum Bar,Bar and Pub,Bar,Bar,721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO",N/A,N/A,4.1,17.0,"5JG9+P23, Sabang, West Bengal 721144",721437,22.1769002,87.617611,ChIJ6yFtk_fLAjoR-8_NUY48kio,https://www.google.com/maps/place/?q=place_id:ChIJ6yFtk_fLAjoR-8_NUY48kio,part_322,2026-09-20 20:46:14
Salmara,Bar and Pub,Bar,Bar,721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO",N/A,N/A,5.0,2.0,"7HGH+2C, Pingla, West Bengal 721140",721437,22.275088,87.578621,ChIJWwaOcQC1AjoRbNoqZRjsXvQ,https://www.google.com/maps/place/?q=place_id:ChIJWwaOcQC1AjoRbNoqZRjsXvQ,part_322,2026-09-20 20:46:14
Santanu Majhi Resturant,Bar and Pub,Bar,Bar,721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO",N/A,N/A,5.0,3.0,"Nag Restaurant Cum Bar, Jamna Barobetiya Rd, Atrakhi, West Bengal 721149",721437,22.3036104,87.4888718,ChIJbxM1rBNLHToRLw63qHiP7ws,https://www.google.com/maps/place/?q=place_id:ChIJbxM1rBNLHToRLw63qHiP7ws,part_322,2026-09-20 20:46:14
HONG KONG THE DHABA( Restro cum Bar),Bar and Pub,Restaurant,Restaurant,721437,West bengal circle,South Bengal Region,Contai Division,"Bahurupa BO, Barakalankai BO, Bhadrakali BO",N/A,N/A,4.1,249.0,"78P7+MH2, Unnamed Road, Rangamatia, West Bengal 721145",Rangamatia,22.2866334,87.31390379999999,ChIJsYMf6udHHToRkGDMPY3bWpE,https://www.google.com/maps/place/?q=place_id:ChIJsYMf6udHHToRkGDMPY3bWpE,part_322,2026-09-20 20:46:14
