business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Meso Design Studio,Interior Designers,Interior designer,"Interior designer, Architecture firm",734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 99161 12712,http://mesodesignstudio.com/,5.0,,"Q96G+VVF, Nandlal Thapa Path, Salbari, Chamta, Siliguri, West Bengal 734009",Salbari,26.7620635,88.3782823,ChIJr7JBn5ZH5DkRpZ-7qCFZbcE,https://www.google.com/maps/place/?q=place_id:ChIJr7JBn5ZH5DkRpZ-7qCFZbcE,part_327,2026-09-20 20:47:18
Kalpana interior sales and service,Interior Designers,Interior designer,Interior designer,734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 79087 51607,N/A,,,"1st floor shayagun, Salbari Bazar, Siliguri, Panchanai, West Bengal 734002",734002,26.7638003,88.3852205,ChIJd69-fPxH5DkRrPCSAlvfg4M,https://www.google.com/maps/place/?q=place_id:ChIJd69-fPxH5DkRrPCSAlvfg4M,part_327,2026-09-20 20:47:18
UNITY interior Decorer,Interior Designers,Interior Decorator,Interior Decorator,734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 96799 56347,N/A,5.0,,"Salbari complex, near advocate mahend chettri, Siliguri, Panchanai, West Bengal 734002",734002,26.7637996,88.3854235,ChIJ3SgTb1RH5DkRrD2qqAl7Lfw,https://www.google.com/maps/place/?q=place_id:ChIJ3SgTb1RH5DkRrD2qqAl7Lfw,part_327,2026-09-20 20:47:18
Raghunaath Designs - Interior Designers in Siliguri,Interior Designers,Interior designer,"Interior designer, Furniture Manufacturer, Interior construction contractor, Interior Decorator, Kitchen furniture store, Modular home builder, Wallpaper store",734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 89184 17140,https://raghunaathdesigns.in/,4.8,,"Palpara, AH 02, Siliguri, West Bengal 734013",734002,26.718992699999998,88.3746214,ChIJO-7W7r9H5DkR61oIOH0qJvk,https://www.google.com/maps/place/?q=place_id:ChIJO-7W7r9H5DkR61oIOH0qJvk,part_327,2026-09-20 20:47:18
Pooja Alampuria Interiors,Interior Designers,Interior designer,"Interior designer, Architectural designer, Interior architect office, Interior Decorator",734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 99337 54773,http://poojaalampuriainteriors.com/,5.0,,"30, Bhanu Nagar Main Rd, Ward 43, Dasrath Pally, Bhanu Nagar, Siliguri, West Bengal 734001","Ward 43, Dasrath Pally, Bhanu Nagar",26.733937299999997,88.428935,ChIJAbvLbRtB5DkRbLYGdwtKuMw,https://www.google.com/maps/place/?q=place_id:ChIJAbvLbRtB5DkRbLYGdwtKuMw,part_327,2026-09-20 20:47:18
Sristi Interior,Interior Designers,Interior designer,"Interior designer, Interior Decorator",734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 98325 46646,N/A,5.0,,"Station Feeder Rd, Ward 26, Siliguri, West Bengal 734005",Ward 26,26.7035968,88.4229422,ChIJv2Z9XlZB5DkRX5JjvuKORNA,https://www.google.com/maps/place/?q=place_id:ChIJv2Z9XlZB5DkRX5JjvuKORNA,part_327,2026-09-20 20:47:18
"LUXURY FURNITURE DAGAPUR, GYAN JYOTI MORE",Interior Designers,Interior designer,Interior designer,734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,N/A,N/A,,,"Gyan Jyoti more, Sai Sadan, Building, Hawa Singh Rd, Siliguri, West Bengal 734010",Dagapur,26.7449473,88.3937086,ChIJfUx3Bz1H5DkRnATUXdlsd_s,https://www.google.com/maps/place/?q=place_id:ChIJfUx3Bz1H5DkRnATUXdlsd_s,part_327,2026-09-20 20:47:18
Balaji Furnitures,Interior Designers,Interior designer,"Interior designer, Furniture Manufacturer, Furniture store, Mattress store, Office furniture store",734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 89440 80067,N/A,4.9,,"Springdale Commercial, near Glenarys Salbari, Panchanai, West Bengal 734002",734002,26.7657614,88.383843,ChIJq3p7j3JH5DkRfBXPdthXOkk,https://www.google.com/maps/place/?q=place_id:ChIJq3p7j3JH5DkRfBXPdthXOkk,part_327,2026-09-20 20:47:18
Dr Decor,Interior Designers,Wallpaper store,"Wallpaper store, Blinds shop, Carpet store, Flooring store, Window treatment store, Wood and laminate flooring supplier",734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 97330 47675,https://drdecorsiliguri.in/,5.0,35.0,"ashighar mor, Eastern Bypass, beside uco bank, Ghogomali, Siliguri, West Bengal 734006",Ghogomali,26.717263499999998,88.4556537,ChIJv2A_SzNB5DkRDGYoiQM_jbI,https://www.google.com/maps/place/?q=place_id:ChIJv2A_SzNB5DkRDGYoiQM_jbI,part_327,2026-09-20 20:47:20
InteriorsWala,Interior Designers,Interior architect office,Interior architect office,734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 79808 72754,https://www.interiorswala.co.in/,4.0,8.0,"Mangal Pandey Sarni, Ward 38, East Vivekananda Pally, Rabindra Sarani, Siliguri, West Bengal 734001","Ward 38, East Vivekananda Pally, Rabindra Sarani",26.7155901,88.4362433,ChIJl5aWKCVB5DkR-wnTerMngt0,https://www.google.com/maps/place/?q=place_id:ChIJl5aWKCVB5DkR-wnTerMngt0,part_327,2026-09-20 20:47:20
Vardaan Furnishings,Interior Designers,Home improvement store,"Home improvement store, Carpet store, Ceiling supplier, Curtain supplier and maker, Flooring store, Mattress store, Rug store, Wallpaper store, Window treatment store, Wood and laminate flooring supplier",734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 96350 65410,https://www.vardaanfurnishing.com/,4.5,84.0,"46, Main Rd, near SBI Bank, Ward 46, Champasari, Siliguri, West Bengal 734003","Ward 46, Champasari",26.741851999999998,88.4158556,ChIJiWpYz9hA5DkRQUJYu-lPYqw,https://www.google.com/maps/place/?q=place_id:ChIJiWpYz9hA5DkRQUJYu-lPYqw,part_327,2026-09-20 20:47:20
The Art Bearers,Interior Designers,Interior designer,"Interior designer, Art studio, Neon sign shop, Photo Restoration Shop, Wood frame supplier",734002,West Bengal Circle,North Bengal Region,Darjeeling Division,Salbari SO,+91 81720 27986,https://www.facebook.com/artbearers/,5.0,45.0,"Salbari complex, Near Panchakanya Mandir, Methibari, Siliguri, West Bengal 734002",Dabgram Fullbari,26.7695336,88.3794997,ChIJEXjOJARH5DkRwYl3pEqt2no,https://www.google.com/maps/place/?q=place_id:ChIJEXjOJARH5DkRwYl3pEqt2no,part_327,2026-09-20 20:47:20
