business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Balurghat Public Bus Stand,Bus Booking Agency,Bus ticket agency,Bus ticket agency,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,4.2,,"6QGJ+GVC, Khadimpur, Balurghat, West Bengal 733101",Khadimpur,25.2263141,88.7821302,ChIJxzkG8NNh-zkRthZvrkEVi54,https://www.google.com/maps/place/?q=place_id:ChIJxzkG8NNh-zkRthZvrkEVi54,part_327,2026-09-20 20:28:24
Balurghat State Bus Stand Ticket Counter,Bus Booking Agency,Bus ticket agency,Bus ticket agency,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 62975 41654,N/A,3.8,,"6QHM+2RP, Mangalpur, Balurghat, West Bengal 733101",Mangalpur,25.227631499999998,88.7847015,ChIJgw7WtYBh-zkRm_NcU3WdiME,https://www.google.com/maps/place/?q=place_id:ChIJgw7WtYBh-zkRm_NcU3WdiME,part_327,2026-09-20 20:28:24
"NBSTC DEPOT, BALURGHAT, DD.",Bus Booking Agency,Bus charter,"Bus charter, Bus company",733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,4.0,,"Balurghat Rd, Mangalpur, Balurghat, West Bengal 733101",Mangalpur,25.227482,88.7848178,ChIJgVNOUZxh-zkRVCGr0iT5O9k,https://www.google.com/maps/place/?q=place_id:ChIJgVNOUZxh-zkRVCGr0iT5O9k,part_327,2026-09-20 20:28:24
Balurghat Bus Stand Waiting Room,Bus Booking Agency,Bus charter,Bus charter,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,4.0,,"6QGJ+FXF, Balurghat Rd, Khadimpur, Narayanpur, Balurghat, West Bengal 733101",Khadimpur,25.226326699999998,88.78232229999999,ChIJIeJ1Qaph-zkRhPAKuNi1Ygc,https://www.google.com/maps/place/?q=place_id:ChIJIeJ1Qaph-zkRhPAKuNi1Ygc,part_327,2026-09-20 20:28:24
Balurghat Taxi Stand,Bus Booking Agency,Taxi service,Taxi service,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,4.0,,"6QFJ+WGX, Kamarpara - Balurghat Rd, Khadimpur, Balurghat, West Bengal 733101",Khadimpur,25.224870799999998,88.78136549999999,ChIJA6BDgCFh-zkR3OJSJQR6FgM,https://www.google.com/maps/place/?q=place_id:ChIJA6BDgCFh-zkR3OJSJQR6FgM,part_327,2026-09-20 20:28:24
PRIYA DIYA BUS TICKET BOOKING,Bus Booking Agency,Bus ticket agency,Bus ticket agency,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 95479 92079,N/A,3.4,,"J8QG+Q6C, SH 10A, Uttar Chairailpara, Kaliyaganj, West Bengal 733129",Uttar Chairailpara,25.6394366,88.3255217,ChIJ4_oPxjgz-zkRzhmuMKRyz94,https://www.google.com/maps/place/?q=place_id:ChIJ4_oPxjgz-zkRzhmuMKRyz94,part_327,2026-09-20 20:28:24
Balurghat bus stand,Bus Booking Agency,Bus stop,Bus stop,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 96796 08618,N/A,4.0,,"Balurghat, West Bengal 733101",733101,25.2316589,88.78293959999999,ChIJsdcwqixg-zkR2lLVmDwFe3Q,https://www.google.com/maps/place/?q=place_id:ChIJsdcwqixg-zkR2lLVmDwFe3Q,part_327,2026-09-20 20:28:24
Kalyani Talkies,Bus Booking Agency,Movie theater,"Movie theater, Entertainment agency",733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",+91 98303 48421,N/A,3.6,,"Chakbhabani, Balurghat, West Bengal 733101",Chakbhabani,25.2256452,88.77538179999999,ChIJUfrmKMxh-zkRX4WJSIaHo8I,https://www.google.com/maps/place/?q=place_id:ChIJUfrmKMxh-zkRX4WJSIaHo8I,part_327,2026-09-20 20:28:24
Balurghat bus stand,Bus Booking Agency,Bus stop,Bus stop,733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,3.9,,"Balurghat, West Bengal 733101",733101,25.227704,88.78433299999999,ChIJ4WpIXdRh-zkRsgH1c25XxTc,https://www.google.com/maps/place/?q=place_id:ChIJ4WpIXdRh-zkRsgH1c25XxTc,part_327,2026-09-20 20:28:24
"RTO, Motor Vehicle Department, Dakshin Dinajpur",Bus Booking Agency,Department of motor vehicles,"Department of motor vehicles, Government office, State government office",733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO",N/A,N/A,4.1,,"6QHF+4PW, Chakbhabani, Balurghat, West Bengal 733101",Chakbhabani,25.2278631,88.7743191,ChIJ4cEXZMxh-zkR9b4J245_gRI,https://www.google.com/maps/place/?q=place_id:ChIJ4cEXZMxh-zkR9b4J245_gRI,part_327,2026-09-20 20:28:24
