business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BAPI FLOWER DECORATION,Flower Decorator,Flower designer,"Flower designer, Florist, Flower delivery",732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 87593 04438,N/A,5.0,,"Bazarpara, Sahapur, Malda, West Bengal 732142",Bazarpara,24.9971595,88.1553675,ChIJdeGzSyb9-jkRMbFBzYvA5pE,https://www.google.com/maps/place/?q=place_id:ChIJdeGzSyb9-jkRMbFBzYvA5pE,part_326,2026-09-20 20:38:51
Maa Tara Flower Decorator,Flower Decorator,Flower designer,Flower designer,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,N/A,5.0,,"244X+M97 Durgabari more, Kutubpur Nayagram, Kutubpur, Malda, West Bengal 732101",Kutubpur Nayagram,25.0066432,88.1484074,ChIJPa5wfAD9-jkRQdLCq5Rx0hM,https://www.google.com/maps/place/?q=place_id:ChIJPa5wfAD9-jkRQdLCq5Rx0hM,part_326,2026-09-20 20:38:51
AMIT FLOWER DECORATION,Flower Decorator,Flower designer,Flower designer,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 93825 40205,https://call.whatsapp.com/video/cMtOqfFgrIwkYcVQjm227o,5.0,,"Bridgemore, Sahapur, Malda, West Bengal 732142",Bridgemore,24.9970014,88.1543576,ChIJd4pSyeX9-jkRcW8Ah0-GIO4,https://www.google.com/maps/place/?q=place_id:ChIJd4pSyeX9-jkRcW8Ah0-GIO4,part_326,2026-09-20 20:38:51
Sarkar flower decoration and event management,Flower Decorator,Flower market,Flower market,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 91346 00835,N/A,5.0,,"Sarkar flower decoration and event management bulbuli more, School Para, Mangalbari, Malda, West Bengal 732142",School Para,25.017843199999998,88.1464733,ChIJX5tl71b9-jkRGGgUOq7Q0SE,https://www.google.com/maps/place/?q=place_id:ChIJX5tl71b9-jkRGGgUOq7Q0SE,part_326,2026-09-20 20:38:51
C2 Flower Decoration,Flower Decorator,Wedding planner,Wedding planner,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,N/A,,,"246R+8CQ, Sukanta More, Malda, West Bengal 732101",Sukanta More,25.0108408,88.14109669999999,ChIJNdpmLwD9-jkRApdbGBb95TY,https://www.google.com/maps/place/?q=place_id:ChIJNdpmLwD9-jkRApdbGBb95TY,part_326,2026-09-20 20:38:51
Home decoration,Flower Decorator,Flower designer,Flower designer,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,https://www.facebook.com/share/1BzBCegN53/,,,"Hanuman Mandir Rd, South Baluchar, Malda, West Bengal 732101",South Baluchar,24.9971914,88.1498613,ChIJL9gMDxH9-jkRCzuoh5JWnrQ,https://www.google.com/maps/place/?q=place_id:ChIJL9gMDxH9-jkRCzuoh5JWnrQ,part_326,2026-09-20 20:38:51
Papri flower,Flower Decorator,Flower designer,Flower designer,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,https://www.facebook.com/pritam.sakar?mibextid=ZbWKwL,,,"Mk,road, fullbari bazar, Malda, West Bengal 732101",fullbari bazar,25.009914199999997,88.1463242,ChIJhZy_M7D9-jkRmSNgWDV9BYg,https://www.google.com/maps/place/?q=place_id:ChIJhZy_M7D9-jkRmSNgWDV9BYg,part_326,2026-09-20 20:38:51
Pintu flower decoration,Flower Decorator,Gift shop,Gift shop,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",N/A,N/A,,,"Near Gour Bhawan, TANTIPARA Road, Mangalbari, Malda, West Bengal 732142",Tantipara,25.010477299999998,88.1539509,ChIJ__ElcHv9-jkRYHxfb1sRJ70,https://www.google.com/maps/place/?q=place_id:ChIJ__ElcHv9-jkRYHxfb1sRJ70,part_326,2026-09-20 20:38:51
SAHA FLOWER HOUSE,Flower Decorator,General store,"General store, Flower market",732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 98518 60885,N/A,5.0,,"Atul Market, Malda, West Bengal 732101",732101,24.997712699999997,88.1449561,ChIJYdXKZNz9-jkRAjkq9LX-IpI,https://www.google.com/maps/place/?q=place_id:ChIJYdXKZNz9-jkRAjkq9LX-IpI,part_326,2026-09-20 20:38:51
Sonu flower decoration Malda,Flower Decorator,Store,Store,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 95632 04121,N/A,4.9,,"South Baluchar, Malda, West Bengal 732101",South Baluchar,24.9974521,88.1500559,ChIJzQ4aDwD9-jkRVWmuVtmcaRw,https://www.google.com/maps/place/?q=place_id:ChIJzQ4aDwD9-jkRVWmuVtmcaRw,part_326,2026-09-20 20:38:51
Prabir Flower Decorations,Flower Decorator,Flower designer,Flower designer,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 98006 19719,N/A,,,"Pabitra Sen gallery, Atul Market, Malda, West Bengal 732101",732101,24.9976919,88.1445025,ChIJU5DLku7_-jkRyQ5rJssxf6s,https://www.google.com/maps/place/?q=place_id:ChIJU5DLku7_-jkRyQ5rJssxf6s,part_326,2026-09-20 20:38:51
Disney Craft,Flower Decorator,Gift shop,Gift shop,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 70014 35690,http://www.disneycraft.com/,5.0,,"246V+727, M.k Road bansbari, Manaskamana Rd, Malda, West Bengal 732101",732101,25.010614699999998,88.1426534,ChIJpzvBwF39-jkR52YrJ7u_BSk,https://www.google.com/maps/place/?q=place_id:ChIJpzvBwF39-jkR52YrJ7u_BSk,part_326,2026-09-20 20:38:51
Kalyani Flowers,Flower Decorator,Florist,Florist,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 91344 52501,N/A,4.0,,"Thana Rd, Gazole, West Bengal 732124",732101,25.2148892,88.19306399999999,ChIJzfCq8cQf-zkRU_qWy88lHSE,https://www.google.com/maps/place/?q=place_id:ChIJzfCq8cQf-zkRU_qWy88lHSE,part_326,2026-09-20 20:38:51
Gift & Hampers Malda by Prini_Ka_Pitara,Flower Decorator,Gift basket store,Gift basket store,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 76797 88621,https://www.instagram.com/prini_ka_pitara?igsh=amZyM21icmt1a3dy,5.0,,"Shree krishna apartment, Jubilee Rd, North Baluchar, Malda, West Bengal 732101",North Baluchar,25.0018505,88.1502589,ChIJcUxZmub9-jkRp3zsNkJuEn8,https://www.google.com/maps/place/?q=place_id:ChIJcUxZmub9-jkRp3zsNkJuEn8,part_326,2026-09-20 20:38:51
Adhishree Flower's And Decoration,Flower Decorator,Event planner,Event planner,732101,West Bengal Circle,North Bengal Region,Malda Division,"Malda HO, Baluchar SO, Bansbari SO",+91 95088 66820,https://www.instagram.com/adhishree_flowers_and_events?igsh=MTBkeG5kbTF5MDlqaQ==&utm_source=ig_contact_invite,5.0,,"By Pass, Durga Mandir Road, Sarkanda, Bhatdiha, Godda, Jharkhand 814133",Sarkanda,24.8099207,87.2129016,ChIJ02yrm8v18DkRyx5LarTIhGQ,https://www.google.com/maps/place/?q=place_id:ChIJ02yrm8v18DkRyx5LarTIhGQ,part_326,2026-09-20 20:38:52
