business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gouri Medical and Cosmetic Hall,24 Hour Pharmacy,Pharmacy,Pharmacy,734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",+91 98000 74353,N/A,5.0,,"Fatak Line, Rangpo, Sikkim 737132",Fatak Line,27.1767009,88.528283,ChIJfzqPq52h5jkRvnZEQvJWn5k,https://www.google.com/maps/place/?q=place_id:ChIJfzqPq52h5jkRvnZEQvJWn5k,part_328,2026-09-20 20:31:00
SAMAYRA MEDICAL,24 Hour Pharmacy,Pharmacy,Pharmacy,734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",N/A,N/A,,,"Upper Bazaar, Rangpo, Sikkim 737132",Upper Bazaar,27.174985799999998,88.531331,ChIJuUo2NJqg5jkRUlF_ogdoQpA,https://www.google.com/maps/place/?q=place_id:ChIJuUo2NJqg5jkRUlF_ogdoQpA,part_328,2026-09-20 20:31:00
LIFE MEDICINES,24 Hour Pharmacy,Pharmacy,Pharmacy,734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",N/A,N/A,,,"Baldev Singh Colony, Sumerpur, Rajasthan 306902",Baldev Singh Colony,25.146747899999998,73.08781789999999,ChIJx9JYs6qUQjkRD7EeKW0ADDg,https://www.google.com/maps/place/?q=place_id:ChIJx9JYs6qUQjkRD7EeKW0ADDg,part_328,2026-09-20 20:31:00
Pharmacy - SMIT,24 Hour Pharmacy,Pharmacy,Pharmacy,734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",N/A,N/A,3.7,,"5GJ2+X7R, Girls' Hostel Driveway, Majitar, Sikkim 737136",734213,27.1824887,88.5006351,ChIJ_3YFhmyg5jkRTAXhX9PDG90,https://www.google.com/maps/place/?q=place_id:ChIJ_3YFhmyg5jkRTAXhX9PDG90,part_328,2026-09-20 20:31:00
Ruby Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",N/A,N/A,3.4,,"107, Anandapur Main Rd, Kasba Industrial Estate, Anandapur, East Kolkata Twp, Kolkata, West Bengal 700107","Kasba Industrial Estate, Anandapur, East Kolkata Township",22.5132862,88.4038788,ChIJfTjDUf5zAjoR01eSamHePEo,https://www.google.com/maps/place/?q=place_id:ChIJfTjDUf5zAjoR01eSamHePEo,part_328,2026-09-20 20:31:00
Mallige Pharmacy,24 Hour Pharmacy,Pharmacy,Pharmacy,734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",+91 80 2226 1135,http://www.mallige.ac.in/,3.1,,"31/32, Crescent Rd, Nehru Nagar, HBR Layout, Bengaluru, Karnataka 560001","Nehru Nagar, HBR Layout",12.985209,77.5803371,ChIJmZojARUWrjsRtZ3zZ-uoOAU,https://www.google.com/maps/place/?q=place_id:ChIJmZojARUWrjsRtZ3zZ-uoOAU,part_328,2026-09-20 20:31:00
Apollo Pharmacy Rathtala,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store, Sports nutrition store, Surgical supply store, Vitamin & supplements store",734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",+91 79 4284 5692,https://www.apollopharmacy.in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-apollo-pharmacy,3.5,,"Basundhara Apartments, 3, Feeder Rd, Manasbag, Rathtala, Adarsha Pally, Belghoria, Kolkata, West Bengal 700056","Manasbag, Rathtala, Adarsha Pally, Belghoria",22.6634061,88.3774979,ChIJz6vzdEyc-DkRp09cecRAF-0,https://www.google.com/maps/place/?q=place_id:ChIJz6vzdEyc-DkRp09cecRAF-0,part_328,2026-09-20 20:31:00
Maharaja Medicals,24 Hour Pharmacy,Pharmacy,"Pharmacy, Beauty supply store, FMCG Goods Wholesaler, Health and beauty shop, Health consultant, Hospital equipment and supplies, Medical equipment supplier, Surgical Products Wholesaler, Veterinary pharmacy",734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",+91 93849 99540,https://www.maharajamedicalspollachi.com/,4.7,164.0,"8, Police Station Rd, Puliampatti, Pollachi, Tamil Nadu 642001",Puliampatti,10.6585258,77.00836439999999,ChIJ_6vDutU5qDsRcS-RaUCZUn8,https://www.google.com/maps/place/?q=place_id:ChIJ_6vDutU5qDsRcS-RaUCZUn8,part_328,2026-09-20 20:31:00
Seema Medical Store,24 Hour Pharmacy,Pharmacy,Pharmacy,734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",+91 84107 47250,https://seema-medical-store.ueniweb.com/,4.7,38.0,"near Fish Market, Jhalu, Uttar Pradesh 246728",734213,29.337184299999997,78.22515349999999,ChIJrQcNJsDrCzkRfAEydGYbMd0,https://www.google.com/maps/place/?q=place_id:ChIJrQcNJsDrCzkRfAEydGYbMd0,part_328,2026-09-20 20:31:00
Parmar Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",+91 98296 11860,N/A,5.0,1.0,"Parmar Medical, opp. Govt Hospital, Bali, Rajasthan 306701",734213,25.1932469,73.2907613,ChIJ6Z392xKaQjkRCusx-sn9CRA,https://www.google.com/maps/place/?q=place_id:ChIJ6Z392xKaQjkRCusx-sn9CRA,part_328,2026-09-20 20:31:00
Shankar Medical Store,24 Hour Pharmacy,Pharmacy,Pharmacy,734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",+91 755 427 8192,N/A,4.3,44.0,"E3/48 Shop No. 6, Next To Archies Gallery, 10 No. Stop, Arera Colony, Bhopal, Madhya Pradesh 462016","10 No. Stop, E-3, Arera Colony",23.2147951,77.43631239999999,ChIJEZWkBU5CfDkR6SEg0ATbo9Y,https://www.google.com/maps/place/?q=place_id:ChIJEZWkBU5CfDkR6SEg0ATbo9Y,part_328,2026-09-20 20:31:00
Health Forever Generic Medicine Store,24 Hour Pharmacy,Pharmacy,Pharmacy,734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO",+91 88050 54004,N/A,5.0,15.0,"Shop No 347/A2, Opposite Sanket Chinese Corner Beside Gavkari Dhabba,Karjat-Neral Road Diksal, Bhivpuri Road, Karjat, Maharashtra 410201",734213,18.969607399999997,73.3290064,ChIJmcxvmOn75zsR_v-EMzaZAyk,https://www.google.com/maps/place/?q=place_id:ChIJmcxvmOn75zsR_v-EMzaZAyk,part_328,2026-09-20 20:31:00
