business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tax Biz Legal,Financial and Legal Services,Legal services,Legal services,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 94038 92279,https://taxbizlegal.com/,4.8,38.0,"Sai Shivalik Complex, 22/1, SH 13, Mollaber Village, Bangihati, Jagannathpur, West Bengal 712250",Mollaber Village,22.7247243,88.3082671,ChIJn5M0Z6aF-DkRml7jLcN-3Do,https://www.google.com/maps/place/?q=place_id:ChIJn5M0Z6aF-DkRml7jLcN-3Do,part_326,2026-09-20 20:24:28
Fast Legal,Financial and Legal Services,Law firm,"Law firm, Civil engineering company, Criminal justice attorney, Legal services, Public defender's office, Tax attorney",731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 73844 53683,N/A,5.0,3.0,"P.O +, Last, Thana Rd, Vill:, Andal, West Bengal 713321",Vill:,23.583292099999998,87.1852138,ChIJO5gebkET9zkRdTDx0X7FODw,https://www.google.com/maps/place/?q=place_id:ChIJO5gebkET9zkRdTDx0X7FODw,part_326,2026-09-20 20:24:28
দলিল ও পর্চা সহায়ক,Financial and Legal Services,Land registry office,Land registry office,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 89721 09572,N/A,,,"khujutipara-basapara, road, Khujutipara, Nanoor, West Bengal 731215",731215,23.6070301,87.8917613,ChIJucMnZYq5-TkRwU58S0EAUwQ,https://www.google.com/maps/place/?q=place_id:ChIJucMnZYq5-TkRwU58S0EAUwQ,part_326,2026-09-20 20:24:28
Sibne,Financial and Legal Services,Tax consultant,"Tax consultant, Business management consultant",731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 89679 14009,https://sibne.com/,4.9,,"1st Floor, Gadadhar Building, Parulia Bazar, Parulia, West Bengal 713513",731215,23.445025299999998,88.3111519,ChIJJa0qxegD-TkRchgBjwYcbYQ,https://www.google.com/maps/place/?q=place_id:ChIJJa0qxegD-TkRchgBjwYcbYQ,part_326,2026-09-20 20:24:28
FRIENDSTAX SERVICES PVT. LTD.,Financial and Legal Services,Legal services,"Legal services, Tax consultant",731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 85150 52220,http://www.friendstax.com/,5.0,,"Officer's Colony, near Just Baked, Perbirhata, Bardhaman, West Bengal 713103",Perbirhata,23.2309075,87.8673055,ChIJY7t2k9NJ-DkRp0ZfTyJL57A,https://www.google.com/maps/place/?q=place_id:ChIJY7t2k9NJ-DkRp0ZfTyJL57A,part_326,2026-09-20 20:24:28
Legal Consulting Services LcseIndia- Best Legal Consultant In West Bengal,Financial and Legal Services,Legal services,Legal services,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 70443 73869,http://lcseindia.in/,5.0,,"Chanditalapark, Buribattala, Subhasgram, Rajpur Sonarpur, West Bengal 700147","Chanditalapark, Buribattala, Subhasgram",22.4239368,88.42934319999999,ChIJ1c2IKqFtAjoRc9hWzAZHrl8,https://www.google.com/maps/place/?q=place_id:ChIJ1c2IKqFtAjoRc9hWzAZHrl8,part_326,2026-09-20 20:24:28
"GST INCOME TAX FILING @ TAX N LAW CARE CONTAI , C/O - ADVOCATE BISWAJIT MAIKAP",Financial and Legal Services,Consultant,Consultant,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",N/A,N/A,5.0,,"near THANAPUKUR JAGANNATH MANDIR, Damodar Pur, Kanthi, Contai, West Bengal 721401","Damodar Pur, Kanthi",21.7813439,87.7457507,ChIJB55lhTonAzoRxxLflftmnXw,https://www.google.com/maps/place/?q=place_id:ChIJB55lhTonAzoRxxLflftmnXw,part_326,2026-09-20 20:24:28
Lawsolve & Associate,Financial and Legal Services,Legal services,Legal services,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 98009 97738,http://naseeradvocate.in/,5.0,1.0,"5QGF+J3C, Nischintapur, Rampurhat, West Bengal 731224",Nischintapur,24.1770458,87.7730608,ChIJ81c7dsEf-jkReio-FWOuMZs,https://www.google.com/maps/place/?q=place_id:ChIJ81c7dsEf-jkReio-FWOuMZs,part_326,2026-09-20 20:24:29
Legal Services,Financial and Legal Services,Lawyers association,Lawyers association,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 97351 06005,N/A,,,"to, Natidanga road, via, Berhampure, Karimpur, Dogachi, West Bengal 741152","via, Berhampure",24.010166299999998,88.5609937,ChIJ7Vk2Jthb-TkRjHgNfeco6lI,https://www.google.com/maps/place/?q=place_id:ChIJ7Vk2Jthb-TkRjHgNfeco6lI,part_326,2026-09-20 20:24:29
MyLawyar Solutions Private Limited,Financial and Legal Services,Legal services,Legal services,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 80011 17000,N/A,4.9,14.0,"1 No Kolkatia, Darjee Lane, Gorabazar, Mahendra Mukherjee Rd, Nimtala, Berhampore, Gora Bazar, West Bengal 742101",Nimtala,24.0879579,88.24611,ChIJp9isxQF9-TkRPPj8aPdWp0U,https://www.google.com/maps/place/?q=place_id:ChIJp9isxQF9-TkRPPj8aPdWp0U,part_326,2026-09-20 20:24:29
Advocate Pradyut Bag & Associates,Financial and Legal Services,Legal services,Legal services,731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO",+91 89061 49114,N/A,5.0,14.0,"Court Compound, Grand Trunk Rd, Ramkrishana Pally, Bardhaman, West Bengal 713101",Ramkrishana Pally,23.2429424,87.86970989999999,ChIJOZfIt9Y3-DkR9ENpiWMbwwA,https://www.google.com/maps/place/?q=place_id:ChIJOZfIt9Y3-DkR9ENpiWMbwwA,part_326,2026-09-20 20:24:29
