business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Basantia Rashmela Ground,Exhibitions,Fairground,Fairground,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,4.5,,"QRW6+6X6, Basantia - Chalti Rd, Basantia, Saraswatipur, West Bengal 721442",721450,21.793069199999998,87.8123404,ChIJjf8muQEhAzoRhjDhDH5Wj5o,https://www.google.com/maps/place/?q=place_id:ChIJjf8muQEhAzoRhjDhDH5Wj5o,part_323,2026-09-20 20:18:35
CPS Silver Jubilee Hall,Exhibitions,Auditorium,Auditorium,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,https://contaipublicschool.com/,5.0,,"QQ67+6C7, Hugli, West Bengal 721450",721450,21.760607,87.763333,ChIJ6ahOUQAnAzoRo2Yr-Zpu-uE,https://www.google.com/maps/place/?q=place_id:ChIJ6ahOUQAnAzoRo2Yr-Zpu-uE,part_323,2026-09-20 20:18:35
Silent Zone,Exhibitions,Tourist attraction,Tourist attraction,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,3.7,,"QQFC+87P, Bhagabanpur, Monoharchak, Contai, Chuaphali, West Bengal 721450","Bhagabanpur, Monoharchak",21.7733496,87.77069569999999,ChIJ4w9VU6InAzoR1zLz9QVKaGg,https://www.google.com/maps/place/?q=place_id:ChIJ4w9VU6InAzoR1zLz9QVKaGg,part_323,2026-09-20 20:18:35
Prabir Anusthan Bhaban,Exhibitions,Festival hall,Festival hall,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 99335 93395,N/A,4.0,,"QPPX+7H3, NH 116B, Kanthi, Contai, West Bengal 721401",Kanthi,21.7856472,87.7489137,ChIJg1725hUnAzoRrol82XGrSts,https://www.google.com/maps/place/?q=place_id:ChIJg1725hUnAzoRrol82XGrSts,part_323,2026-09-20 20:18:35
Cyclone Warning Centre,Exhibitions,Community center,Community center,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,4.4,,"PQ59+9HH, Baguran Jalpai Rd, Baguran Jalpai, West Bengal 721450",721450,21.7084369,87.7689858,ChIJr0InhTUlAzoRKRtgy9nx0y0,https://www.google.com/maps/place/?q=place_id:ChIJr0InhTUlAzoRKRtgy9nx0y0,part_323,2026-09-20 20:18:35
Chenchuraput group house,Exhibitions,Community center,Community center,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,,,"PQ95+XXW, Chenchuraput, Dakshin Gobinda Pur, West Bengal 721402",721450,21.7199951,87.75995499999999,ChIJjSr7LwAlAzoRC7GlHiNCBis,https://www.google.com/maps/place/?q=place_id:ChIJjSr7LwAlAzoRC7GlHiNCBis,part_323,2026-09-20 20:18:35
A,Exhibitions,Arena,Arena,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 99327 63909,N/A,3.3,,"mess for technical students, Khargachandi, Dakshin Darua, Baghaghol, West Bengal 721450",Khargachandi,21.7806853,87.779307,ChIJ05rEITIhAzoR4UvB7PXRV1o,https://www.google.com/maps/place/?q=place_id:ChIJ05rEITIhAzoR4UvB7PXRV1o,part_323,2026-09-20 20:18:35
আড্ডাবাজদের ভাড়ী,Exhibitions,Conference center,Conference center,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,5.0,,"purba, purba maishagote, maishagote, Junput, Kadua Mukundapur, West Bengal 721450",maishagote,21.7599441,87.82288679999999,ChIJJYGDHQAhAzoRCiyfSnIoxVo,https://www.google.com/maps/place/?q=place_id:ChIJJYGDHQAhAzoRCiyfSnIoxVo,part_323,2026-09-20 20:18:35
"Das Complex, পূর্ণিমা মহল (উৎসব হল)",Exhibitions,Festival hall,Festival hall,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",N/A,N/A,,,"QRWG+22J, Petuaghat Rd, Kajibasan, Tengarberya, West Bengal 721442",721450,21.795093899999998,87.8250312,ChIJRSz3XwAhAzoRbEa8U1IR81Q,https://www.google.com/maps/place/?q=place_id:ChIJRSz3XwAhAzoRbEa8U1IR81Q,part_323,2026-09-20 20:18:35
B.M. Fine Art & Culture,Exhibitions,Association / Organization,Association / Organization,721450,West bengal circle,South Bengal Region,Contai Division,"Barabantalia BO, Dakshin Dauki BO, Deshdattabarh BO",+91 95475 50518,N/A,,,"Purba, Kumarpur, Contai, West Bengal 721401","Kumarpur, Kanthi",21.7752519,87.7461917,ChIJAQAAEPImAzoRPpHyige8AwE,https://www.google.com/maps/place/?q=place_id:ChIJAQAAEPImAzoRPpHyige8AwE,part_323,2026-09-20 20:18:35
