business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SCT Computer Training Centre Badalpur,Computer Training Institute,Training center,Training center,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 62948 98184,N/A,5.0,15,"Shaiba Jewellers, Badalpur Stand 2nd Floor Of, Ramnagar I, West Bengal 721423",721423,21.7085908,87.6078539,ChIJqRw3OWctAzoR2MOFdb4iGT0,https://www.google.com/maps/place/?q=place_id:ChIJqRw3OWctAzoR2MOFdb4iGT0,part_322,2026-09-20 20:35:16
Pichhaboni Webel Computer Training Centre,Computer Training Institute,Education center,Education center,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 99333 29350,http://www.cclms.co.in/,4.8,116,"Pichhaboni Uttar Sitala, West Bengal 721423",721423,21.719614999999997,87.6636316,ChIJ-0mNZ6IvAzoR7Zvi0N1Pzfc,https://www.google.com/maps/place/?q=place_id:ChIJ-0mNZ6IvAzoR7Zvi0N1Pzfc,part_322,2026-09-20 20:35:16
JYCSM(COMPUTER TRAINING CENTRE),Computer Training Institute,Computer service,Computer service,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 89722 20207,N/A,5.0,2,"Pichaboni to Maityhat, Vill, Tatkapur, West Bengal 721423",Vill,21.724581999999998,87.61834329999999,ChIJpcNJP10tAzoR17bi5IL5bBQ,https://www.google.com/maps/place/?q=place_id:ChIJpcNJP10tAzoR17bi5IL5bBQ,part_322,2026-09-20 20:35:16
ITDB Computer Training Centre Kanupayrahat,Computer Training Institute,Training center,Training center,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 83486 66371,N/A,5.0,9,"Chourongimore, Kanupayrahat, Tatkapur, Contai, West Bengal 721423",Kanupayrahat,21.7240766,87.61905469999999,ChIJ51NQWykvAzoRsQ20QtJvHg8,https://www.google.com/maps/place/?q=place_id:ChIJ51NQWykvAzoRsQ20QtJvHg8,part_322,2026-09-20 20:35:16
COMPUTER SCHOOL ACADEMY & I. T TRAINING,Computer Training Institute,Education center,Education center,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",N/A,N/A,4.6,8,"sahoo jewellry house second floor, Digha - Contai Rd, Ramnagar I, West Bengal 721441",Ramnagar,21.678229299999998,87.5645093,ChIJm1HOALQtAzoRsrm7a1LoCyM,https://www.google.com/maps/place/?q=place_id:ChIJm1HOALQtAzoRsrm7a1LoCyM,part_322,2026-09-20 20:35:16
E TECH COMPUTER TRAINING CENTRE,Computer Training Institute,Computer training school,Computer training school,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 89725 05535,N/A,4.5,2,"Fatepur - Gobra Rd, Fatepur, West Bengal 721441",721423,21.6594838,87.5400645,ChIJIzaEVXwtAzoRQqjfgtJIi5Y,https://www.google.com/maps/place/?q=place_id:ChIJIzaEVXwtAzoRQqjfgtJIi5Y,part_322,2026-09-20 20:35:16
Ramnagar Youth Computer Training Centre,Computer Training Institute,Educational institution,Educational institution,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 70765 54519,N/A,4.7,83,"Ramnagar Station Rd, Ramnagar, Talga Chhari, West Bengal 721441",Ramnagar,21.6795215,87.558514,ChIJXQIBShktAzoRe7sekj6ifGY,https://www.google.com/maps/place/?q=place_id:ChIJXQIBShktAzoRe7sekj6ifGY,part_322,2026-09-20 20:35:16
Tally Academy,Computer Training Institute,Computer training school,Computer training school,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 99329 90182,https://tallyacademyramnagar.in/,4.8,126,"opposite of Punjab Cloth Stores, near Ramnagar Bus Stand, Ramnagar, Saiyadpur, Ramnagar I, West Bengal 721441",Ramnagar,21.6800888,87.5627545,ChIJYU6L0RAtAzoRxqo4F4WNH0E,https://www.google.com/maps/place/?q=place_id:ChIJYU6L0RAtAzoRxqo4F4WNH0E,part_322,2026-09-20 20:35:16
"Jatiya Yuva Computer Shaksharta Mission, Pichhaboni",Computer Training Institute,Education center,Education center,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",+91 76792 72967,N/A,5.0,55,"Pichhaboni, Nimdasbar, West Bengal 721423",721423,21.72328,87.6640434,ChIJ5XZ7pJIvAzoR4q7kFv9YdBU,https://www.google.com/maps/place/?q=place_id:ChIJ5XZ7pJIvAzoR4q7kFv9YdBU,part_322,2026-09-20 20:35:16
"National youth computer training Academy, Shree krishna Internet &Computer training center",Computer Training Institute,Education center,Education center,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",N/A,N/A,5.0,1,"PHH2+54M, Depar Shasanbar, West Bengal 721453",721423,21.7274106,87.5503904,ChIJf62oEiItAzoRoPn4xEe-DhY,https://www.google.com/maps/place/?q=place_id:ChIJf62oEiItAzoRoPn4xEe-DhY,part_322,2026-09-20 20:35:16
Depal Unique Computer Training Centre,Computer Training Institute,Education center,Education center,721423,West Bengal Circle,South Bengal Region,Contai Division,"Balisai SO, Bodhra BO, Dakhin Badalpur BO",N/A,N/A,5.0,1,"PHH2+78C, Depal, Depar Shasanbar, West Bengal 721453",Depal,21.7281792,87.5507646,ChIJpVfIPYMtAzoRJIxfmjD1Wx4,https://www.google.com/maps/place/?q=place_id:ChIJpVfIPYMtAzoRJIxfmjD1Wx4,part_322,2026-09-20 20:35:16
