business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nur Electrical,Electrical Goods and Lighting Store,Electronics store,Electronics store,733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO",+91 96356 22855,N/A,5.0,,"Road, Kushkari, West Bengal 733121",Road,25.3773527,88.33204409999999,ChIJFZJ2CUo7-zkRZuLMR7Tya28,https://www.google.com/maps/place/?q=place_id:ChIJFZJ2CUo7-zkRZuLMR7Tya28,part_327,2026-09-20 20:30:19
R L ELECTRICS,Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Electrical equipment supplier, Electronics wholesaler, Electrician, Electronics Accessories Wholesaler, Solar energy equipment supplier",733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO",+91 89728 68777,https://www.instagram.com/rlelectrics?igsh=dGo4ODV2OHE5Z2E3,4.9,,"Kadighat, beside Ramlal Enterprise, Maharajpur, Gangarampur, West Bengal 733124",733121,25.4088729,88.4998165,ChIJOf5JJYpH-zkRiY3s_9kZoU8,https://www.google.com/maps/place/?q=place_id:ChIJOf5JJYpH-zkRiY3s_9kZoU8,part_327,2026-09-20 20:30:19
Kishor electronic,Electrical Goods and Lighting Store,Electrical repair shop,Electrical repair shop,733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO",N/A,N/A,5.0,,"Bhakti pur, Gangarampur, Bhaktipur, West Bengal 733121",Bhakti pur,25.399486699999997,88.45186199999999,ChIJF8Iec1M5-zkRLcwTlOssbpc,https://www.google.com/maps/place/?q=place_id:ChIJF8Iec1M5-zkRLcwTlOssbpc,part_327,2026-09-20 20:30:19
Sursathi Electronics,Electrical Goods and Lighting Store,Electronics store,Electronics store,733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO",N/A,N/A,4.3,,"Buniadpur, West Bengal 733121",733121,25.390002199999998,88.3961657,ChIJZ0tS5v87-zkRvBE9G-6gtRU,https://www.google.com/maps/place/?q=place_id:ChIJZ0tS5v87-zkRvBE9G-6gtRU,part_327,2026-09-20 20:30:19
Biswa Bharati Electronics & Furniture House,Electrical Goods and Lighting Store,Electronics store,Electronics store,733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO",N/A,N/A,4.7,,"99QW+V52, Buniadpur, West Bengal 733121",733121,25.389564999999997,88.39534839999999,ChIJMQfLVQA7-zkRP3szl8ONxJ0,https://www.google.com/maps/place/?q=place_id:ChIJMQfLVQA7-zkRP3szl8ONxJ0,part_327,2026-09-20 20:30:19
RANA ELECTRIC,Electrical Goods and Lighting Store,Electrical Goods and Lighting Store,Electrical Goods and Lighting Store,733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO",+91 90932 55824,N/A,4.0,,"Nandangaon, West Bengal 733143",733121,25.511637699999998,88.23645289999999,ChIJk3K2Cigp-zkRUvu_CoaeU44,https://www.google.com/maps/place/?q=place_id:ChIJk3K2Cigp-zkRUvu_CoaeU44,part_327,2026-09-20 20:30:19
বন্ধু সার্ভিসেস- ইলেকট্রিক্যাল এবং জলের লাইন,Electrical Goods and Lighting Store,Electrical installation service,"Electrical installation service, Plumbing supply store, Water Tank Cleaners",733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO",+91 81163 72041,N/A,5.0,1.0,"Kaldighi, Gangarampur, Raghunathbati, West Bengal 733124",Kaldighi,25.3984861,88.5481661,ChIJi2dqTgBH-zkRUYmsQ1rcUZM,https://www.google.com/maps/place/?q=place_id:ChIJi2dqTgBH-zkRUYmsQ1rcUZM,part_327,2026-09-20 20:30:20
NISHI ADVANCE TECHNOLOGY,Electrical Goods and Lighting Store,Electrician,"Electrician, Air conditioning repair service, Television repair service",733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO",+91 97333 88065,N/A,5.0,1.0,"THANGAPARA JOYPUR MOR NH 512, Gangarampur, West Bengal 733124",733121,25.406742599999998,88.4723111,ChIJ73MAbaw5-zkRIhclomnPa5Q,https://www.google.com/maps/place/?q=place_id:ChIJ73MAbaw5-zkRIhclomnPa5Q,part_327,2026-09-20 20:30:20
Lab Electronic,Electrical Goods and Lighting Store,Electrician,Electrician,733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO",N/A,N/A,5.0,2.0,"CH33+7PJ, Ratanmala, West Bengal 733124",733121,25.4038003,88.553246,ChIJG1IVo0ZH-zkRhrVYNLXH-D4,https://www.google.com/maps/place/?q=place_id:ChIJG1IVo0ZH-zkRhrVYNLXH-D4,part_327,2026-09-20 20:30:20
Narada Chitralaya,Electrical Goods and Lighting Store,Electronics store,Electronics store,733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO",+91 95938 28537,N/A,4.8,4.0,"block development office, Kushmandi, West Bengal 733132",733121,25.5306028,88.36382499999999,ChIJH482FAox-zkR0wFqbNOxofM,https://www.google.com/maps/place/?q=place_id:ChIJH482FAox-zkR0wFqbNOxofM,part_327,2026-09-20 20:30:20
