business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
TOTON (LIC AGENT),Insurance Agent,Insurance agency,Insurance agency,731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",N/A,N/A,,,"X7X9+4PM, Ashna, West Bengal 731130",731130,23.997844699999998,87.26929419999999,ChIJnVjFegBJ9zkRPO-opLimhSU,https://www.google.com/maps/place/?q=place_id:ChIJnVjFegBJ9zkRPO-opLimhSU,part_326,2026-09-20 20:19:29
LIC ADVISOR,Insurance Agent,Insurance agent,Insurance agent,731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",N/A,N/A,,,"27GJ+38C, Vill Musabuni, P.O, Joypur, West Bengal 731130",P.O,24.025199699999998,87.28077119999999,ChIJRZxHNQBL9zkRU2j3N7jlkZc,https://www.google.com/maps/place/?q=place_id:ChIJRZxHNQBL9zkRU2j3N7jlkZc,part_326,2026-09-20 20:19:29
Ambika Associates,Insurance Agent,Insurance agency,Insurance agency,731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",N/A,https://www.facebook.com/profile.php?id=100068184604630,4.9,7.0,"Club, Uttarpally Rd, near Benachity, Benachity, Durgapur, West Bengal 713213",Benachity,23.5651445,87.2796968,ChIJH92gLKVt9zkRbufYSchBcww,https://www.google.com/maps/place/?q=place_id:ChIJH92gLKVt9zkRbufYSchBcww,part_326,2026-09-20 20:19:29
Bima and Nivesh Services,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Insurance agent, Life insurance agency",731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",+91 98830 85611,http://bimannivesh.in/,5.0,58.0,"2/C JUSTICE DWARKA NATH ROAD Just, opposite of Hybrid Besides Union Bank, branch, Bhowanipore, Kolkata, West Bengal 700020","Gaza Park, branch, Bhowanipore",22.536875,88.3485182,ChIJcw4H6C53AjoRlz5yllWka2w,https://www.google.com/maps/place/?q=place_id:ChIJcw4H6C53AjoRlz5yllWka2w,part_326,2026-09-20 20:19:29
SKD Financial Service,Insurance Agent,Insurance agency,"Insurance agency, Health insurance agency, Financial planner, Life insurance agency",731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",+91 94340 15332,http://www.skdfinancialservice.com/,5.0,1.0,"Stall no 15&17 Marconi Ave, near Saha Vegetable, Durgapur, West Bengal 713205",B-Zone,23.5648499,87.31263899999999,ChIJSXzuMxBu9zkReotrRSS1eio,https://www.google.com/maps/place/?q=place_id:ChIJSXzuMxBu9zkReotrRSS1eio,part_326,2026-09-20 20:19:29
HDFC ERGO Insurance Agent: Vivekananda Ghosh,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",+91 79 4275 9553,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-vivekananda-ghosh-insurance-broker-malancha-kharagpur-307821/Home?utm_source=locator&utm_medium=googleplaces,5.0,11.0,"No 139, Malancha, Rajpura, Kharagpur, West Bengal 721304",Malancha,22.3433583,87.284706,ChIJn85TJwFDHToRVjIwy4xWj3k,https://www.google.com/maps/place/?q=place_id:ChIJn85TJwFDHToRVjIwy4xWj3k,part_326,2026-09-20 20:19:29
"SUNDAR INVESTMENT ,LIFE INSURANCE & GENERAL, MEDICLAIM POLICY, MUTUAL FUND SERVICES",Insurance Agent,Life insurance agency,Life insurance agency,731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",N/A,N/A,4.7,14.0,"Tisgaon road kalyan east Himalaya Lokdhara Building, Lokgram, Kalyan, Maharashtra 421306",Lokgram,19.2283024,73.12954119999999,ChIJbaZYFcuV5zsR1Os1LdP934M,https://www.google.com/maps/place/?q=place_id:ChIJbaZYFcuV5zsR1Os1LdP934M,part_326,2026-09-20 20:19:29
Amish Thakkar Financial Planner,Insurance Agent,Insurance broker,"Insurance broker, Service establishment",731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",+91 70213 24813,https://www.youtube.com/channel/UCC3yWr5uT2Agbabfxu7lLxw,4.9,,"Amish Thakkar Financial Planner, 731130, India",731130,21.0680074,82.7525294,ChIJpcV9poGe2kIRQ4VS7ymaIuA,https://www.google.com/maps/place/?q=place_id:ChIJpcV9poGe2kIRQ4VS7ymaIuA,part_326,2026-09-20 20:19:30
Bharat Patil -best insurance advisor -best lic agent -best mediclaim agent-best insurance agent - Best star health agent,Insurance Agent,Life insurance agency,"Life insurance agency, Auto insurance agency, Health insurance agency, Investment service",731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",+91 97686 12020,https://bharat-patil-best.grexa.site/,4.9,,"shop no 32/1, Patharli Rd, near swayamwar hall, Dombivli, Gograswadi, Dombivli East, Kalyan, Maharashtra 421201","Dombivli, Gograswadi, Dombivli East",19.2116743,73.09763579999999,ChIJEd7dXpuV5zsRQ29r33SaAHA,https://www.google.com/maps/place/?q=place_id:ChIJEd7dXpuV5zsRQ29r33SaAHA,part_326,2026-09-20 20:19:30
AGS insurance services,Insurance Agent,Insurance agency,Insurance agency,731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO",+91 86918 67650,https://forms.gle/dndiCohJAqeZwW7F6,5.0,22.0,"LODHA REGENCY COMPLEX, Diva Manpada Rd, behind shiv mandir, Dombivli, Bhadra Nagar, Desale Pada, Kalyan, Maharashtra 421204","Dombivli, Bhadra Nagar, Desale Pada",19.187893,73.0864062,ChIJpfYuYs6V5zsR75mdzKbFgzg,https://www.google.com/maps/place/?q=place_id:ChIJpfYuYs6V5zsR75mdzKbFgzg,part_326,2026-09-20 20:19:30
