business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jumpa Store,Provision Store,General store,General store,734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",N/A,N/A,5.0,3.0,"P979+88W, Jitu, West Bengal 734013",734013,26.7133658,88.3683193,ChIJVxBLcIxG5DkR1FT_pv27Y_Y,https://www.google.com/maps/place/?q=place_id:ChIJVxBLcIxG5DkR1FT_pv27Y_Y,part_328,2026-09-20 20:23:38
ARCHANA STORE,Provision Store,General store,General store,734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",+91 89675 08689,N/A,2.3,3.0,"745,J-6, Bogra Vihar Shivamandir, army Road, near North Bengal University, Badla Vita, New Rangia, West Bengal 734013",Badla Vita,26.7223555,88.3432078,ChIJNxJaeaRH5DkRZSt6PRNq5m0,https://www.google.com/maps/place/?q=place_id:ChIJNxJaeaRH5DkRZSt6PRNq5m0,part_328,2026-09-20 20:23:38
Bikash Goswami,Provision Store,General store,General store,734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",+91 96355 67134,N/A,4.7,3.0,"Panchanan Sarani Rd, Bagdogra, Siliguri, West Bengal 734013",734013,26.715120499999998,88.3674332,ChIJ8ynLggFH5DkRFJn1vHIzCfc,https://www.google.com/maps/place/?q=place_id:ChIJ8ynLggFH5DkRFJn1vHIzCfc,part_328,2026-09-20 20:23:38
Prayojani Retail,Provision Store,Grocery store,"Grocery store, Supermarket",734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",+91 81001 61100,N/A,4.3,,"124A, KC Ghosh Rd, Roy Para, Sinthee, Kolkata, West Bengal 700050","Roy Para, Sinthee",22.6279689,88.3882294,ChIJ3WNN6-6d-DkRV6ZBpAVYll4,https://www.google.com/maps/place/?q=place_id:ChIJ3WNN6-6d-DkRV6ZBpAVYll4,part_328,2026-09-20 20:23:39
Mondal Rice & Grocery Centre,Provision Store,Grocery store,Grocery store,734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",+91 79801 24214,N/A,4.0,,"Near, Netaji Subhash Chandra Bose Rd, Badam Talla, Ujjal Park, Brahmapur, Kolkata, West Bengal 700096","Badam Talla, Ujjal Park, Brahmapur",22.460179,88.3641859,ChIJd_r55qxxAjoRVCDvfHoIe2E,https://www.google.com/maps/place/?q=place_id:ChIJd_r55qxxAjoRVCDvfHoIe2E,part_328,2026-09-20 20:23:39
Topsia mega mart,Provision Store,Grocery store,Grocery store,734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",+91 90733 85609,N/A,3.9,,"86B, 1, Topsia Rd, Topsia, Kolkata, West Bengal 700039",Topsia,22.5350057,88.381515,ChIJ19eV4Oh3AjoRdZ0CJ5WGEwA,https://www.google.com/maps/place/?q=place_id:ChIJ19eV4Oh3AjoRdZ0CJ5WGEwA,part_328,2026-09-20 20:23:39
MONALISHA VARIETY STORES,Provision Store,General store,General store,734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",+91 80174 81477,N/A,4.8,,"Raghunathpur, Baguiati, West Bengal 700059","Raghunathpur, Baguiati",22.6210421,88.4288802,ChIJszJDqCWe-DkR0I7uxVWLOdQ,https://www.google.com/maps/place/?q=place_id:ChIJszJDqCWe-DkR0I7uxVWLOdQ,part_328,2026-09-20 20:23:39
RAKESH BHUJIYA STORES,Provision Store,General store,General store,734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",+91 94274 21259,N/A,4.8,,"19, near PNB BANK, beside ACROPOLIS MALL, Shantipally, Naskarhat, East Kolkata Twp, Kolkata, West Bengal 700107","Shantipally, Naskarhat, East Kolkata Township",22.5146114,88.3955601,ChIJC5YRoTFxAjoRgROqs9p8vu8,https://www.google.com/maps/place/?q=place_id:ChIJC5YRoTFxAjoRgROqs9p8vu8,part_328,2026-09-20 20:23:39
Mukti Fresh,Provision Store,Organic shop,"Organic shop, Organic food store",734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",+91 99070 99099,https://muktifresh.in/,4.3,,"22, Canal Side Rd, near Kavi Nazrul Metro Station, Barhans, Garia, Kolkata, West Bengal 700084","Barhans, Garia",22.4650532,88.3838869,ChIJfYDNl6FxAjoRKTWvrqvzWMA,https://www.google.com/maps/place/?q=place_id:ChIJfYDNl6FxAjoRKTWvrqvzWMA,part_328,2026-09-20 20:23:39
MAA MANASA VARIETY STORES,Provision Store,General store,General store,734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",N/A,N/A,5.0,,"B-14/94 Kalyani, B14, Adibasi Para, Kalyani, West Bengal 741235","B 14, Block B",22.9661188,88.4362467,ChIJL2wT5QSV-DkRysFpRMiTzlM,https://www.google.com/maps/place/?q=place_id:ChIJL2wT5QSV-DkRysFpRMiTzlM,part_328,2026-09-20 20:23:39
Sonamukhi Chowmatha Bazaar,Provision Store,Market,Market,734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO",+91 90073 52172,N/A,4.2,,"F7CH+VW8, Sonamukhi Main Rd, Sonamukhi Krishnanagar, Bagpota, Kolkata, West Bengal 700061","Sonamukhi Krishnanagar, Bagpota",22.472154,88.2798303,ChIJL4WoG017AjoRWG2o-5abo_c,https://www.google.com/maps/place/?q=place_id:ChIJL4WoG017AjoRWG2o-5abo_c,part_328,2026-09-20 20:23:39
