business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Beauty Yoga Centre,Yoga Center,Yoga instructor,Yoga instructor,721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore",+91 93329 38858,N/A,4.9,77.0,"C885+F9X, Bidhan Nagar East, Saratpally, Midnapore, West Bengal 721101","Bidhan Nagar East, Saratpally",22.416228399999998,87.3084883,ChIJ-dy2JABFHToR1fbKngrQuGo,https://www.google.com/maps/place/?q=place_id:ChIJ-dy2JABFHToR1fbKngrQuGo,part_321,2026-09-20 20:21:17
Yoga Samadhan Wellness | Best Yoga Classes in Medinipur,Yoga Center,Yoga studio,"Yoga studio, Naturopathic practitioner, Physical fitness program, Physiotherapy Center, Yoga instructor, Yoga Retreat Center",721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore",+91 90020 02959,http://www.yogasamadhan.com/,4.6,29.0,"Midnapore Railway Station Rd, Bhunia Para, Kotwali, Midnapore, West Bengal 721101","Bhunia Para, Kotwali",22.4263409,87.3089736,ChIJh6nFwFZbHToRuF6V7_PbMzI,https://www.google.com/maps/place/?q=place_id:ChIJh6nFwFZbHToRuF6V7_PbMzI,part_321,2026-09-20 20:21:17
NIRAMOY YOGA CENTER,Yoga Center,Yoga studio,Yoga studio,721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore",N/A,N/A,5.0,7.0,"C8C6+Q9M, East Ave, near mathura apartment, Bidhan Nagar East, Midnapore, West Bengal 721101",Bidhan Nagar East,22.421965,87.3109128,ChIJ6RgPNABbHToRLkGhFGj4zi4,https://www.google.com/maps/place/?q=place_id:ChIJ6RgPNABbHToRLkGhFGj4zi4,part_321,2026-09-20 20:21:17
Transform 360 Gymplus,Yoga Center,Yoga studio,"Yoga studio, Fitness center, Oxygen cocktail spot, Sauna, Gym",721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore",+91 70297 41027,N/A,5.0,106.0,"Midnapore Railway Station Rd, near Vishion Motor, Midnapore, West Bengal 721101",721101,22.426102,87.30908219999999,ChIJL-XfS7RbHToR2cUcxRDdELM,https://www.google.com/maps/place/?q=place_id:ChIJL-XfS7RbHToR2cUcxRDdELM,part_321,2026-09-20 20:21:17
Ladies Health Care Center,Yoga Center,Yoga studio,Yoga studio,721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore",+91 93339 39740,https://lhcc.co.in/,5.0,6.0,"Khaprail Bazar, Midnapore, West Bengal 721101",Khaprail Bazar,22.4286674,87.3240599,ChIJDzpFndRbHToRieQ3pqHZKVI,https://www.google.com/maps/place/?q=place_id:ChIJDzpFndRbHToRieQ3pqHZKVI,part_321,2026-09-20 20:21:17
Midnapore Sahaja Yoga Ashram,Yoga Center,Meditation center,Meditation center,721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore",+91 94343 21589,N/A,4.8,8.0,"Siealdanga, Gandhighat, West Bengal 721101",721101,22.401224799999998,87.3335208,ChIJ1a0SAq5FHToR2zDh69QK_yM,https://www.google.com/maps/place/?q=place_id:ChIJ1a0SAq5FHToR2zDh69QK_yM,part_321,2026-09-20 20:21:17
Anisha School for yoga culture,Yoga Center,Yoga instructor,"Yoga instructor, Physiotherapy Center",721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore",N/A,N/A,5.0,3.0,"near Jugnitala, Mahatabpur, Midnapore, West Bengal 721101",Mahatabpur,22.4080163,87.3172625,ChIJF7vyREtbHToRZ0G5ygIkuDA,https://www.google.com/maps/place/?q=place_id:ChIJF7vyREtbHToRZ0G5ygIkuDA,part_321,2026-09-20 20:21:17
Surasathi Yoga and Fitness,Yoga Center,Yoga studio,Yoga studio,721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore",N/A,N/A,,,"Mahatabpur, Midnapore, West Bengal 721101",Mahatabpur,22.4068397,87.3182617,ChIJgSIajLdFHToRrl4EilL3Jg8,https://www.google.com/maps/place/?q=place_id:ChIJgSIajLdFHToRrl4EilL3Jg8,part_321,2026-09-20 20:21:17
Prajapita Brahma Kumaris Ishwariya Vishwa Vidyalaya,Yoga Center,Meditation center,Meditation center,721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore",+91 3222 357 190,N/A,4.5,24.0,"Judge's, D-3, Court Road, near Dewan Babar Chak, Aurobindo Nagar, Midnapore, West Bengal 721101",Aurobindo Nagar,22.415549,87.3140196,ChIJQ5e4V05bHToRX5x9brXVF3M,https://www.google.com/maps/place/?q=place_id:ChIJQ5e4V05bHToRX5x9brXVF3M,part_321,2026-09-20 20:21:17
Xplode Reloaded,Yoga Center,Fitness center,Fitness center,721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore",+91 90380 25538,N/A,5.0,102.0,"St. John's Church, Sekhpura,poltry pukur Station road, Road, Midnapore, West Bengal 721101",Burdge Town,22.4272852,87.31156159999999,ChIJGaaQAIJbHToRojus1i1Prik,https://www.google.com/maps/place/?q=place_id:ChIJGaaQAIJbHToRojus1i1Prik,part_321,2026-09-20 20:21:17
