business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Apanjan Shoe Store,Footwear and Shoe Store,Shoe store,Shoe store,721506,West Bengal Circle,South Bengal Region,Midnapore Division,"Gopi Ballavpur SO, Alampur BO, Asanboni BO",+91 90934 91180,https://www.facebook.com/apanjonshoe?mibextid=ZbWKwL,3.8,,"Chhatinasol, Pani Hamraor Phania Mar, West Bengal 721506",721506,22.1887628,86.92169609999999,ChIJVVVVlcEKHToRJ-4JRussrFc,https://www.google.com/maps/place/?q=place_id:ChIJVVVVlcEKHToRJ-4JRussrFc,part_323,2026-09-20 20:29:17
Jana Shoe Center,Footwear and Shoe Store,Shoe store,Shoe store,721506,West Bengal Circle,South Bengal Region,Midnapore Division,"Gopi Ballavpur SO, Alampur BO, Asanboni BO",+91 97338 85086,N/A,4.0,,"Rantua, Rantua Rd, West Bengal 721506",721506,22.2361149,86.9071572,ChIJg5Cb8d51HToRGzcISyQacuQ,https://www.google.com/maps/place/?q=place_id:ChIJg5Cb8d51HToRGzcISyQacuQ,part_323,2026-09-20 20:29:17
Sen Shoe Emporium,Footwear and Shoe Store,Shoe store,Shoe store,721506,West Bengal Circle,South Bengal Region,Midnapore Division,"Gopi Ballavpur SO, Alampur BO, Asanboni BO",+91 90022 75050,N/A,5.0,,"52MH+9V3, Rogra, Ragra, Kaptidanga, West Bengal 721517",Rogra,22.1833807,87.02965689999999,ChIJIX6s-BgNHToROZEzqj3YCvY,https://www.google.com/maps/place/?q=place_id:ChIJIX6s-BgNHToROZEzqj3YCvY,part_323,2026-09-20 20:29:17
Kriti Prasanna Bastralay & New Modern Shoe Emporiam,Footwear and Shoe Store,Shoe store,"Shoe store, Clothing store",721506,West Bengal Circle,South Bengal Region,Midnapore Division,"Gopi Ballavpur SO, Alampur BO, Asanboni BO",+91 97338 66798,N/A,3.3,,"Nakbindhi, Khasjangal, West Bengal 721125",Nakbindhi,22.150386299999997,87.0211537,ChIJp3VlUaoNHToRKSx_gYXS8Hw,https://www.google.com/maps/place/?q=place_id:ChIJp3VlUaoNHToRKSx_gYXS8Hw,part_323,2026-09-20 20:29:17
Chalar Sathi Shoe house,Footwear and Shoe Store,Shoe store,Shoe store,721506,West Bengal Circle,South Bengal Region,Midnapore Division,"Gopi Ballavpur SO, Alampur BO, Asanboni BO",+91 99328 09721,N/A,5.0,,"More, Vill, Hatibari, Gopiballabpur, West Bengal 721506",Vill,22.2085063,86.8967614,ChIJO3VLs36hHToR-aL-4WMbizA,https://www.google.com/maps/place/?q=place_id:ChIJO3VLs36hHToR-aL-4WMbizA,part_323,2026-09-20 20:29:17
RUDRA SHOE HOUSE,Footwear and Shoe Store,Shoe store,Shoe store,721506,West Bengal Circle,South Bengal Region,Midnapore Division,"Gopi Ballavpur SO, Alampur BO, Asanboni BO",+91 99338 88536,N/A,5.0,,"52JJ+CM4, Ragra, West Bengal 721517",721506,22.1810173,87.0317025,ChIJ51_jHeoNHToRayXlWdB3Uco,https://www.google.com/maps/place/?q=place_id:ChIJ51_jHeoNHToRayXlWdB3Uco,part_323,2026-09-20 20:29:17
BRM FOOT SAFTY & SPORTS CENTRE,Footwear and Shoe Store,Shoe store,Shoe store,721506,West Bengal Circle,South Bengal Region,Midnapore Division,"Gopi Ballavpur SO, Alampur BO, Asanboni BO",+91 80161 28810,N/A,5.0,,"Rantua more road, near to Vakrangi kendra, Nayagram, West Bengal 721506",721506,22.2361038,86.90696679999999,ChIJC_MaDtF1HToRxYY4iqDbAzI,https://www.google.com/maps/place/?q=place_id:ChIJC_MaDtF1HToRxYY4iqDbAzI,part_323,2026-09-20 20:29:17
STYLISH SHOE CENTRE,Footwear and Shoe Store,Shoe store,Shoe store,721506,West Bengal Circle,South Bengal Region,Midnapore Division,"Gopi Ballavpur SO, Alampur BO, Asanboni BO",+91 85973 82803,N/A,5.0,,"SH 19, Saria, West Bengal 721125",721506,22.123859,86.8532967,ChIJ7csCbcWhHToRoBMdt8IW7dM,https://www.google.com/maps/place/?q=place_id:ChIJ7csCbcWhHToRoBMdt8IW7dM,part_323,2026-09-20 20:29:18
Aftab Shoe House,Footwear and Shoe Store,Shoe store,Shoe store,721506,West Bengal Circle,South Bengal Region,Midnapore Division,"Gopi Ballavpur SO, Alampur BO, Asanboni BO",+91 70919 07770,N/A,5.0,,"main market, Baharagora, Jharkhand 832101",721506,22.2752365,86.7190117,ChIJZ5TqruyXHToRBJyXnPYRcHQ,https://www.google.com/maps/place/?q=place_id:ChIJZ5TqruyXHToRBJyXnPYRcHQ,part_323,2026-09-20 20:29:18
Dey Footwears,Footwear and Shoe Store,Shoe store,Shoe store,721506,West Bengal Circle,South Bengal Region,Midnapore Division,"Gopi Ballavpur SO, Alampur BO, Asanboni BO",N/A,N/A,,,"7XC3+323, Belaberya, West Bengal 721517",721506,22.2701413,86.9525573,ChIJV2qeWgB1HToROPCzbT9Ubog,https://www.google.com/maps/place/?q=place_id:ChIJV2qeWgB1HToROPCzbT9Ubog,part_323,2026-09-20 20:29:18
