business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SMILEY GIFT TOWN,Gifting,Gift shop,Gift shop,721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO",+91 6295 526 288,N/A,5.0,6.0,"Dherua-Midnapur Rd, Gopgarh, Midnapore, West Bengal 721102",Gopgarh,22.4171166,87.2864372,ChIJYa_JQw5dHToRGHSHPjvJ3II,https://www.google.com/maps/place/?q=place_id:ChIJYa_JQw5dHToRGHSHPjvJ3II,part_321,2026-09-20 20:22:05
AVINABA VERAITY AND GIFT HOUSE,Gifting,Gift shop,Gift shop,721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO",+91 99333 23891,N/A,4.5,10.0,"Keranichoti, Medinipur Rd, West, beside Karanichoti Sidhu Kanu Stachue, Midnapore, West Bengal 721102",Keranichoti,22.458325199999997,87.3242029,ChIJi_qIyrBbHToRjdAkiyMojAg,https://www.google.com/maps/place/?q=place_id:ChIJi_qIyrBbHToRjdAkiyMojAg,part_321,2026-09-20 20:22:05
Gift Gallery,Gifting,Gift shop,Gift shop,721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO",+91 90642 83409,N/A,4.8,1187.0,"Settlement more, Jhargram Main Rd, opposite side of Tarun Tirtha Club, Raghunathpur, Jhargram, West Bengal 721507",Raghunathpur,22.4408072,86.9973419,ChIJWZrHP4p7HToRqg9t8nc16s4,https://www.google.com/maps/place/?q=place_id:ChIJWZrHP4p7HToRqg9t8nc16s4,part_321,2026-09-20 20:22:05
Presto Wonders Midnapore,Gifting,Gift shop,"Gift shop, Novelty store, Rubber stamp store",721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO",+91 91266 39634,https://prestogifts.com/,4.4,8.0,"Uttara Road, Midnapore, Khasjangal Cantonment, West Bengal 721102",Midnapore,22.4548757,87.3241749,ChIJSzIoXgVbHToRfQiiDVzSPTM,https://www.google.com/maps/place/?q=place_id:ChIJSzIoXgVbHToRfQiiDVzSPTM,part_321,2026-09-20 20:22:05
Priyo Gift House,Gifting,Gift shop,Gift shop,721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO",+91 82501 37769,N/A,5.0,3.0,"C8Jf+25C, 747, Sepoy Bazar Rd, opposite Boys Club, Khaprail Bazar, Sadar, Midnapore, West Bengal 721101","Khaprail Bazar, Sadar",22.4298929,87.322744,ChIJP-BgPjxbHToRW5UgYWfqUpY,https://www.google.com/maps/place/?q=place_id:ChIJP-BgPjxbHToRW5UgYWfqUpY,part_321,2026-09-20 20:22:05
Tohfa Tienda,Gifting,Gift shop,Gift shop,721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO",N/A,N/A,5.0,,"Amrit Kumar khanra's chamber, near Rupchaya More, beside Tuli o Suto & Dr, Jhargram, West Bengal 721507",721102,22.4549909,86.9974385,ChIJn05zhbF7HToRe6w6226tTgE,https://www.google.com/maps/place/?q=place_id:ChIJn05zhbF7HToRe6w6226tTgE,part_321,2026-09-20 20:22:05
Play and gift House,Gifting,Gift shop,Gift shop,721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO",+91 75850 94563,N/A,5.0,,"Chandabila, Khudiasol, West Bengal 721127",721102,22.851712,87.3787325,ChIJT7bYUOvv9zkR6uT9L-90uLU,https://www.google.com/maps/place/?q=place_id:ChIJT7bYUOvv9zkR6uT9L-90uLU,part_321,2026-09-20 20:22:07
Jhilik Gift Emporium,Gifting,Novelty store,Novelty store,721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO",+91 94761 09103,N/A,4.5,,"Malancha Main Rd, near Andhra Bank, Kharida, Kharagpur, West Bengal 721301",Kharida,22.345070099999997,87.3034529,ChIJCxTOundEHToRMUKkRx1Wij0,https://www.google.com/maps/place/?q=place_id:ChIJCxTOundEHToRMUKkRx1Wij0,part_321,2026-09-20 20:22:07
BAZAR START 99,Gifting,Gift shop,Gift shop,721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO",N/A,https://bazar-start-99.grexa.site/,5.0,,"BAZAR START 99, LOCETE HOSPITAL ROAD, Prembazar, Kharagpur, West Bengal 721306",Prembazar,22.3061898,87.30444349999999,ChIJozgYBVhHHToRtlwlcf8VKSs,https://www.google.com/maps/place/?q=place_id:ChIJozgYBVhHHToRtlwlcf8VKSs,part_321,2026-09-20 20:22:07
ArtBliss,Gifting,Gift shop,"Gift shop, Light bulb supplier, Lighting store",721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO",N/A,N/A,5.0,,"entry Rd, Bhandari Chawk, ArtBliss, Shop #S5A TE202, Gole Bazar Rd, beside bandari interiors, Kharagpur, West Bengal 721301",721102,22.3407536,87.3171804,ChIJoYA6wpdFHToR4qbN4qTXKB4,https://www.google.com/maps/place/?q=place_id:ChIJoYA6wpdFHToR4qbN4qTXKB4,part_321,2026-09-20 20:22:07
