business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RUSHA TECHNOLOGY,CCTV Installation and Security System,Computer accessories store,Computer accessories store,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 90647 73346,http://rushatechnology.website2.me/,4.6,,"Borobazar Nearest, Nightingale Nursing Home, 24, JB Mitra Rd, Shyamlal Colony, Khosbagan, Bardhaman, West Bengal 713104","Shyamlal Colony, Khosbagan",23.2406509,87.8564993,ChIJB2P6ec5J-DkRcauyk5HSPec,https://www.google.com/maps/place/?q=place_id:ChIJB2P6ec5J-DkRcauyk5HSPec,part_321,2026-09-20 20:17:39
KR Tech & Security Systems,CCTV Installation and Security System,Security system supplier,"Security system supplier, Automation company, Electrician, Security guard service, Security system installation service, Solar Energy Company, Solar energy equipment supplier",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 95669 55668,https://www.krtechsolutions.in/,5.0,,"no.15/5, Kamakshi nagar, behind BDO office, Walajapet, Tamil Nadu 632513",713512,12.931336499999999,79.3662484,ChIJuRYcYfo1rTsRzlhZB1UNc7o,https://www.google.com/maps/place/?q=place_id:ChIJuRYcYfo1rTsRzlhZB1UNc7o,part_321,2026-09-20 20:17:39
NOQTA CCTV Security System Installer,CCTV Installation and Security System,Computer security service,"Computer security service, Security service",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 82377 69786,N/A,4.9,,"Sunset point, Bypass Rd, Mukane Colony, Jawhar, Maharashtra 401603",Mukane Colony,19.9110466,73.2237954,ChIJHyV6IrZD5zsRkh87EYn1UUw,https://www.google.com/maps/place/?q=place_id:ChIJHyV6IrZD5zsRkh87EYn1UUw,part_321,2026-09-20 20:17:39
SURAKSHA CCTV SOLUTIONS,CCTV Installation and Security System,Security system installation service,Security system installation service,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 62969 98003,N/A,,,"J98R+9G3, Sahapara, Bethuadahari Stationpara, Bethuadahari, West Bengal 741126","Sahapara, Bethuadahari Stationpara",23.615876,88.3912161,ChIJD0rTWgAR-TkRCpUme59NQEg,https://www.google.com/maps/place/?q=place_id:ChIJD0rTWgAR-TkRCpUme59NQEg,part_321,2026-09-20 20:17:39
Nabadwip Mayapur Cctv Services,CCTV Installation and Security System,Closed circuit television,Closed circuit television,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 89270 85576,N/A,5.0,,"Belgachi, Purbasthali, West Bengal 713513",713512,23.4573562,88.31117429999999,ChIJdYD2LPAD-TkR_C9VjZF1gOA,https://www.google.com/maps/place/?q=place_id:ChIJdYD2LPAD-TkR_C9VjZF1gOA,part_321,2026-09-20 20:17:39
"IT BYTE NETWORK,CCTV CAMERA STORE",CCTV Installation and Security System,Camera store,Camera store,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 98189 23948,N/A,5.0,,"POST OFFICE DHARMADA, Krishnanagar, West Bengal 741138",713512,23.536000899999998,88.3948005,ChIJ5TKe4Z8b-TkRW9CzwV61Jtg,https://www.google.com/maps/place/?q=place_id:ChIJ5TKe4Z8b-TkRW9CzwV61Jtg,part_321,2026-09-20 20:17:39
Gyan Security Solutions,CCTV Installation and Security System,Security system installation service,"Security system installation service, Security system supplier",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 87883 73766,http://www.gyansecuritysol.in/,4.9,,"16, Fulamti Laout, Beltarodi Rd, near Himalay Empire, Suryouday Nagar, Nagpur, Maharashtra 440027","BabulKheda, Suryouday Nagar, Badil Kheda",21.099486499999998,79.0847416,ChIJJSuQ5mq_1DsRQBKOgxlA1ik,https://www.google.com/maps/place/?q=place_id:ChIJJSuQ5mq_1DsRQBKOgxlA1ik,part_321,2026-09-20 20:17:39
"Excellerk Systems - CCTV Camera,Fire Alarm,Intercom,Epabx,Boom Barrier,Biometric,Access Control,VDP,PA & Music System",CCTV Installation and Security System,Security system installation service,"Security system installation service, Security system supplier",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 89762 30040,https://excellerksystems.com/,4.8,,"Office no. 101, 1st Floor, Kulswamini Avenue, Jai Bai Vidya Mandir Rd, near Kasle Hospital, Katemanivali, Naka, Kalyan, Maharashtra 421306","Katemanivali, Naka",19.2270505,73.1418048,ChIJVVVVJUiU5zsR4ArhhgX9wfQ,https://www.google.com/maps/place/?q=place_id:ChIJVVVVJUiU5zsR4ArhhgX9wfQ,part_321,2026-09-20 20:17:39
Cctv Surveillance And Security System { Sai Bhagwati Enterprises },CCTV Installation and Security System,Security system installation service,Security system installation service,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 77688 28451,https://saibhagwatienterprisesoffice-del.github.io/saibhagwatienterprises/,5.0,,"pravaranagar, tal, Rahata, Maharashtra 413712",713512,19.5685823,74.5023616,ChIJgdJq8Af13DsRlbfLpTRDdiY,https://www.google.com/maps/place/?q=place_id:ChIJgdJq8Af13DsRlbfLpTRDdiY,part_321,2026-09-20 20:17:39
Global Eye Security Systems-Best CCTV Installation | Biometric | Intercom | CCTV AMC | All CCTV Services,CCTV Installation and Security System,Security system installation service,"Security system installation service, Computer security service, Security service, Security system supplier, Telecommunications equipment supplier",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 90292 92200,http://www.globaleyesystem.com/,4.8,,"Office No.8, 1st Flr, Yasholata Apt Shiv Mandir cross road Behind leva bhuvan, near Leva Bhavan, Dombivli, Dombivli East, Maharashtra 421201","Dombivli, Dattanagar, Dombivli East",19.2132194,73.0884009,ChIJjy47B4KV5zsRXVdDZLlUHXI,https://www.google.com/maps/place/?q=place_id:ChIJjy47B4KV5zsRXVdDZLlUHXI,part_321,2026-09-20 20:17:39
YASHACAM CCTV SERVICES,CCTV Installation and Security System,Security system installation service,"Security system installation service, Electrical installation service, Fire alarm supplier, Security system supplier",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 77449 13737,N/A,4.9,,"RAMA BUILDING, Kokane Chowk, Jyotiba Colony, Rambagh Colony, Pimple Saudagar, Pimpri-Chinchwad, Maharashtra 411017","Jyotiba Colony, Rambagh Colony, Pimple Saudagar",18.601381,73.7881064,ChIJKX3FpRa5wjsR-HLJ2zS9rm8,https://www.google.com/maps/place/?q=place_id:ChIJKX3FpRa5wjsR-HLJ2zS9rm8,part_321,2026-09-20 20:17:39
Shree Ganesh Security system-CCTV Camera | Video Door Phone | Biometric | Intercomm,CCTV Installation and Security System,Security system supplier,Security system supplier,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 72080 02829,N/A,4.9,,"Shop 20 KDMC Sports Complex, New Kalyan Road, Chhatrapati Shivaji Maharaj Circle, Dombivli East, Thane, Maharashtra 421203, Dombivli East, Maharashtra 421201","Dombivli, Tata Power Company Limited, Dombivli East",19.2151074,73.1023443,ChIJuxfa0zmV5zsRP8OowEcmraQ,https://www.google.com/maps/place/?q=place_id:ChIJuxfa0zmV5zsRP8OowEcmraQ,part_321,2026-09-20 20:17:39
A G Protections CCTV Camera Systems,CCTV Installation and Security System,Security system installation service,"Security system installation service, Security system supplier",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 90966 72176,N/A,4.8,,"Shiv Shakti Complex, Baner Rd, near bata showroom, Riviresa Society, Baner, Pune, Maharashtra 411069","Riviresa Society, Baner",18.5577005,73.7936948,ChIJS5UIBbG_wjsRCzyv5M1gJ2E,https://www.google.com/maps/place/?q=place_id:ChIJS5UIBbG_wjsRCzyv5M1gJ2E,part_321,2026-09-20 20:17:39
"Samarth Security Systems(CCTV Cameras, Biometrics, Access controlls,GSM Alarm Systems)",CCTV Installation and Security System,Security system installation service,Security system installation service,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 78759 19265,N/A,5.0,,"Trimurti Apartment, flat no.6, opp. J.J.English Mediu School, Ganesh Nagar, Bopkhel, Pune, Maharashtra 411031","Ganesh Nagar, Bopkhel",18.5874271,73.8606745,ChIJtXKTfyDHwjsRWCo4ISAm1kg,https://www.google.com/maps/place/?q=place_id:ChIJtXKTfyDHwjsRWCo4ISAm1kg,part_321,2026-09-20 20:17:39
CCTV camera video door phone home automation networking installation,CCTV Installation and Security System,Security system supplier,Security system supplier,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 88305 79801,N/A,5.0,,"Gauri Shankar niwas more petrol pump, Uttam Nagar, Pune, Maharashtra 411023","Uttam Nagar, Shivane",18.4650973,73.775791,ChIJI64SyzOVwjsRjkKm5mRKJTQ,https://www.google.com/maps/place/?q=place_id:ChIJI64SyzOVwjsRjkKm5mRKJTQ,part_321,2026-09-20 20:17:39
Nisarg Security System,CCTV Installation and Security System,Security system installation service,"Security system installation service, Repair service, Security service, Security system supplier, Software company, Telecommunications equipment supplier",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 81086 75538,https://nisarg-security-system.grexa.site/,4.9,,"Om Manjunath, Gopalnagar Rd Number 2, opposite AMANTRAN BAR, Dombivli, Gograswadi, Dombivli East, Kalyan, Maharashtra 421201","Dombivli, Gograswadi, Dombivli East",19.21297,73.0962851,ChIJY-QMVhmV5zsRw0vXbeGUrlg,https://www.google.com/maps/place/?q=place_id:ChIJY-QMVhmV5zsRw0vXbeGUrlg,part_321,2026-09-20 20:17:39
System Edge,CCTV Installation and Security System,Computer store,"Computer store, Cell phone accessory store, Cell phone store, Computer accessories store, Computer consultant, Computer repair service, Computer service, Computer software store, Computer Wholesaler, Printer repair service",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 77971 12211,http://www.systemedge.in/,4.7,,"1st Floor, 56/A/1, Pilkhana Rd, Ranibagan, Khagra, Berhampore, West Bengal 742101","Ranibagan, Khagra",24.101767,88.2567842,ChIJ7xzIIMV9-TkRu4BaBLDGg6s,https://www.google.com/maps/place/?q=place_id:ChIJ7xzIIMV9-TkRu4BaBLDGg6s,part_321,2026-09-20 20:17:39
Assure Secure CCTV & Broadband Services,CCTV Installation and Security System,Security system installation service,Security system installation service,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",N/A,https://www.assuresecure.in/,4.8,,"Office 102, Shriram, HS, Sus - Pashan Rd, Mahadeo Nagar, Pashan, Pune, Maharashtra 411021","Mahadeo Nagar, Pashan",18.544572199999998,73.7811207,ChIJLQnYWJi_wjsRQjRDDXCtE0c,https://www.google.com/maps/place/?q=place_id:ChIJLQnYWJi_wjsRQjRDDXCtE0c,part_321,2026-09-20 20:17:39
