business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Honey Boney Cakes, Chocolates & Icecream",Bakery and Cake Shop,Cake shop,"Cake shop, Chocolate shop, Ice cream shop",713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO",+91 85097 96795,https://www.facebook.com/share/15QzAhysjq/,4.8,23.0,"Play Ground, Briddhapara, Kalna, West Bengal 713405",713515,23.2876884,88.26928819999999,ChIJT4YeW-T9-DkRYrar_stsiFM,https://www.google.com/maps/place/?q=place_id:ChIJT4YeW-T9-DkRYrar_stsiFM,part_321,2026-09-20 20:19:10
Aunnopurna,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO",+91 89182 61188,N/A,,,"Poschim Para, Ningra, Lakshmipara, West Bengal 713519",Poschim Para,23.3497283,88.3000565,ChIJvb4idhz9-DkRviLb-r8e4Uk,https://www.google.com/maps/place/?q=place_id:ChIJvb4idhz9-DkRviLb-r8e4Uk,part_321,2026-09-20 20:19:10
GIYAS STORE,Bakery and Cake Shop,Cake shop,Cake shop,713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO",+91 70010 36460,N/A,5.0,1.0,"Kuley, Road, near KULEY Bazar, Gangania, West Bengal 713422",713515,23.3570717,88.2048593,ChIJB_zBE3__-DkRNBuenhfhskA,https://www.google.com/maps/place/?q=place_id:ChIJB_zBE3__-DkRNBuenhfhskA,part_321,2026-09-20 20:19:10
Tasty Bite,Bakery and Cake Shop,Confectionery store,Confectionery store,713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO",+91 90644 82291,N/A,4.3,21.0,"88RC+2MW, Nasaratpur, West Bengal 713519",713515,23.3401019,88.3217002,ChIJ5w6O1rTi-DkRp2W8-krOeso,https://www.google.com/maps/place/?q=place_id:ChIJ5w6O1rTi-DkRp2W8-krOeso,part_321,2026-09-20 20:19:10
Maa Kali Enterprises,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO",+91 70763 91206,N/A,5.0,1.0,"Rd, Malgoriya, Nowapara, West Bengal 713515",Malgoriya,23.3897208,88.2654325,ChIJy6w3cbED-TkRGOy60bAHATc,https://www.google.com/maps/place/?q=place_id:ChIJy6w3cbED-TkRGOy60bAHATc,part_321,2026-09-20 20:19:10
Sweet N Sour Cake,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO",N/A,N/A,5.0,2.0,"QQPF+398, Bara Dongal, Dakshin Sekhpur, West Bengal 712617",713515,22.7851607,87.77345799999999,ChIJYUnpcwAP-DkRcD1VmNr1NQk,https://www.google.com/maps/place/?q=place_id:ChIJYUnpcwAP-DkRcD1VmNr1NQk,part_321,2026-09-20 20:19:10
Wenger's Bakers,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO",+91 98355 97071,N/A,4.0,663.0,"Near water tank sadbhawna market, Purana Bazar, Dhanbad, Jharkhand 826007",Purana Bazar,23.7871447,86.42437799999999,ChIJS5R1ss689jkR9DH7imcKcOg,https://www.google.com/maps/place/?q=place_id:ChIJS5R1ss689jkR9DH7imcKcOg,part_321,2026-09-20 20:19:11
The Cake Boutique,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO",+91 89614 82166,https://www.instagram.com/the_cakeboutique_kolkata?igsh=MWp1OWh2NTQyYnUzYw==,4.6,322.0,"ground floor, Life madical, lane 264, Bangur Ave, Block B, Block A, Lake Town, Kolkata, West Bengal 700055","Block B, Block A, Lake Town",22.6091984,88.411082,ChIJ097y1151AjoRgV3MbuzlV-0,https://www.google.com/maps/place/?q=place_id:ChIJ097y1151AjoRgV3MbuzlV-0,part_321,2026-09-20 20:19:11
SUGAR N ICE The Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Ice cream shop",713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO",+91 92343 01383,http://sugarnice.net/,4.0,1622.0,"F-13, City Centre, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.6677234,86.1447094,ChIJGxZiqrIj9DkRpx2c2ouqIVY,https://www.google.com/maps/place/?q=place_id:ChIJGxZiqrIj9DkRpx2c2ouqIVY,part_321,2026-09-20 20:19:11
Just Baked -Behala Chowrasta,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Coffee store",713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO",+91 92300 20483,http://www.biskfarm.com/,3.9,251.0,"5 No, Diamond Harbour Rd, Behala Chowrasta, Bata Colony, Behala, Kolkata, West Bengal 700008","Behala Chowrasta, Bata Colony, Behala",22.4868462,88.3134146,ChIJTc3T7W16AjoRlkZtuasnaVQ,https://www.google.com/maps/place/?q=place_id:ChIJTc3T7W16AjoRlkZtuasnaVQ,part_321,2026-09-20 20:19:11
