business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
STUDIO RUPAM,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 96799 18810,N/A,4.7,,"Bhupatinagar/ pin, West Bengal 721425",721425,21.9976825,87.73586139999999,ChIJPdbyluLaAjoRHCmOZtPRGZE,https://www.google.com/maps/place/?q=place_id:ChIJPdbyluLaAjoRHCmOZtPRGZE,part_322,2026-09-20 20:36:46
Swapnapuri Creation,Photographers,Photographer,Photographer,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 74078 48857,N/A,5.0,,"Barbaria Brg, near barbaria ground, Khatial, Dakshin Barbaria, West Bengal 721626",721425,22.0357059,87.7152247,ChIJQ6pN54nFAjoRZrTdeYIjCAg,https://www.google.com/maps/place/?q=place_id:ChIJQ6pN54nFAjoRZrTdeYIjCAg,part_322,2026-09-20 20:36:46
Badhubaran Studio,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 81162 04816,N/A,5.0,,"kanya bidyalaya road, Bhupati Nagar, contai, West Bengal 721425",721425,21.9977299,87.7359464,ChIJpYiddgDbAjoR38GKJLR3sPo,https://www.google.com/maps/place/?q=place_id:ChIJpYiddgDbAjoR38GKJLR3sPo,part_322,2026-09-20 20:36:46
Sankha subhra photography & studio space,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 89182 79365,N/A,4.9,,"Madhakhali - Heria Rd, Jukhia, Garania, West Bengal 721430",721425,21.988464099999998,87.7655631,ChIJF-zwQwDdAjoRHcBUE4YwCCg,https://www.google.com/maps/place/?q=place_id:ChIJF-zwQwDdAjoRHcBUE4YwCCg,part_322,2026-09-20 20:36:46
MADHUMITA STUDIO,Photographers,Photographer,Photographer,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 96417 06612,N/A,,,"KHOKON JANA DOKAN, Jukhia, Henria, West Bengal 721430",721425,21.988464099999998,87.7655631,ChIJd5ekquvbAjoRMGqQjWIuomg,https://www.google.com/maps/place/?q=place_id:ChIJd5ekquvbAjoRMGqQjWIuomg,part_322,2026-09-20 20:36:46
Studio Creative Click,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",N/A,N/A,,,"Lalat Janka Rd, Itaberia Road, Henria, Bhupati Nagar, West Bengal 721425",Itaberia Road,22.001381199999997,87.7292172,ChIJabEXSXrbAjoRmas6WziLneY,https://www.google.com/maps/place/?q=place_id:ChIJabEXSXrbAjoRmas6WziLneY,part_322,2026-09-20 20:36:46
royal celebration,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",N/A,https://photon.weddifly.com/www/roy-surajit,5.0,,"Bajkul, Kismat Bajkul, West Bengal 721655",721425,22.0268116,87.8142168,ChIJWWuRNEDdAjoRgFOkHM4S_xw,https://www.google.com/maps/place/?q=place_id:ChIJWWuRNEDdAjoRgFOkHM4S_xw,part_322,2026-09-20 20:36:46
Subha Porinoy Photography,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 74784 51713,https://www.facebook.com/share/1EqNPu4Dpw/,,,"Manglamaro, Sahapur, West Bengal 721434",721425,22.0778019,87.6370036,ChIJS3rrsuLPAjoREsHjq51lz_0,https://www.google.com/maps/place/?q=place_id:ChIJS3rrsuLPAjoREsHjq51lz_0,part_322,2026-09-20 20:36:46
MAITRI STUDIO,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 98923 09330,https://www.facebook.com/maitristudio1,4.5,,"Kalinagar, NH 116B, :, Contai, West Bengal 721444",721425,21.9125212,87.78518369999999,ChIJC55Y_x_fAjoRjMK6u_p65Jg,https://www.google.com/maps/place/?q=place_id:ChIJC55Y_x_fAjoRjMK6u_p65Jg,part_322,2026-09-20 20:36:46
PURNIMA DIGITAL STUDIO AND E-SEVA,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 81673 50510,N/A,3.0,,"2PRJ+W3H, Unnamed Road, Radhapur, West Bengal 721626 LALBAZAR, West Bengal 721626",721425,22.042312499999998,87.7301875,ChIJ4ZmQ6_TFAjoRxUy6a07FOrU,https://www.google.com/maps/place/?q=place_id:ChIJ4ZmQ6_TFAjoRxUy6a07FOrU,part_322,2026-09-20 20:36:46
GK EDITING OFFICIAL,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",N/A,https://www.facebook.com/share/1A9AYjWye1/,5.0,,"Balyagobindapur, West Bengal 721440",721425,22.0124545,87.6273183,ChIJZZSbIgDRAjoR66BKtw2DOS0,https://www.google.com/maps/place/?q=place_id:ChIJZZSbIgDRAjoR66BKtw2DOS0,part_322,2026-09-20 20:36:46
স্টুডিও সাগরিকা,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 97335 12839,N/A,3.7,,"Fakir Chak, Sadulya Chak, West Bengal 721430",721425,21.9951424,87.7832742,ChIJBYjCz0TdAjoRq9SxOFyecZg,https://www.google.com/maps/place/?q=place_id:ChIJBYjCz0TdAjoRq9SxOFyecZg,part_322,2026-09-20 20:36:46
SR FILMS & STUDIO,Photographers,Photographer,"Photographer, Photography studio",721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 75479 33219,N/A,,,"Chakrasul, Itaberia, Lalua, West Bengal 721425",Chakrasul,21.9917975,87.6699273,ChIJZYOHFJvRAjoRvddRky26gso,https://www.google.com/maps/place/?q=place_id:ChIJZYOHFJvRAjoRvddRky26gso,part_322,2026-09-20 20:36:46
Rupmahal studio,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 62973 45921,N/A,5.0,,"2P2H+FR6, Bhupati Nagar, West Bengal 721425",721425,22.0011562,87.7295312,ChIJU7PwZQDbAjoR85t17qvIYhw,https://www.google.com/maps/place/?q=place_id:ChIJU7PwZQDbAjoR85t17qvIYhw,part_322,2026-09-20 20:36:46
STUDIO SUBHAM,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",N/A,N/A,4.3,,"XR93+JF9, Henria, Mitra Chak, West Bengal 721430",721425,21.9690338,87.80372109999999,ChIJe4vHbgDdAjoRCtkxwtBCRoA,https://www.google.com/maps/place/?q=place_id:ChIJe4vHbgDdAjoRCtkxwtBCRoA,part_322,2026-09-20 20:36:46
ANUP CYBER CAFE (ওয়েস্ট বেঙ্গল গ্রামীন ব্যাংক),Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 78724 78688,N/A,4.8,,"Kshirishbari Pakar Pull, Kshirishbari, Barabari, South, Contai, West Bengal 721430",721425,22.0080438,87.79008789999999,ChIJ7y6mW2DdAjoRr6HFIE750QQ,https://www.google.com/maps/place/?q=place_id:ChIJ7y6mW2DdAjoRr6HFIE750QQ,part_322,2026-09-20 20:36:48
Babusona Studio,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",+91 97338 42780,N/A,5.0,,"Vill-Nelua, Po-Sukrullapur, PS, Bhagabanpur, West Bengal 721626",PS,22.0229826,87.76409269999999,ChIJbXWKLfLbAjoRATb12L7WCe8,https://www.google.com/maps/place/?q=place_id:ChIJbXWKLfLbAjoRATb12L7WCe8,part_322,2026-09-20 20:36:48
RAMKRISHNA STUDIO & WEB ZONE,Photographers,Photography studio,Photography studio,721425,West bengal circle,South Bengal Region,Contai Division,"Mugberia BO, Purbaradhapur BO, Udbadal BO",N/A,N/A,,,"Kayemgeria, West Bengal 721444",721425,21.9526492,87.7226642,ChIJ36E964TbAjoRF8VrzNFbXXw,https://www.google.com/maps/place/?q=place_id:ChIJ36E964TbAjoRF8VrzNFbXXw,part_322,2026-09-20 20:36:48
