business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Green Life Polyclinic and Diagnostic Centre,Clinics,Medical diagnostic imaging center,Medical diagnostic imaging center,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 89005 44444,N/A,4.1,,"Bolpur Rd, near Sat Sangha Kendra, Sukhbazar, Illambazar, West Bengal 731214",Sukhbazar,23.6335521,87.5463936,ChIJFevbJZ_Z-TkRspm1weBuTFE,https://www.google.com/maps/place/?q=place_id:ChIJFevbJZ_Z-TkRspm1weBuTFE,part_329,2026-09-20 20:18:38
Suhana Clinic,Clinics,Alternative medicine practitioner,Alternative medicine practitioner,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 80160 91580,N/A,,,"Matelli - Samsing Rd, Samsing Tea Garden, West Bengal 735223",734503,26.9893716,88.8103352,ChIJ-4KOdOP54zkRjSYwlg0fVV0,https://www.google.com/maps/place/?q=place_id:ChIJ-4KOdOP54zkRjSYwlg0fVV0,part_329,2026-09-20 20:18:38
HUMAN HEALTH CENTRE,Clinics,Diagnostic center,Diagnostic center,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 83489 62743,N/A,4.3,,"Bazar, Sagardighi, West Bengal 742226",734503,24.288509299999998,88.09218589999999,ChIJQU-p_ygt-jkRBDQXp0701X0,https://www.google.com/maps/place/?q=place_id:ChIJQU-p_ygt-jkRBDQXp0701X0,part_329,2026-09-20 20:18:38
P.N DAS MEMORIAL HEALTH CARE FACILITIES,Clinics,Medical clinic,"Medical clinic, Hospital",734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 86536 77188,https://pndm.in/,3.9,,"3VV5+CFV DAS MEMORIAL, P.N, Chandipur - Nandigram Rd, Math Chandipur, West Bengal 721659",734503,22.0935567,87.8586393,ChIJF3MsaADpAjoRzd8N_I9QEyw,https://www.google.com/maps/place/?q=place_id:ChIJF3MsaADpAjoRzd8N_I9QEyw,part_329,2026-09-20 20:18:38
JAGADISH MEDICAL,Clinics,Medical clinic,"Medical clinic, Doctor, Medical Center, Medical supply store",734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",N/A,N/A,5.0,,"BELDA ROAD, Keshiary, West Bengal 721133",Keshiary,22.1228038,87.23581519999999,ChIJdwSAjmc_HToRo2q5KlU1B-o,https://www.google.com/maps/place/?q=place_id:ChIJdwSAjmc_HToRo2q5KlU1B-o,part_329,2026-09-20 20:18:38
Globecare Diagnostic Centre & Poly Clinic,Clinics,Diagnostic center,"Diagnostic center, Blood testing service, Medical Center, Pathologist",734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 84780 33386,N/A,3.6,,"Burasanti, Nabapally, Daluigacha, Singur, West Bengal 712409","Burasanti, Nabapally, Daluigacha",22.8163229,88.22651959999999,ChIJLxwND72I-DkRB5xALwa3l-g,https://www.google.com/maps/place/?q=place_id:ChIJLxwND72I-DkRB5xALwa3l-g,part_329,2026-09-20 20:18:38
KATHAMALA DOCTORS CHAMBER,Clinics,Doctor,Doctor,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 76025 27559,https://kathamaladc.in/,4.8,,"Capsule Healthcare St, near CPI jela Office, Rabindra Nagar, Midnapore, West Bengal 721101",Rabindra Nagar,22.4229201,87.31750149999999,ChIJGxuzc0JbHToRMCBw40a9sn0,https://www.google.com/maps/place/?q=place_id:ChIJGxuzc0JbHToRMCBw40a9sn0,part_329,2026-09-20 20:18:38
Dawathang Out Reach Clinics,Clinics,Community health center,Community health center,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",N/A,N/A,,,"4V5M+WQC, Tendu, Bhutan",734503,27.1098191,88.8843777,ChIJnXLjiTn94zkRW9uGYh_3-o8,https://www.google.com/maps/place/?q=place_id:ChIJnXLjiTn94zkRW9uGYh_3-o8,part_329,2026-09-20 20:18:38
Samsing medical &blood calection centar,Clinics,Medical diagnostic imaging center,Medical diagnostic imaging center,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 77182 69723,N/A,,,"XRQ5+92, Samsing Tea Garden, West Bengal 735223",734503,26.9885983,88.807189,ChIJ8SqWDQD54zkRAhyug9Cvi9M,https://www.google.com/maps/place/?q=place_id:ChIJ8SqWDQD54zkRAhyug9Cvi9M,part_329,2026-09-20 20:18:38
Sankalpo Clinic Berhampore,Clinics,Medical clinic,"Medical clinic, Diagnostic center",734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 96742 88448,N/A,4.4,,"Annada Enclave, 88, Pilkhana Rd, Ranibagan, Khagra, Berhampore, West Bengal 742101","Ranibagan, Khagra",24.1002396,88.2569936,ChIJzx9mK7h9-TkRpR4uK2KYwYQ,https://www.google.com/maps/place/?q=place_id:ChIJzx9mK7h9-TkRpR4uK2KYwYQ,part_329,2026-09-20 20:18:38
Ranibagan Medical Centre,Clinics,Doctor,Doctor,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",N/A,N/A,4.0,,"Ranibagan, Khagra, Berhampore, West Bengal 742101","Ranibagan, Khagra",24.099302299999998,88.2564057,ChIJ02x2T8V9-TkRH8zgrzdEEkw,https://www.google.com/maps/place/?q=place_id:ChIJ02x2T8V9-TkRH8zgrzdEEkw,part_329,2026-09-20 20:18:38
Dr. Arjun Nayak (Chamber),Clinics,Doctor,"Doctor, Health consultant",734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 90513 17519,https://illcure.co.in/,4.1,,"181, Basanta Babu Rd, near Kanchrapa High School, Kanchrapara Loco, Kanchrapara, West Bengal 743145",Kanchrapara Loco,22.949514399999998,88.4435373,ChIJdci1AwGV-DkRZWgTNREhjFw,https://www.google.com/maps/place/?q=place_id:ChIJdci1AwGV-DkRZWgTNREhjFw,part_329,2026-09-20 20:18:38
"Samsing,Health centre",Clinics,Community health center,Community health center,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",N/A,N/A,,,"XRQ5+5RC, Samsing Tea Garden, West Bengal 735223",734503,26.987944799999998,88.8095156,ChIJDSmxAaX54zkRwo5MBLw6GCk,https://www.google.com/maps/place/?q=place_id:ChIJDSmxAaX54zkRwo5MBLw6GCk,part_329,2026-09-20 20:18:38
Bhagirathi Medical Center,Clinics,Medical diagnostic imaging center,Medical diagnostic imaging center,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 91531 22096,N/A,4.4,,"Laldighi, Gora Bazar, Berhampore, West Bengal 742101","Laldighi, Gora Bazar",24.094870399999998,88.2553216,ChIJEUC87599-TkRvxQ9l-q1vnI,https://www.google.com/maps/place/?q=place_id:ChIJEUC87599-TkRvxQ9l-q1vnI,part_329,2026-09-20 20:18:38
Pathkind Labs,Clinics,Diagnostic center,"Diagnostic center, Blood testing service, HIV testing center, Laboratory, Medical Center, Medical laboratory, STD testing service",734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 94349 37196,https://nearby.pathkindlabs.com/pathkind-labs-kharagpur-kolkata-46495/home?utm_source=GBP,4.9,,"Malancha Main Rd, opposite Central Bank Kharida, Kharida, Bidhanpally, Kharagpur, West Bengal 721301","Kharida, Bidhanpally",22.345119999999998,87.30261,ChIJFRKhe7hFHToROj2mfR97dOE,https://www.google.com/maps/place/?q=place_id:ChIJFRKhe7hFHToROj2mfR97dOE,part_329,2026-09-20 20:18:38
Health & Holistic care,Clinics,Homeopath,Homeopath,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 93303 47559,N/A,5.0,,"45c, 45/C, Kankurgachi 2nd Ln, Scheme VI-M, Phoolbagan, Kankurgachi, Kolkata, West Bengal 700054","Scheme VI-M, Phoolbagan, Kankurgachi",22.579202,88.3887596,ChIJvYilKQB3AjoRVpfpCZFoN10,https://www.google.com/maps/place/?q=place_id:ChIJvYilKQB3AjoRVpfpCZFoN10,part_329,2026-09-20 20:18:38
Dr S Chatterjee Clinic,Clinics,Surgeon,Surgeon,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",N/A,N/A,4.8,,"C8FC+74F, Rabindra Nagar, Midnapore, West Bengal 721101",Rabindra Nagar,22.4231971,87.32028749999999,ChIJf18la0dbHToRnHAu1M-rMgk,https://www.google.com/maps/place/?q=place_id:ChIJf18la0dbHToRnHAu1M-rMgk,part_329,2026-09-20 20:18:38
RAKHI 4D ULTRASOUND & CHILD CARE CLINIC,Clinics,Doctor,Doctor,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 90027 17254,N/A,3.8,,"89M7+FGJ, Purulia, West Bengal 723101",734503,23.3337088,86.36376109999999,ChIJbY_GwGZ99jkRcfl_xZWnGXs,https://www.google.com/maps/place/?q=place_id:ChIJbY_GwGZ99jkRcfl_xZWnGXs,part_329,2026-09-20 20:18:38
Jholung Hospital,Clinics,Hospital,Hospital,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",N/A,N/A,4.7,,"Jhalong Bindu Rd, Jhalong, West Bengal 734503",734503,27.0398756,88.87438809999999,ChIJ25Z5v9r74zkRV3XvvEcKc3E,https://www.google.com/maps/place/?q=place_id:ChIJ25Z5v9r74zkRV3XvvEcKc3E,part_329,2026-09-20 20:18:39
Apollo Clinic Ghola,Clinics,Diagnostic center,Diagnostic center,734503,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Jaldhaka Hydel Project SO, Gairibas BO, Todaygaon BO",+91 90734 48222,https://www.apolloclinicghola.com/,4.8,840.0,"224/1, Barasat Rd, Ghola, Ward No-32, Kolkata, Panihati, West Bengal 700110","Ghola, Ward No-32",22.6970726,88.409323,ChIJZWiOTRyd-DkRirKjlqrdrMs,https://www.google.com/maps/place/?q=place_id:ChIJZWiOTRyd-DkRirKjlqrdrMs,part_329,2026-09-20 20:18:39
