business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vashist Furnitech,Modular Kitchen Manufacturer,Showroom,"Showroom, Appliance store, Chimney services, Furniture Manufacturer",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 99333 39007,http://www.vaastukitchen.com/,4.8,,"Kusum Vatika, Sevoke Rd, near Hotel Cendrella, Siliguri, West Bengal 734008",Chayan Para,26.7558372,88.4414247,ChIJPcRUH8lB5DkRfYUFPP7pg9w,https://www.google.com/maps/place/?q=place_id:ChIJPcRUH8lB5DkRfYUFPP7pg9w,part_329,2026-09-20 20:18:07
Kitchen Express,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Interior designer",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",N/A,https://allyunitygroup.com/,4.2,,"Shyam Decor Studio, Sevoke Rd, Ward 42, Salugara, Siliguri, West Bengal 734008","Ward 42, Salugara",26.7648713,88.44542709999999,ChIJ8fpWJjVB5DkRfdh57ITmrAY,https://www.google.com/maps/place/?q=place_id:ChIJ8fpWJjVB5DkRfdh57ITmrAY,part_329,2026-09-20 20:18:07
Maxx Furniture,Modular Kitchen Manufacturer,Manufacturer,"Manufacturer, Display stand manufacturer, Furniture Manufacturer, Hospital equipment and supplies, Kitchen furniture store, Laser Cutting Service Provider, Mechanical engineer, Metal industry suppliers, Plating service, Powder coating service",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 95640 09309,N/A,4.6,,"Velkipara, near Parbo Mohan Tea Garden, Siliguri, Binnaguri, West Bengal 735135",734501,26.7078848,88.4863286,ChIJmzyaU7xB5DkRZCnf9s18CRE,https://www.google.com/maps/place/?q=place_id:ChIJmzyaU7xB5DkRZCnf9s18CRE,part_329,2026-09-20 20:18:07
Ultrafresh Modular Solutions,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Cabinet store, Home improvement store, Interior designer, Furniture store, Kitchen remodeler",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 98326 61386,https://www.ultrafreshindia.com/,3.4,,"2nd Floor, Eastern Bypass Pass, Main Road, beside Forresta Banquets, Siliguri, West Bengal 734008",Don Bosco Colony,26.752015099999998,88.45309739999999,ChIJdQxoBR5B5DkRWO0h_kgR2sc,https://www.google.com/maps/place/?q=place_id:ChIJdQxoBR5B5DkRWO0h_kgR2sc,part_329,2026-09-20 20:18:07
Modular kitchen,Modular Kitchen Manufacturer,Modular home builder,Modular home builder,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",N/A,https://www.facebook.com/share/1RN6gw2TUi/,,,"Shanti Nagar, Siliguri, City, West Bengal 734006",Shanti Nagar,26.7036686,88.45928889999999,ChIJ1czG8BVB5DkRb0KL7qnRVhU,https://www.google.com/maps/place/?q=place_id:ChIJ1czG8BVB5DkRb0KL7qnRVhU,part_329,2026-09-20 20:18:07
Vijay Enterprise,Modular Kitchen Manufacturer,Corporate office,Corporate office,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 76792 83425,N/A,4.9,,"Shop No.6,1st Floor, Sevoke Rd, Ward 42, Salugara, Siliguri, West Bengal 734008","Ward 42, Salugara",26.7648661,88.4449899,ChIJAQAAVWdA5DkR80VdL__WYzI,https://www.google.com/maps/place/?q=place_id:ChIJAQAAVWdA5DkR80VdL__WYzI,part_329,2026-09-20 20:18:07
Sunrise Modular Kitchen,Modular Kitchen Manufacturer,Furniture maker,"Furniture maker, Buddhist temple, Furniture accessories supplier, Furniture wholesaler, Hindu temple, Interior Decorator, Interior designer, Kitchen remodeler, Modular home builder, Sofa store",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 80 4806 0931,https://www.sunrisemodularkitchen.com/,5.0,,"Shantai Complex, opposite PCMC Primary School, Kaspate Wasti, Wakad, Pimpri-Chinchwad, Maharashtra 411057","Kaspate Wasti, Wakad",18.5945222,73.7738184,ChIJsfxygDi5wjsRR5RcVRUXXUc,https://www.google.com/maps/place/?q=place_id:ChIJsfxygDi5wjsRR5RcVRUXXUc,part_329,2026-09-20 20:18:08
Highland Modular Kitchen & Interiors pvt Ltd,Modular Kitchen Manufacturer,Furniture maker,"Furniture maker, Countertop store, Interior designer, Kitchen furniture store, Kitchen remodeler, Modular home dealer",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 80 4275 4356,http://www.highlandmodularkitchens.com/,4.7,,"121/2, Bhagwan Nagar, Bhumkar Nagar, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411057","Bhagwan Nagar, Bhumkar Nagar, Wakad",18.6052844,73.7453623,ChIJC3RYBMm5wjsRTXB1CEdqZv8,https://www.google.com/maps/place/?q=place_id:ChIJC3RYBMm5wjsRTXB1CEdqZv8,part_329,2026-09-20 20:18:08
Best Kitchenette - Modular Kitchen & Home Furniture Nashik,Modular Kitchen Manufacturer,Kitchen furniture store,"Kitchen furniture store, Acrylic Dealer, Bedroom furniture store, Cabinet maker, Furniture Manufacturer, Furniture store, Furniture wholesaler, Interior designer, Modular home dealer",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 95790 51170,https://bestkitchenettes.com/,4.8,,"Best Kitchenette- golden days school, Kailas Nagar,Pawar Mala Aurangabad Road, Takli Rd, Nashik, Maharashtra 422003",Vaishnavi Park,19.9934193,73.823522,ChIJ1Sng-fSV3TsR4WboE5CfYQ8,https://www.google.com/maps/place/?q=place_id:ChIJ1Sng-fSV3TsR4WboE5CfYQ8,part_329,2026-09-20 20:18:08
"Kara Modular Kitchen , Furniture & Interior's",Modular Kitchen Manufacturer,Furniture Manufacturer,Furniture Manufacturer,734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 99221 11250,https://www.karamodularkitchen.com/,4.9,,"Shop No. 12, Silver Central Central Mall, Chikhali, Moshi, Shiv Rasta, 411062, near CNG Pump, below Sky Deck Hotel, Jadhav Wadi, Moshi, Pimpri-Chinchwad, Maharashtra 411062","Shram Safaly Cooperate Society, Jadhav Wadi, Moshi",18.6679884,73.82904119999999,ChIJXasdKi-3wjsRSVbmk1ecSww,https://www.google.com/maps/place/?q=place_id:ChIJXasdKi-3wjsRSVbmk1ecSww,part_329,2026-09-20 20:18:08
KK Modular Kitchen,Modular Kitchen Manufacturer,Kitchen remodeler,"Kitchen remodeler, Kitchen furniture store",734501,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bagrakote SO, Chanda Company BO",+91 99208 73515,https://kkmodularkitchen.com/,4.9,,"Municipal Building, Shop no.11, G South Building, Orbit Grand dhanmill naka, N.M. Joshi marg, Fitwala Rd, opp. G - ward, West, Mumbai, Maharashtra 400013","Saidham Nagar, West",19.0082988,72.83097819999999,ChIJ___Pp-vO5zsRfzcoOma_10s,https://www.google.com/maps/place/?q=place_id:ChIJ___Pp-vO5zsRfzcoOma_10s,part_329,2026-09-20 20:18:08
