business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Hari Showroom,Exporters,Jewelry Exporter,Jewelry Exporter,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",N/A,N/A,5.0,4.0,"Unnamed Road, Konnagar, Paresh Nagar, Ghatal, West Bengal 721212","Konnagar, Paresh Nagar",22.663176699999998,87.7332526,ChIJ5_gN3qsJ-DkRDQEN3GsUATs,https://www.google.com/maps/place/?q=place_id:ChIJ5_gN3qsJ-DkRDQEN3GsUATs,part_322,2026-09-20 20:19:16
Pakhira plywood center,Exporters,Plywood supplier,Plywood supplier,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",+91 97337 39098,N/A,5.0,1.0,"Konnagar, Kuspata, Ghatal, West Bengal 721212","Konnagar, Kuspata",22.6576408,87.7419106,ChIJ76npUwAJ-DkRBxEKyUt2dtE,https://www.google.com/maps/place/?q=place_id:ChIJ76npUwAJ-DkRBxEKyUt2dtE,part_322,2026-09-20 20:19:16
Aadvika Xportus,Exporters,Garment Exporter,"Garment Exporter, Handicraft Exporter, Import export company, Jewelry Exporter, Jute exporter, Leather Exporter",721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",+91 98325 60310,N/A,5.0,,"Ward-17, near Allhabad Bank, Kuspata, Ghatal, West Bengal 721212",Kuspata,22.6546593,87.73942249999999,ChIJVVVVVQAJ-DkRDoYauelrYO8,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVQAJ-DkRDoYauelrYO8,part_322,2026-09-20 20:19:17
নিউ ভারত লক্ষী বস্ত্রালয় (New bharat laxmi bastralay),Exporters,Garment Exporter,Garment Exporter,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",N/A,N/A,,,"MP3Q+VQ7, Kuspata, Ghatal, West Bengal 721212",Kuspata,22.6546593,87.73942249999999,ChIJPfvabAAJ-DkRQN2sV0qBCJw,https://www.google.com/maps/place/?q=place_id:ChIJPfvabAAJ-DkRQN2sV0qBCJw,part_322,2026-09-20 20:19:17
Vivekananda Enterprise,Exporters,Pharmaceuticals Exporter,Pharmaceuticals Exporter,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",N/A,N/A,,,"MP4V+Q5J, Kuspata, Ghatal, West Bengal 721212",Kuspata,22.6569727,87.74288609999999,ChIJcWcRt98J-DkR0RUvTPGADKs,https://www.google.com/maps/place/?q=place_id:ChIJcWcRt98J-DkR0RUvTPGADKs,part_322,2026-09-20 20:19:17
S.P. Dreses,Exporters,Garment Exporter,Garment Exporter,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",N/A,N/A,,,"MP6P+R8C, Konnagar, Paresh Nagar, Ghatal, West Bengal 721212","Konnagar, Paresh Nagar",22.662053099999998,87.7357664,ChIJJzKfjooJ-DkRnznWPNv-Yyk,https://www.google.com/maps/place/?q=place_id:ChIJJzKfjooJ-DkRnznWPNv-Yyk,part_322,2026-09-20 20:19:17
SB Clothing Line,Exporters,Garment Exporter,Garment Exporter,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",N/A,N/A,,,"Dreamland Nursing Home, Kuspata, Ghatal, West Bengal 721212",Kuspata,22.652932999999997,87.73544629999999,ChIJIZnO-akJ-DkRlK5rKpwZ1Cg,https://www.google.com/maps/place/?q=place_id:ChIJIZnO-akJ-DkRlK5rKpwZ1Cg,part_322,2026-09-20 20:19:17
Ganga Multi Service Communication,Exporters,Garment Exporter,Garment Exporter,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",+91 99324 84870,N/A,,,"MP6P+J64, Konnagar, Paresh Nagar, Ghatal, West Bengal 721212","Konnagar, Paresh Nagar",22.661524999999997,87.73556699999999,ChIJe6mpE_0I-DkR8ixkCs0FFGk,https://www.google.com/maps/place/?q=place_id:ChIJe6mpE_0I-DkR8ixkCs0FFGk,part_322,2026-09-20 20:19:17
new maa lakhhi vandar(muri),Exporters,Food & Beverage Exporter,Food & Beverage Exporter,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",N/A,N/A,,,"MP5Q+J9G, Konnagar, Paresh Nagar, Ghatal, West Bengal 721212","Konnagar, Paresh Nagar",22.6590581,87.7384627,ChIJ6_4SDQAJ-DkRmg4JfDyQOjw,https://www.google.com/maps/place/?q=place_id:ChIJ6_4SDQAJ-DkRmg4JfDyQOjw,part_322,2026-09-20 20:19:17
Das Blouse centre,Exporters,Garment Exporter,Garment Exporter,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",N/A,N/A,,,"MP8J+52X, Unnamed Road, Gombhir Nagar, Ghatal, West Bengal 721212",Gombhir Nagar,22.6654929,87.7301167,ChIJ08uP7-QI-DkRXOBTRDH2oFk,https://www.google.com/maps/place/?q=place_id:ChIJ08uP7-QI-DkRXOBTRDH2oFk,part_322,2026-09-20 20:19:17
Khukumoni Bastralaya,Exporters,Garment Exporter,Garment Exporter,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",N/A,N/A,,,"MPQM+98V, Ramchandrapur, Ghatal, West Bengal 721212",721212,22.688497299999998,87.73328459999999,ChIJb_1AEwAJ-DkRXP_1huw_IM4,https://www.google.com/maps/place/?q=place_id:ChIJb_1AEwAJ-DkRXP_1huw_IM4,part_322,2026-09-20 20:19:17
কাদেরী লাইফ স্টাইল রেডিমেড সেন্টার,Exporters,Garment Exporter,Garment Exporter,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",N/A,N/A,5.0,,"MRCV+X9Q, Rajhati, West Bengal 712417",721212,22.672470699999998,87.8434808,ChIJv5PmCVYL-DkRnpepPk4orXk,https://www.google.com/maps/place/?q=place_id:ChIJv5PmCVYL-DkRnpepPk4orXk,part_322,2026-09-20 20:19:17
Rana Singing Bowl Centre,Exporters,Exporter,"Exporter, Manufacturer, Wholesaler",721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",+91 81452 14918,http://www.ranasingingbowlcentre.com/,4.5,37.0,"RJG6+FFG, Ramjibanpur, West Bengal 721242",721212,22.8261875,87.6111875,ChIJkyNUA5sc-DkRFFwtydJgPbE,https://www.google.com/maps/place/?q=place_id:ChIJkyNUA5sc-DkRFFwtydJgPbE,part_322,2026-09-20 20:19:17
