business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PADMASHREE BOUTIQUE,Readymade Garments Shop,Clothing store,Clothing store,721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO,+91 74072 48426,https://padmashree-boutique.grexa.site/,5.0,,"House no, Hijli Cooperative, P-276, SOCIETY, Hijli Co-Operative Society, Ghagra, Kharagpur, West Bengal 721306","SOCIETY, Hijli Co-Operative Society",22.3065617,87.2950803,ChIJSy1gFwBBHToR3IqjZp5R1KY,https://www.google.com/maps/place/?q=place_id:ChIJSy1gFwBBHToR3IqjZp5R1KY,part_322,2026-09-20 20:23:59
New Malati Readymade Centre,Readymade Garments Shop,Clothing store,Clothing store,721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO,N/A,N/A,4.6,,"Talbagicha, Kharagpur, West Bengal 721306",Talbagicha,22.313433399999997,87.28548219999999,ChIJf5ISJMtDHToRXROybO94oQs,https://www.google.com/maps/place/?q=place_id:ChIJf5ISJMtDHToRXROybO94oQs,part_322,2026-09-20 20:23:59
Ridhi cloth store,Readymade Garments Shop,Clothing store,Clothing store,721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO,N/A,N/A,4.7,,"Biswarangan nagar, Indian Institute of Technology, Kharagpur, hijli, Kharagpur, West Bengal 721302",721302,22.324329,87.306912,ChIJGcydIBBEHToRRYXKyBAAmG0,https://www.google.com/maps/place/?q=place_id:ChIJGcydIBBEHToRRYXKyBAAmG0,part_322,2026-09-20 20:23:59
Munmun Blouse And Cloth Centre,Readymade Garments Shop,Women's clothing store,Women's clothing store,721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO,+91 97336 34565,N/A,,,"8843+HVW, Prembazar, Kharagpur, West Bengal 721306",Prembazar,22.3064887,87.30470509999999,ChIJ9cd-mqtGHToRoxUtAjHJ8-o,https://www.google.com/maps/place/?q=place_id:ChIJ9cd-mqtGHToRoxUtAjHJ8-o,part_322,2026-09-20 20:23:59
Cloth,Readymade Garments Shop,Clothing store,Clothing store,721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO,N/A,N/A,,,"878M+325, Talbagicha, Kharagpur, West Bengal 721306",Talbagicha,22.315131599999997,87.28259729999999,ChIJx6wVvaJDHToRfEmz2EkO7ck,https://www.google.com/maps/place/?q=place_id:ChIJx6wVvaJDHToRfEmz2EkO7ck,part_322,2026-09-20 20:23:59
Ridhi Cloth,Readymade Garments Shop,Clothing store,Clothing store,721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO,N/A,N/A,,,"88F5+MJ7, Unnamed Road, Kharagpur, West Bengal 721302",Kharagpur,22.3241715,87.3090406,ChIJ4XMPeA9EHToRrHBcWx6h4sI,https://www.google.com/maps/place/?q=place_id:ChIJ4XMPeA9EHToRrHBcWx6h4sI,part_322,2026-09-20 20:23:59
Moni Bastralaya,Readymade Garments Shop,Clothing store,Clothing store,721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO,+91 93398 78587,N/A,5.0,6.0,"Bus Stand, Naya, Pingla, West Bengal 721140",721302,22.2681085,87.6165266,ChIJe8FCfpi1AjoRTx7f8MKabto,https://www.google.com/maps/place/?q=place_id:ChIJe8FCfpi1AjoRTx7f8MKabto,part_322,2026-09-20 20:24:01
Manisha Fashion,Readymade Garments Shop,Clothing store,Clothing store,721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO,+91 96092 01920,N/A,4.4,5.0,"C89H+29V, Barabazar Rd, Midnapore, West Bengal 721101",721302,22.4176242,87.3284256,ChIJWdozjTBbHToRCKNwLQ7ZGmI,https://www.google.com/maps/place/?q=place_id:ChIJWdozjTBbHToRCKNwLQ7ZGmI,part_322,2026-09-20 20:24:01
Bombay Collection,Readymade Garments Shop,Clothing wholesaler,"Clothing wholesaler, Clothing supplier, Wholesale market, Wholesaler",721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO,+91 92077 19767,https://bombaycollection.in/bombay-collection-thrissur/,4.7,1216.0,"Nehru Bazar, Near Jaihind Market, Nayarangadi, Thrissur, Keralam 680001","Nehru Bazar, Kuruppam, Thekkinkadu Maidan",10.5218779,76.2162879,ChIJaUfkHknupzsRDSPFzfyc7Hk,https://www.google.com/maps/place/?q=place_id:ChIJaUfkHknupzsRDSPFzfyc7Hk,part_322,2026-09-20 20:24:01
Gurudev Garments (Usha Nagar),Readymade Garments Shop,Men's clothing store,"Men's clothing store, Clothing store, Clothing wholesaler, Designer Clothing Store, Women's clothing store",721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO,+91 98935 79147,https://g.page/Gurudevgarments,4.5,310.0,"265, Ranjeet Hanuman Rd, Usha Nagar, Indore, Madhya Pradesh 452009",Usha Nagar,22.6985609,75.8348887,ChIJdRRSurT9YjkRabSNh_SEWhk,https://www.google.com/maps/place/?q=place_id:ChIJdRRSurT9YjkRabSNh_SEWhk,part_322,2026-09-20 20:24:01
