business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BTech Mobile Wala,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 89670 38019,http://www.btechmobilewala.shop/,5.0,6.0,"Rasikganj Road, Daspur, West Bengal 721211",721211,22.6113677,87.72198019999999,ChIJUWmMtDoJ-DkRLfjWuQmlTcc,https://www.google.com/maps/place/?q=place_id:ChIJUWmMtDoJ-DkRLfjWuQmlTcc,part_322,2026-09-20 20:18:28
System Network,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 99321 42421,N/A,3.9,23.0,"HQQ3+GPQ, Sagarpur Bazar, Sagarpur,Ghatal, Daspur, West Bengal 721211",721211,22.5888463,87.75435399999999,ChIJL_YIqWmnAjoRYKlSAyB1m5o,https://www.google.com/maps/place/?q=place_id:ChIJL_YIqWmnAjoRYKlSAyB1m5o,part_322,2026-09-20 20:18:28
Maa Mansa Mobile Center,Mobile Phone Sales and Repair,Electronics store,"Electronics store, Grocery delivery service",721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 99335 40559,N/A,4.8,5.0,"West BengalNear By, Ratneswarbati Vidyasagar Primary School, Ghatal, West Bengal 721212",721211,22.6490072,87.7839513,ChIJc7iLqy0K-DkRfVkNA0Dgriw,https://www.google.com/maps/place/?q=place_id:ChIJc7iLqy0K-DkRfVkNA0Dgriw,part_322,2026-09-20 20:18:28
Maity Mobile,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 96798 81058,N/A,4.6,11.0,"Jankapur-Mohanpur Rd, near Mohanpur Genarel Degree College, Shankapara, West Bengal 721436",721211,21.872707899999998,87.42547789999999,ChIJRRmqkTopHToRuum1ImiTj0Q,https://www.google.com/maps/place/?q=place_id:ChIJRRmqkTopHToRuum1ImiTj0Q,part_322,2026-09-20 20:18:28
Surajit Mobile,Mobile Phone Sales and Repair,Store,Store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 97337 95712,N/A,4.6,15.0,"near Daspur Post Office, Podampur, Daspur, West Bengal 721211",Podampur,22.6089652,87.7219543,ChIJ7QvPTSEI-DkREvf6MbXV0QY,https://www.google.com/maps/place/?q=place_id:ChIJ7QvPTSEI-DkREvf6MbXV0QY,part_322,2026-09-20 20:18:28
Mobile Hub,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 91530 05001,N/A,3.8,83.0,"C8C8+C9R, Keranitola, Midnapore, West Bengal 721101",Keranitola,22.421118999999997,87.315901,ChIJ_f__z0VbHToR0eFQYBSv-50,https://www.google.com/maps/place/?q=place_id:ChIJ_f__z0VbHToR0eFQYBSv-50,part_322,2026-09-20 20:18:28
L.N. Mobile,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Store",721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 94348 08050,N/A,4.0,302.0,"College Rd, Mahishadal, Garh Kamalpur, West Bengal 721628",721211,22.187721,87.9852736,ChIJ2Rd1UQ7tAjoRY35xbnQT3lQ,https://www.google.com/maps/place/?q=place_id:ChIJ2Rd1UQ7tAjoRY35xbnQT3lQ,part_322,2026-09-20 20:18:28
SKB TRADERS a complete mobile shop,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Mobile phone repair shop",721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 97341 24125,N/A,4.9,,"6PQ4+R59 More, Aranghata - Duttaphulia Rd, opp. Boys School, Duttapulia, West Bengal 741504",721211,23.2396358,88.7055797,ChIJMVWgI4DR-DkRfyfaC4p1n-8,https://www.google.com/maps/place/?q=place_id:ChIJMVWgI4DR-DkRfyfaC4p1n-8,part_322,2026-09-20 20:18:28
MOBILE WORLD,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Battery Wholesaler, Cell phone accessory store",721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 95471 11213,N/A,4.9,,"Bolpur, West Bengal 731204",721211,23.6650705,87.69482839999999,ChIJ4TyDYInd-TkRDBqtUIyIRgg,https://www.google.com/maps/place/?q=place_id:ChIJ4TyDYInd-TkRDBqtUIyIRgg,part_322,2026-09-20 20:18:28
Akash Electronics,Mobile Phone Sales and Repair,Electronics store,Electronics store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 233 222 2535,N/A,3.5,10.0,"GR9H+M5C, Joteghanashyam, West Bengal 721153",721211,22.519174,87.8278035,ChIJcSUXCI-hAjoRBw-nPLCbmfQ,https://www.google.com/maps/place/?q=place_id:ChIJcSUXCI-hAjoRBw-nPLCbmfQ,part_322,2026-09-20 20:18:29
Ananya Infotech (mobile sales & service center),Mobile Phone Sales and Repair,Cell phone store,Cell phone store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 97358 82760,N/A,5.0,,"327/2G.T ROAD, Belur, Howrah, West Bengal 711201","Belur, Bally",22.637483,88.35135299999999,ChIJcTA8luCd-DkRmX-LNmzoYPU,https://www.google.com/maps/place/?q=place_id:ChIJcTA8luCd-DkRmX-LNmzoYPU,part_322,2026-09-20 20:18:30
Sindhu Mobile,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 77971 93419,N/A,3.8,,"3VR5+C58, Contai - Nandakumar Rd, Math Chandipur, West Bengal 721659",721211,22.091147799999998,87.85798919999999,ChIJXQyYCdfpAjoRKBm1mxGeYrk,https://www.google.com/maps/place/?q=place_id:ChIJXQyYCdfpAjoRKBm1mxGeYrk,part_322,2026-09-20 20:18:30
Manashi Mobile,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",N/A,N/A,4.4,,"QPHV+9R4, Srirupa Rd, Damodar Pur, Kanthi, Contai, West Bengal 721401","Damodar Pur, Kanthi",21.778392399999998,87.74458229999999,ChIJzR2xqPEmAzoR5zLH27ug7lE,https://www.google.com/maps/place/?q=place_id:ChIJzR2xqPEmAzoR5zLH27ug7lE,part_322,2026-09-20 20:18:30
[OPPO Exclusive Showroom] Station Road,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO",+91 1800 103 2777,http://www.oppo.com/,3.9,,"Holding No - 927/A Dist. - Paschim Medinipur P.S. - Kotwali Mouza Sekhpura J.L. No. - 172, Midnapore, West Bengal 721101",721211,22.4215943,87.3132771,ChIJH-8IrVNbHToRYQehF3QHwIs,https://www.google.com/maps/place/?q=place_id:ChIJH-8IrVNbHToRYQehF3QHwIs,part_322,2026-09-20 20:18:30
