business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ACCESS POINT AND XEROX,Xerox and Photostat Center,Internet cafe,Internet cafe,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89007 66759,http://accesspointxerox.blogspot.com/,3.9,13.0,"PGJ7+CMG, SONAR BANGLA, near by D.C. JEWELLERS, word 5, Gosaibazar, Gach Sitala, Chandrakona, West Bengal 721201","word 5, Gosaibazar, Gach Sitala",22.7311065,87.51423659999999,ChIJL8GrFDb59zkRK3_of4CiJ3w,https://www.google.com/maps/place/?q=place_id:ChIJL8GrFDb59zkRK3_of4CiJ3w,part_322,2026-09-20 20:17:42
HAREKRISHNA STATIONARY AND CYBER STUDIO,Xerox and Photostat Center,Internet cafe,Internet cafe,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99335 11088,N/A,4.3,44.0,"Sailara, West Bengal 721201",721201,22.6965999,87.3839328,ChIJUXVx6jj79zkRpA01tS0elUk,https://www.google.com/maps/place/?q=place_id:ChIJUXVx6jj79zkRpA01tS0elUk,part_322,2026-09-20 20:17:42
XEROX CENTRE & CYBER WORLD,Xerox and Photostat Center,Internet cafe,Internet cafe,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99329 17323,N/A,4.5,75.0,"Lapuria, Garhbeta, West Bengal 721127",721201,22.8574926,87.3524381,ChIJX9Vs3kLu9zkRhSScN40TFIY,https://www.google.com/maps/place/?q=place_id:ChIJX9Vs3kLu9zkRhSScN40TFIY,part_322,2026-09-20 20:17:42
Chowdhury Online & Xerox Centre,Xerox and Photostat Center,Internet cafe,Internet cafe,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98746 79051,N/A,,,"Jara, West Bengal 721232",721201,22.7613649,87.5854617,ChIJBxXmbOID-DkR_CBeda31z1Y,https://www.google.com/maps/place/?q=place_id:ChIJBxXmbOID-DkR_CBeda31z1Y,part_322,2026-09-20 20:17:42
NAMITA INTERNET AND XEROX CENTER,Xerox and Photostat Center,Internet cafe,Internet cafe,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 90027 64788,N/A,4.9,14.0,"BENGAI, ROAD, Kamarpukur, West Bengal 712612",721201,22.8959808,87.6603943,ChIJVeAEPhcZ-DkR7SSKaBL50Rk,https://www.google.com/maps/place/?q=place_id:ChIJVeAEPhcZ-DkR7SSKaBL50Rk,part_322,2026-09-20 20:17:42
CURIOSITY (CSC Center & NSDL Pan Branch Office),Xerox and Photostat Center,Internet cafe,Internet cafe,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 74079 44486,https://www.facebook.com/profile.php?id=100066970393363,4.5,13.0,"VILL-KUAPUR,POST-KUAPUR.PS, DIST, Chandrakona, Kuapur, West Bengal 721201",Pachkhuri,22.692097699999998,87.5111763,ChIJ5dVwxxH_9zkR_cZSdrb_ACQ,https://www.google.com/maps/place/?q=place_id:ChIJ5dVwxxH_9zkR_cZSdrb_ACQ,part_322,2026-09-20 20:17:42
Modal Online Digital Xerox,Xerox and Photostat Center,Computer support and services,"Computer support and services, Service establishment",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 83920 14446,N/A,4.2,40.0,"Modal Online Digital Xerox, 721201, India",721201,22.8973668,87.3618544,ChIJP0IJflbk9zkR-vDpI4TaRO8,https://www.google.com/maps/place/?q=place_id:ChIJP0IJflbk9zkR-vDpI4TaRO8,part_322,2026-09-20 20:17:42
Xerox Center,Xerox and Photostat Center,Business center,Business center,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,3.3,3.0,"opposite Garhbeta College, Gangani, West Bengal 721127",721201,22.850754499999997,87.3433695,ChIJ3YXcVlju9zkRCoVhGc587BU,https://www.google.com/maps/place/?q=place_id:ChIJ3YXcVlju9zkRCoVhGc587BU,part_322,2026-09-20 20:17:42
Sourav Xerox,Xerox and Photostat Center,Print shop,Print shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 96099 36615,N/A,4.5,158.0,"Sourav Xerox, Midnapore Railway Station Rd, Midnapore, West Bengal 721101",721201,22.42511,87.3086872,ChIJ7T8SeVxbHToRefNY5vhfiA0,https://www.google.com/maps/place/?q=place_id:ChIJ7T8SeVxbHToRefNY5vhfiA0,part_322,2026-09-20 20:17:43
PRINT & XEROX,Xerox and Photostat Center,Print shop,Print shop,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 82404 49636,https://print--xerox-81678.store.shoopy.in/,5.0,5.0,"181 GREENWOOD, Sonarpur Station Rd, opposite BIJOY KRISHNA ASHRAM, Kamalgazi, Narendrapur, Kolkata, Rajpur Sonarpur, West Bengal 700103","Kamalgazi, Narendrapur",22.4466505,88.3944733,ChIJ1aXSoUFxAjoRdk5zhnZ2-Dk,https://www.google.com/maps/place/?q=place_id:ChIJ1aXSoUFxAjoRdk5zhnZ2-Dk,part_322,2026-09-20 20:17:43
