business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gram Swaraj Sangha Khadi Bhandar,Handloom and Khadi Store,Clothing store,Clothing store,713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO",+91 3242 250 664,N/A,4.6,11.0,"63Q7+MG4, School Danga, Bankura, West Bengal 722101",School Danga,23.2391328,87.06382289999999,ChIJBwAAcF-v9zkR7J4pDSxWS3Q,https://www.google.com/maps/place/?q=place_id:ChIJBwAAcF-v9zkR7J4pDSxWS3Q,part_321,2026-09-20 20:19:54
Khadi India,Handloom and Khadi Store,Clothing store,Clothing store,713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO",+91 89455 27749,N/A,4.4,12.0,"74,B., Bonbehari Sen Rd, Khagra, Berhampore, West Bengal 742103",Khagra,24.110789999999998,88.2489208,ChIJ-4-8W-B9-TkR0zdbGJz5HUQ,https://www.google.com/maps/place/?q=place_id:ChIJ-4-8W-B9-TkR0zdbGJz5HUQ,part_321,2026-09-20 20:19:54
Bankura Handlooms,Handloom and Khadi Store,Clothing store,Clothing store,713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO",+91 94345 83319,N/A,4.3,24.0,"12, Subhas Road(Chawk Bazar), Opposite Municipality Market Complex Gate No.2, Bankura, West Bengal 722101",Bara Bazar,23.234407899999997,87.0685342,ChIJG3ZFlIyl9zkRGnSRICSZkbw,https://www.google.com/maps/place/?q=place_id:ChIJG3ZFlIyl9zkRGnSRICSZkbw,part_321,2026-09-20 20:19:54
Khadi Gramodyog Bhaban,Handloom and Khadi Store,Clothing store,Clothing store,713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO",N/A,N/A,5.0,2.0,"Ghoradhara, Jhargram, West Bengal 721507",Ghoradhara,22.4469413,87.0054107,ChIJm-FkbsN7HToRZIkiSL8GmTw,https://www.google.com/maps/place/?q=place_id:ChIJm-FkbsN7HToRZIkiSL8GmTw,part_321,2026-09-20 20:19:54
Diamond Silk Khadi Society,Handloom and Khadi Store,Clothing store,Clothing store,713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO",+91 70446 30019,N/A,4.4,22.0,"Diamond Khadi Ln, Sujapur, West Bengal 732206",713519,24.9139621,88.0873067,ChIJeZq8o7X4-jkR-HSOlw-wRgI,https://www.google.com/maps/place/?q=place_id:ChIJeZq8o7X4-jkR-HSOlw-wRgI,part_321,2026-09-20 20:19:55
Khadi Niketan,Handloom and Khadi Store,Clothing store,Clothing store,713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO",+91 33 2455 5670,N/A,4.3,58.0,"36C, Ashutosh Mukherjee Rd, Patuapara, Bhowanipore, Kolkata, West Bengal 700025","Patuapara, Bhowanipore",22.5344966,88.3458757,ChIJW8sL1j53AjoR1JLaE_UG-t4,https://www.google.com/maps/place/?q=place_id:ChIJW8sL1j53AjoR1JLaE_UG-t4,part_321,2026-09-20 20:19:56
New Khadi Niketan,Handloom and Khadi Store,Clothing store,Clothing store,713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO",+91 94332 65777,N/A,4.5,25.0,"105B, Near Priya Cinema, Ballygunge Gardens, Rash Behari Ave, Ballygunge, Kolkata, West Bengal 700029","Manoharpukur, Ballygunge",22.5180665,88.35538989999999,ChIJaVl_U9R2AjoRHWnAHgJvElI,https://www.google.com/maps/place/?q=place_id:ChIJaVl_U9R2AjoRHWnAHgJvElI,part_321,2026-09-20 20:19:56
West Bengal Khadi & Village Industries Board,Handloom and Khadi Store,Government office,Government office,713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO",+91 33 2213 0304,http://wbkvib.org.in/,4.5,,"1st Floor, 12, Binoy Badal Dinesh Bag E, Lal Dighi, Lal Bazar, Kolkata, West Bengal 700001","Lal Dighi, Lal Bazar",22.572570199999998,88.3509615,ChIJ1fzLq6V3AjoRMVy_pXp-LWc,https://www.google.com/maps/place/?q=place_id:ChIJ1fzLq6V3AjoRMVy_pXp-LWc,part_321,2026-09-20 20:19:57
Simlapal Khadi Office (সিমলাপাল খাদি অফিস),Handloom and Khadi Store,State government office,State government office,713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO",N/A,https://bankura.gov.in/khadi-village-industries/,5.0,,"W3J9+XFV, Suknabad, West Bengal 722151",713519,22.932489999999998,87.0686688,ChIJ-adMEIbH9zkR-0BymMIBKh0,https://www.google.com/maps/place/?q=place_id:ChIJ-adMEIbH9zkR-0BymMIBKh0,part_321,2026-09-20 20:19:57
Basabi Terracotta Centre,Handloom and Khadi Store,Handicrafts Wholesaler,Handicrafts Wholesaler,713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO",N/A,N/A,3.7,,"Dalamadol Road, Dalmadal Para, Bishnupur, West Bengal 722122",Dalmadal Para,23.0643601,87.3213629,ChIJeSDyu2GT9zkRG9K-Zr5K5Bk,https://www.google.com/maps/place/?q=place_id:ChIJeSDyu2GT9zkRG9K-Zr5K5Bk,part_321,2026-09-20 20:19:57
