business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ASHTAK SECURITY SERVICES PRIVATE LIMITED,Security Guard Agency,Security guard service,"Security guard service, Border guard, Security service",722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO",+91 91260 65869,N/A,4.8,,"CA/19 Ambedkar Sarani, Ambuja, City Center, Durgapur, West Bengal 713216",City Center,23.541622699999998,87.3058976,ChIJGZXAe1tx9zkR_ku2EZcRePM,https://www.google.com/maps/place/?q=place_id:ChIJGZXAe1tx9zkR_ku2EZcRePM,part_325,2026-09-20 20:19:13
Integrated Security Services,Security Guard Agency,Security guard service,Security guard service,722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO",+91 99320 17487,N/A,4.4,,"60, Preetylata Wadedar Sarani, SAIL Co-operative, City Center, Durgapur, West Bengal 713216","SAIL Co-operative, City Center",23.5463994,87.30523,ChIJubGOnv5x9zkRT620z6MJ50c,https://www.google.com/maps/place/?q=place_id:ChIJubGOnv5x9zkRT620z6MJ50c,part_325,2026-09-20 20:19:13
Perfect Security Service,Security Guard Agency,Security service,Security service,722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO",+91 99335 50681,N/A,2.2,,"J.L. - 85, Mrityunjay Housing Complex, IIT Aambagan, Durgapur, West Bengal 713212","Mritunjoy Housing Complex, Industrial Area",23.504035599999998,87.3490372,ChIJNa6ky1dw9zkRXOE_ix6jEiM,https://www.google.com/maps/place/?q=place_id:ChIJNa6ky1dw9zkRXOE_ix6jEiM,part_325,2026-09-20 20:19:13
"SIS Limited, Durgapur - Branch Office",Security Guard Agency,Security guard service,"Security guard service, Cleaning Services, Computer security service, Intelligence Agency, Logistics service, Pest control service, Security service, Security system supplier",722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO",N/A,https://sisindia.com/,4.2,,"1ST FLOOR, UCP 036, opp. Banerjee Inn hotel, Bengal Ambuja Housing Complex, City Center, Durgapur, West Bengal 713212","Bengal Ambuja Housing Complex, City Center",23.4977472,87.3623135,ChIJ0dfyukxx9zkRnwNsQGLLyF8,https://www.google.com/maps/place/?q=place_id:ChIJ0dfyukxx9zkRnwNsQGLLyF8,part_325,2026-09-20 20:19:13
F3 Security & Facility Services,Security Guard Agency,Corporate office,"Corporate office, Used truck dealer",722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO",+91 89678 94658,N/A,3.4,,"Urvashi Complex, RA - 8, Bengal Ambuja St, Non-Company Housing Estate, City Center, Durgapur, West Bengal 713216","Non-Company Housing Estate, City Center",23.540657,87.30408109999999,ChIJh596UYNx9zkR7LrE07QQsco,https://www.google.com/maps/place/?q=place_id:ChIJh596UYNx9zkR7LrE07QQsco,part_325,2026-09-20 20:19:13
Security Guard Office,Security Guard Agency,Security guard service,Security guard service,722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO",+91 80164 97990,N/A,3.1,,"G89W+GJ9, Bidhannagar, Durgapur, West Bengal 713212",Bidhannagar,23.5187869,87.3466143,ChIJ_1chnE5w9zkR2DxoLFGS6Sg,https://www.google.com/maps/place/?q=place_id:ChIJ_1chnE5w9zkR2DxoLFGS6Sg,part_325,2026-09-20 20:19:13
SahasiDAXsecurity Solutions pvt Ltd,Security Guard Agency,Security service,Security service,722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO",N/A,N/A,5.0,,"2nd Floor, Maa Shitala Apartment, Station Bazar Road, Purbachal, Industrial Area, Durgapur, NetajiColony, West Bengal 713201","Purbachal, Industrial Area",23.496549299999998,87.3219689,ChIJuQenbwBx9zkRIUcvTxbASZs,https://www.google.com/maps/place/?q=place_id:ChIJuQenbwBx9zkRIUcvTxbASZs,part_325,2026-09-20 20:19:13
Balaji security agency,Security Guard Agency,Security guard service,Security guard service,722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO",N/A,N/A,3.0,,"G8MR+45R, Mahalaxmi Park Rd, Jharna Pally, Kaliganj, Durgapur, West Bengal 713206","Jharna Pally, Kaliganj",23.5328743,87.3404018,ChIJv4CXFZpx9zkR7tif8FnaVs4,https://www.google.com/maps/place/?q=place_id:ChIJv4CXFZpx9zkR7tif8FnaVs4,part_325,2026-09-20 20:19:13
Combat security sarvice,Security Guard Agency,Security guard service,Security guard service,722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO",N/A,N/A,,,"Durgapur 12, Durgapur, Saharjora, West Bengal 722202",722202,23.4178367,87.2518824,ChIJUZtLXMB19zkRiHDYbeF-Ovc,https://www.google.com/maps/place/?q=place_id:ChIJUZtLXMB19zkRiHDYbeF-Ovc,part_325,2026-09-20 20:19:13
Tiger Security Services,Security Guard Agency,Security service,Security service,722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO",+91 92346 87089,N/A,4.0,,"Leonov Path, Colony More, Bang, Bidhannagar, Durgapur, West Bengal 713212","Bang, Bidhannagar",23.515132599999998,87.3539206,ChIJU3vX4cFx9zkRqI2cTsDnbk8,https://www.google.com/maps/place/?q=place_id:ChIJU3vX4cFx9zkRqI2cTsDnbk8,part_325,2026-09-20 20:19:14
