business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
South Indian Food,South Indian Restaurant,Indian restaurant,Indian restaurant,723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",N/A,N/A,4.0,2,"52XW+53V, Jhalda - Baghmundi Rd, Baghmundi, West Bengal 723152",723143,23.1978471,86.0450862,ChIJK99eCADP9TkRoSU24rH6rEA,https://www.google.com/maps/place/?q=place_id:ChIJK99eCADP9TkRoSU24rH6rEA,part_325,2026-09-20 20:34:17
Madrasi South Indian Food,South Indian Restaurant,South Indian restaurant,South Indian restaurant,723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",+91 75494 44800,N/A,4.9,14,"Tank Rd, SNP Area, Mango, Jamshedpur, Jharkhand 831001","SNP Area, Mango",22.8048064,86.2050368,ChIJ7VCccA_j9TkRAAAAMGuYDmM,https://www.google.com/maps/place/?q=place_id:ChIJ7VCccA_j9TkRAAAAMGuYDmM,part_325,2026-09-20 20:34:17
RSD Food & Beverages,South Indian Restaurant,South Indian restaurant,South Indian restaurant,723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",+91 88628 51888,N/A,4.8,78,"near Stream Digital, Mango, Jamshedpur, Jharkhand 831012",Mango,22.8367647,86.2285192,ChIJ-yeViA7j9TkREdt8mAQCaPk,https://www.google.com/maps/place/?q=place_id:ChIJ-yeViA7j9TkREdt8mAQCaPk,part_325,2026-09-20 20:34:17
Madras Tawa,South Indian Restaurant,South Indian restaurant,South Indian restaurant,723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",N/A,N/A,5.0,17,"51, TC Colony, Kadma, Jamshedpur, Jharkhand 831005","TC Colony, Kadma",22.804174,86.168504,ChIJga1tMwDl9TkR7CMLtcV6fvs,https://www.google.com/maps/place/?q=place_id:ChIJga1tMwDl9TkR7CMLtcV6fvs,part_325,2026-09-20 20:34:17
"SHRI VANAKKAM-South India, Chinese(Veg)",South Indian Restaurant,Family restaurant,Family restaurant,723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",+91 91621 28807,N/A,4.3,40,"Ground Floor H, 1839, Tata Kandra Rd, near Ashiana More, beside HP petrol Pump, Housing Colony, Adityapur, Jamshedpur, Jharkhand 832109","Housing Colony, Adityapur",22.7902019,86.152641,ChIJ8Yx1dQDl9TkR3RrD7RWhGP4,https://www.google.com/maps/place/?q=place_id:ChIJ8Yx1dQDl9TkR3RrD7RWhGP4,part_325,2026-09-20 20:34:17
Hotel Suravi,South Indian Restaurant,Indian restaurant,Indian restaurant,723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",+91 95472 79727,N/A,3.8,52,"Jaiswal General Store, NH 18 opp, Balarampur, West Bengal 723143",723143,23.0859772,86.2170079,ChIJX4Vdv-LY9TkRgDlKF9lgVck,https://www.google.com/maps/place/?q=place_id:ChIJX4Vdv-LY9TkRgDlKF9lgVck,part_325,2026-09-20 20:34:17
SOUTH INDIAN FOOD (SHAKTI IDLY),South Indian Restaurant,South Indian restaurant,South Indian restaurant,723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",+91 98318 02040,N/A,4.5,215,"Bus Stop, 70/1, Harish Mukherjee Road, School Row, Kolkata, West Bengal 700025","Patuapara, Bhowanipore",22.531505,88.3433168,ChIJ61FVQUt3AjoRrC9e0NK_9Mo,https://www.google.com/maps/place/?q=place_id:ChIJ61FVQUt3AjoRrC9e0NK_9Mo,part_325,2026-09-20 20:34:18
South indian cafe,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Vegetarian restaurant",723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",+91 87777 40933,N/A,4.4,17,"206B, Shyama Prasad Mukherjee Rd, Rabindra Sarobar Metro, Mudiali, Kalighat, Kolkata, West Bengal 700026","Rabindra Sarobar Metro, Mudiali, Kalighat",22.5090449,88.345309,ChIJ46TJxTRxAjoRhXMPKB9_Ri0,https://www.google.com/maps/place/?q=place_id:ChIJ46TJxTRxAjoRhXMPKB9_Ri0,part_325,2026-09-20 20:34:18
South Indian Restaurant,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant, Kerala restaurant, Restaurant, Vegetarian restaurant",723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",+91 94321 49579,N/A,4.0,1814,"Fazlul Haq Sarani, 22/A, Jhowtala Rd, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017","Lower Range, Beck Bagan, Ballygunge",22.5403232,88.36512379999999,ChIJe6yzIVN2AjoRERcPslMGfbo,https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoRERcPslMGfbo,part_325,2026-09-20 20:34:18
Dosa King & Hong Kong,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Chinese restaurant",723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",+91 70700 96528,N/A,4.1,1631,"No. 94, Om Plaza, Road No. 2, beside Subway, opp. Hotel Sonet, Contractors Area, Bistupur, Jamshedpur, Jharkhand 831001","Contractors Area, Bistupur",22.798181,86.17984969999999,ChIJUXkoemPj9TkRdgLz6wFeex0,https://www.google.com/maps/place/?q=place_id:ChIJUXkoemPj9TkRdgLz6wFeex0,part_325,2026-09-20 20:34:19
Gopal Dosa,South Indian Restaurant,South Indian restaurant,"South Indian restaurant, Breakfast restaurant",723143,West Bengal Circle,South Bengal Region,Purulia Division,"Rangadih SO, Matha Forest BO, Berada BO",+91 93043 82358,N/A,4.0,4550,"R55X+MW5, Near Rabindra Bhavan Exit Gate Of Jubilee Park Leading To Sakchi Area, Sakchi, Jamshedpur, Jharkhand 831001","Ambagan, Sakchi",22.809149599999998,86.19984509999999,ChIJucuTxAvj9TkR_PvIS_azPGQ,https://www.google.com/maps/place/?q=place_id:ChIJucuTxAvj9TkR_PvIS_azPGQ,part_325,2026-09-20 20:34:19
