business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AAYUVEDA CLINIC & PHARMACY,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,721452,West bengal circle,South Bengal Region,Contai Division,"Basudebpur BO, Bhajachauli BO, Biswanathpur BO",+91 62903 40608,N/A,4.9,16.0,"Atri Green Valley, 456, Dwarir Rd, Chowhati, Rajpur Sonarpur, Kolkata, West Bengal 700151",Chowhati,22.4163243,88.3957944,ChIJQ6qfSXpvAjoRz0JReri_pRw,https://www.google.com/maps/place/?q=place_id:ChIJQ6qfSXpvAjoRz0JReri_pRw,part_323,2026-09-20 20:19:35
PAHARPUR AYURVEDIC MEDICINE SHOP,Ayurvedic Pharmacy and Clinic,Alternative Medicine Clinic,Alternative Medicine Clinic,721452,West bengal circle,South Bengal Region,Contai Division,"Basudebpur BO, Bhajachauli BO, Biswanathpur BO",+91 94745 93924,N/A,4.6,7.0,"CF6V+CX5, [no name], Krishnanagar, West Bengal 741101",[no name],23.4110093,88.4949901,ChIJWy9QYDcg-TkRhCPFgbTo_Os,https://www.google.com/maps/place/?q=place_id:ChIJWy9QYDcg-TkRhCPFgbTo_Os,part_323,2026-09-20 20:19:36
Kumar Ayurvedic Clinic,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Herbal medicine store, Organic shop",721452,West bengal circle,South Bengal Region,Contai Division,"Basudebpur BO, Bhajachauli BO, Biswanathpur BO",+91 70032 16161,N/A,,,"Bhabanipur, Danrpur, West Bengal 712305",721452,22.9188133,88.19927969999999,ChIJOev6aK-L-DkRPqrS6mfX5Js,https://www.google.com/maps/place/?q=place_id:ChIJOev6aK-L-DkRPqrS6mfX5Js,part_323,2026-09-20 20:19:36
BEST AYURVEDA FOR YOU,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,721452,West bengal circle,South Bengal Region,Contai Division,"Basudebpur BO, Bhajachauli BO, Biswanathpur BO",+91 70034 48573,https://www.facebook.com/profile.php?id=61567109917234&mibextid=ZbWKwL,5.0,8.0,"KALI MANDIR, Ghosh Para Rd, near KALI MANDIA, Store Bazar, Kanthadhar, Nawabganj, Ichhapur Defence Estate, North Barrackpur, West Bengal 743144","Store Bazar, Kanthadhar, Nawabganj",22.7963132,88.3682366,ChIJJ6m6i26b-DkRgdNpFuPf0XQ,https://www.google.com/maps/place/?q=place_id:ChIJJ6m6i26b-DkRgdNpFuPf0XQ,part_323,2026-09-20 20:19:36
Raj Ayurvedic Clinic,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,721452,West bengal circle,South Bengal Region,Contai Division,"Basudebpur BO, Bhajachauli BO, Biswanathpur BO",N/A,N/A,,,"Q5WF+9W8, Sarmastapur, West Bengal 742404",721452,23.7959019,88.17482919999999,ChIJvar1o851-TkRSlrnLrsqmCA,https://www.google.com/maps/place/?q=place_id:ChIJvar1o851-TkRSlrnLrsqmCA,part_323,2026-09-20 20:19:36
Ayurvedic Center,Ayurvedic Pharmacy and Clinic,Store,Store,721452,West bengal circle,South Bengal Region,Contai Division,"Basudebpur BO, Bhajachauli BO, Biswanathpur BO",+91 90024 56172,N/A,4.0,4.0,"GG84+JC7, Sonatala, West Bengal 741140",721452,23.516536799999997,88.5060615,ChIJB9HhXVgi-TkRSBIb7JmRDIE,https://www.google.com/maps/place/?q=place_id:ChIJB9HhXVgi-TkRSBIb7JmRDIE,part_323,2026-09-20 20:19:37
State Ayurvedic Dispensary,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,721452,West bengal circle,South Bengal Region,Contai Division,"Basudebpur BO, Bhajachauli BO, Biswanathpur BO",+91 94753 86660,N/A,4.3,3.0,"7WV8+62W, Nalhati, Kaitha, West Bengal 731220",721452,24.293111099999997,87.9150762,ChIJ0zeseMAi-jkRyvJJNQiZ8JY,https://www.google.com/maps/place/?q=place_id:ChIJ0zeseMAi-jkRyvJJNQiZ8JY,part_323,2026-09-20 20:19:37
Ayurvedic,Ayurvedic Pharmacy and Clinic,Medical clinic,Medical clinic,721452,West bengal circle,South Bengal Region,Contai Division,"Basudebpur BO, Bhajachauli BO, Biswanathpur BO",9002599970,N/A,,,"JV6V+75P, 9002599970, Sakadda, Khujutipara, West Bengal 731215",721452,23.610708499999998,87.89295709999999,ChIJd6qqav64-TkRAAAA0C84Bxw,https://www.google.com/maps/place/?q=place_id:ChIJd6qqav64-TkRAAAA0C84Bxw,part_323,2026-09-20 20:19:37
Kumar Ayurvedic Clinic,Ayurvedic Pharmacy and Clinic,Medical Center,Medical Center,721452,West bengal circle,South Bengal Region,Contai Division,"Basudebpur BO, Bhajachauli BO, Biswanathpur BO",N/A,N/A,,,"W6HM+HW5, Beta Rd, Gholsara, Shinet, Talchinan-Sanihati, West Bengal 712305",Gholsara,22.9288998,88.2348463,ChIJTYfjLgCL-DkR36G2-PtRM3E,https://www.google.com/maps/place/?q=place_id:ChIJTYfjLgCL-DkR36G2-PtRM3E,part_323,2026-09-20 20:19:37
SHREE AYURVEDA PHARMACY,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,721452,West bengal circle,South Bengal Region,Contai Division,"Basudebpur BO, Bhajachauli BO, Biswanathpur BO",+91 86098 99554,N/A,,,"মালঞ্চ বাজার উ: ২৪ পরগণা, West Bengal 743425",721452,22.5099035,88.7671477,ChIJsZEo7CICAjoRsqna1ZFQJt4,https://www.google.com/maps/place/?q=place_id:ChIJsZEo7CICAjoRsqna1ZFQJt4,part_323,2026-09-20 20:19:37
