business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Alpha Fitness,Fitness Chains,Gym,Gym,732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO",+91 81010 56405,https://www.facebook.com/profile.php?id=61550324155528,5.0,,"Rana Para, OLD BDO Office, near bandhan Bank, Salboni, West Bengal 721147",732207,22.6441554,87.3226414,ChIJtyGE9s3j9zkRzfwlk0N-YbA,https://www.google.com/maps/place/?q=place_id:ChIJtyGE9s3j9zkRzfwlk0N-YbA,part_327,2026-09-20 20:24:26
TARGET WELLNESS & FITNESS HUB,Fitness Chains,Gym,Gym,732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO",N/A,https://targetwelfaresociety.com/,4.7,,"HFWH+5Q, Mugbosan, West Bengal 721150",732207,22.595449,87.47943699999999,ChIJPS9hRABVHToRoPrOSkWu5zs,https://www.google.com/maps/place/?q=place_id:ChIJPS9hRABVHToRoPrOSkWu5zs,part_327,2026-09-20 20:24:26
Ahmed Fitness,Fitness Chains,Gym,Gym,732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO",+91 89720 60944,N/A,4.4,,"Bus Stop, Dakbanglow - Moyna Rd, Kalitala, Pingla, West Bengal 721140",Kalitala,22.2855232,87.5853832,ChIJJzJ6MQC1AjoRcGJiCC5c1l0,https://www.google.com/maps/place/?q=place_id:ChIJJzJ6MQC1AjoRcGJiCC5c1l0,part_327,2026-09-20 20:24:26
Natunhat block more moni supar Market (2talai),Fitness Chains,Gym,Gym,732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO",N/A,N/A,4.2,,"moni supar Market 2talai, block more, Nutanhat, West Bengal 713147",732207,23.541377999999998,87.9073384,ChIJDaOveQC3-TkRa4SL4Z4Yp2A,https://www.google.com/maps/place/?q=place_id:ChIJDaOveQC3-TkRa4SL4Z4Yp2A,part_327,2026-09-20 20:24:26
The Royal Gym,Fitness Chains,Fitness center,Fitness center,732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO",+91 84363 67300,N/A,3.9,,"MGP5+XRH, Pachkhuri, Kuapur, West Bengal 721201",Pachkhuri,22.6874415,87.5095947,ChIJfag0k97_9zkRY2OsT9RTMLs,https://www.google.com/maps/place/?q=place_id:ChIJfag0k97_9zkRY2OsT9RTMLs,part_327,2026-09-20 20:24:26
Ariyan Fitness,Fitness Chains,Fitness center,"Fitness center, Gym",732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO",+91 89725 30511,N/A,5.0,,"Bhupati Nagar, West Bengal 721425",732207,21.9992153,87.72957459999999,ChIJb-Mj8YnbAjoRvxyhSudDTJQ,https://www.google.com/maps/place/?q=place_id:ChIJb-Mj8YnbAjoRvxyhSudDTJQ,part_327,2026-09-20 20:24:26
Multi Pashimpara Main Road,Fitness Chains,Gym,Gym,732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO",N/A,N/A,4.7,,"Multi,P.O, Multi, Sribati, West Bengal 713514",Multi,23.521822099999998,88.1834662,ChIJIz8k94YH-TkR4BtF97gWoh4,https://www.google.com/maps/place/?q=place_id:ChIJIz8k94YH-TkR4BtF97gWoh4,part_327,2026-09-20 20:24:26
PANKAJ FITNESS CENTRE 🏋🏻,Fitness Chains,Gym,Gym,732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO",+91 82508 95988,https://pankaj-fitness-center-1099192591429.asia-southeast1.run.app/,4.4,,"C8X5+J86, Parulia, West Bengal 713513",732207,23.4490192,88.30824349999999,ChIJN6HQcwkD-TkRdO7sFRj9bxs,https://www.google.com/maps/place/?q=place_id:ChIJN6HQcwkD-TkRdO7sFRj9bxs,part_327,2026-09-20 20:24:26
Universal Fit Zone,Fitness Chains,Fitness center,Fitness center,732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO",+91 86378 27586,N/A,4.3,,"7V52+PX3, Kestopur Road, Meghnad Saha Pally, More, Khagragorh, Golapbag, Bardhaman, West Bengal 713104","Meghnad Saha Pally, More, Khagragorh",23.2570205,87.85158709999999,ChIJ4VF3Ppw3-DkRBBeuHS9FhAA,https://www.google.com/maps/place/?q=place_id:ChIJ4VF3Ppw3-DkRBBeuHS9FhAA,part_327,2026-09-20 20:24:26
Muscle Factory,Fitness Chains,Gym,Gym,732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO",+91 62979 90877,N/A,4.7,,"X26V+HF9, Gharikhana Rd, Kandi, West Bengal 742137",732207,23.9616071,88.04414779999999,ChIJFyIz5EOF-TkRT7eHkDujHaY,https://www.google.com/maps/place/?q=place_id:ChIJFyIz5EOF-TkRT7eHkDujHaY,part_327,2026-09-20 20:24:26
